Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
DRT,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
DRT,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
DRT,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
DRT,2022,12,7,22/04/2022,No,Meeting Attendance of the Board of Directors,1.,PRAKIT PRADIPASEN,N/A,12 / 12,100.00,Yes,
DRT,2022,12,7,22/04/2022,No,Meeting Attendance of the Board of Directors,2.,CHAIYUT SRIVIKORN,N/A,10 / 12,83.33,Yes,
DRT,2022,12,7,22/04/2022,No,Meeting Attendance of the Board of Directors,3.,SATID SUDBUNTAD,N/A,12 / 12,100.00,Yes,
DRT,2022,12,7,22/04/2022,No,Meeting Attendance of the Board of Directors,4.,ASANEE CHANTONG,N/A,12 / 12,100.00,Yes,
DRT,2022,12,7,22/04/2022,No,Meeting Attendance of the Board of Directors,5.,ANUN LOUHARANOO,N/A,11 / 12,91.67,Yes,
DRT,2022,12,7,22/04/2022,No,Meeting Attendance of the Board of Directors,6.,SAKDA MANEERATCHATCHAI,N/A,12 / 12,100.00,Yes,
DRT,2022,12,7,22/04/2022,No,Meeting Attendance of the Board of Directors,7.,WOODTHIKRAI SOATTHIYANON,N/A,12 / 12,100.00,Yes,
DRT,2022,12,7,22/04/2022,No,Meeting Attendance of the Board of Directors,8.,THANIT PULIVEKIN,N/A,11 / 12,91.67,Yes,
DRT,2022,12,7,22/04/2022,No,Meeting Attendance of the Board of Directors,9.,WARAYU PRADIPASEN,N/A,12 / 12,100.00,Yes,
DRT,2022,12,7,22/04/2022,No,Meeting Attendance of the Board of Directors,10.,CHATCHAI TEEPSUWAN,N/A,11 / 12,91.67,Yes,
DRT,2022,12,7,22/04/2022,No,Meeting Attendance of the Board of Directors,11.,KAMOLAPHAT TEEPSUWAN,N/A,11 / 12,91.67,Yes,
DRT,2022,12,7,22/04/2022,No,Meeting Attendance of the Board of Directors,12.,SUNTHORN SUWANNAJADE,N/A,8 / 8,100.00,Yes,
DRT,2022,12,7,22/04/2022,No,Meeting Attendance of the Board of Directors,13.,MAITREE TAWONATIWASNA,22/04/2022,3 / 4,75.00,No,
DRT,2022,12,7,22/04/2022,No,Meeting Attendance of Audit Committee,1.,SAKDA MANEERATCHATCHAI,N/A,7 / 7,100.00,,
DRT,2022,12,7,22/04/2022,No,Meeting Attendance of Audit Committee,2.,ANUN LOUHARANOO,N/A,7 / 7,100.00,,
DRT,2022,12,7,22/04/2022,No,Meeting Attendance of Audit Committee,3.,THANIT PULIVEKIN,N/A,7 / 7,100.00,,
DRT,2022,12,7,22/04/2022,No,Meeting Attendance of Executive Committee,1.,SATID SUDBUNTAD,N/A,N/A,N/A,,
DRT,2022,12,7,22/04/2022,No,Meeting Attendance of Executive Committee,2.,SUNTHORN SUWANNAJADE,N/A,N/A,N/A,,
DRT,2022,12,7,22/04/2022,No,Meeting Attendance of NOMINATION AND REMUNERATION COMMITTEE (NRC COMMITTEE),1.,CHAIYUT SRIVIKORN,N/A,0 / 0,N/A,,
DRT,2022,12,7,22/04/2022,No,Meeting Attendance of NOMINATION AND REMUNERATION COMMITTEE (NRC COMMITTEE),2.,CHATCHAI TEEPSUWAN,N/A,0 / 0,N/A,,
DRT,2022,12,7,22/04/2022,No,Meeting Attendance of NOMINATION AND REMUNERATION COMMITTEE (NRC COMMITTEE),3.,ANUN LOUHARANOO,N/A,0 / 0,N/A,,
DRT,2022,12,7,22/04/2022,No,Meeting Attendance of CORPORATE GOVERNANCE COMMITTEE (CGC COMMITTEE),1.,THANIT PULIVEKIN,N/A,0 / 0,N/A,,
DRT,2022,12,7,22/04/2022,No,Meeting Attendance of CORPORATE GOVERNANCE COMMITTEE (CGC COMMITTEE),2.,WOODTHIKRAI SOATTHIYANON,N/A,0 / 0,N/A,,
DRT,2022,12,7,22/04/2022,No,Meeting Attendance of CORPORATE GOVERNANCE COMMITTEE (CGC COMMITTEE),3.,WARAYU PRADIPASEN,N/A,0 / 0,N/A,,
DRT,2022,12,7,22/04/2022,No,Meeting Attendance of PRODUCTION TECHNOLOGY AND INNOVATION COMMITTEE  (PTI COMMITTEE),1.,ASANEE CHANTONG,N/A,0 / 0,N/A,,
DRT,2022,12,7,22/04/2022,No,Meeting Attendance of PRODUCTION TECHNOLOGY AND INNOVATION COMMITTEE  (PTI COMMITTEE),2.,SATID SUDBUNTAD,N/A,0 / 0,N/A,,
