Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
DTCI,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
DTCI,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
DTCI,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
DTCI,2022,4,4,08/04/2022,No,Meeting Attendance of the Board of Directors,1.,SATHIT UTHAISRI,N/A,4 / 4,100.00,No,
DTCI,2022,4,4,08/04/2022,No,Meeting Attendance of the Board of Directors,2.,VATIN COMSONGSRI,N/A,4 / 4,100.00,Yes,
DTCI,2022,4,4,08/04/2022,No,Meeting Attendance of the Board of Directors,3.,DUANGSAMORN HAOTAWANICH,N/A,4 / 4,100.00,Yes,
DTCI,2022,4,4,08/04/2022,No,Meeting Attendance of the Board of Directors,4.,ANOTHAI TECHAMONTRIKUL,N/A,4 / 4,100.00,Yes,
DTCI,2022,4,4,08/04/2022,No,Meeting Attendance of the Board of Directors,5.,PANSIRI PRAPAWAT,N/A,4 / 4,100.00,Yes,
DTCI,2022,4,4,08/04/2022,No,Meeting Attendance of the Board of Directors,6.,NIPA IN-THARAKSA,N/A,2 / 4,50.00,Yes,
DTCI,2022,4,4,08/04/2022,No,Meeting Attendance of the Board of Directors,7.,THANITTHA WONGRUAMLAB,N/A,4 / 4,100.00,Yes,
DTCI,2022,4,4,08/04/2022,No,Meeting Attendance of the Board of Directors,8.,PATTARA HAOTAWANICH,N/A,1 / 4,25.00,Yes,
DTCI,2022,4,4,08/04/2022,No,Meeting Attendance of the Board of Directors,9.,VICHAI SUKLIM,N/A,2 / 4,50.00,No,
DTCI,2022,4,4,08/04/2022,No,Meeting Attendance of Audit Committee,1.,NIPA IN-THARAKSA,N/A,3 / 4,75.00,,
DTCI,2022,4,4,08/04/2022,No,Meeting Attendance of Audit Committee,2.,THANITTHA WONGRUAMLAB,N/A,4 / 4,100.00,,
DTCI,2022,4,4,08/04/2022,No,Meeting Attendance of Audit Committee,3.,VICHAI SUKLIM,N/A,3 / 4,75.00,,
DTCI,2022,4,4,08/04/2022,No,Meeting Attendance of Executive Committee,,No Information,,,,,
DTCI,2023,4,4,21/04/2023,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
DTCI,2023,4,4,21/04/2023,No,Meeting Attendance of Audit Committee,,No Information,,,,,
DTCI,2023,4,4,21/04/2023,No,Meeting Attendance of Executive Committee,,No Information,,,,,
DTCI,2024,5,4,18/04/2024,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
DTCI,2024,5,4,18/04/2024,No,Meeting Attendance of Audit Committee,,No Information,,,,,
DTCI,2024,5,4,18/04/2024,No,Meeting Attendance of Executive Committee,,No Information,,,,,
DTCI,2025,N/A,N/A,N/A,N/A,Meeting Attendance of the Board of Directors,,No Information,,,,,
DTCI,2025,N/A,N/A,N/A,N/A,Meeting Attendance of Audit Committee,,No Information,,,,,
DTCI,2025,N/A,N/A,N/A,N/A,Meeting Attendance of Executive Committee,,No Information,,,,,
DTCI,2026,N/A,N/A,N/A,N/A,Meeting Attendance of the Board of Directors,,No Information,,,,,
DTCI,2026,N/A,N/A,N/A,N/A,Meeting Attendance of Audit Committee,,No Information,,,,,
DTCI,2026,N/A,N/A,N/A,N/A,Meeting Attendance of Executive Committee,,No Information,,,,,
