Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
DUSIT,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
DUSIT,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
DUSIT,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
DUSIT,2022,11,N/A,25/04/2022,No,Meeting Attendance of the Board of Directors,1.,ARSA SARASIN,N/A,11 / 11,100.00,Yes,
DUSIT,2022,11,N/A,25/04/2022,No,Meeting Attendance of the Board of Directors,2.,CHANIN DONAVANIK,N/A,11 / 11,100.00,Yes,
DUSIT,2022,11,N/A,25/04/2022,No,Meeting Attendance of the Board of Directors,3.,SINEE THIENPRASIDDHI,N/A,11 / 11,100.00,Yes,
DUSIT,2022,11,N/A,25/04/2022,No,Meeting Attendance of the Board of Directors,4.,PRANEE PHASIPOL,N/A,11 / 11,100.00,Yes,
DUSIT,2022,11,N/A,25/04/2022,No,Meeting Attendance of the Board of Directors,5.,SUPHAJEE SUTHUMPUN,N/A,11 / 11,100.00,Yes,
DUSIT,2022,11,N/A,25/04/2022,No,Meeting Attendance of the Board of Directors,6.,KITTIPONG KITTAYARAK,N/A,10 / 11,90.91,Yes,
DUSIT,2022,11,N/A,25/04/2022,No,Meeting Attendance of the Board of Directors,7.,PAKHAWAT KOVITHVATHANAPHONG,N/A,10 / 11,90.91,Yes,
DUSIT,2022,11,N/A,25/04/2022,No,Meeting Attendance of the Board of Directors,8.,SUCHADA KIRANANDANA,N/A,11 / 11,100.00,Yes,
DUSIT,2022,11,N/A,25/04/2022,No,Meeting Attendance of the Board of Directors,9.,SOMPRASONG BOONYACHAI,N/A,11 / 11,100.00,Yes,
DUSIT,2022,11,N/A,25/04/2022,No,Meeting Attendance of the Board of Directors,10.,TEERAPOL CHOTICHANAPIBAL,N/A,11 / 11,100.00,Yes,
DUSIT,2022,11,N/A,25/04/2022,No,Meeting Attendance of the Board of Directors,11.,NUALPHAN LAMSAM,N/A,8 / 11,72.73,Yes,
DUSIT,2022,11,N/A,25/04/2022,No,Meeting Attendance of the Board of Directors,12.,PIYAPORN PHANACHET,N/A,6 / 7,85.71,No,
DUSIT,2022,11,N/A,25/04/2022,No,Meeting Attendance of the Board of Directors,13.,WINID SILAMONGKOL,31/07/2022,5 / 6,83.33,Yes,
DUSIT,2022,11,N/A,25/04/2022,No,Meeting Attendance of Audit Committee,1.,PRANEE PHASIPOL,N/A,7 / 7,100.00,,
DUSIT,2022,11,N/A,25/04/2022,No,Meeting Attendance of Audit Committee,2.,TEERAPOL CHOTICHANAPIBAL,N/A,7 / 7,100.00,,
DUSIT,2022,11,N/A,25/04/2022,No,Meeting Attendance of Audit Committee,3.,PIYAPORN PHANACHET,N/A,2 / 2,100.00,,
DUSIT,2022,11,N/A,25/04/2022,No,Meeting Attendance of Audit Committee,4.,WINID SILAMONGKOL,31/07/2022,4 / 4,100.00,,
DUSIT,2022,11,N/A,25/04/2022,No,Meeting Attendance of Executive Committee,1.,CHANIN DONAVANIK,N/A,N/A,N/A,,
DUSIT,2022,11,N/A,25/04/2022,No,Meeting Attendance of Executive Committee,2.,SUPHAJEE SUTHUMPUN,N/A,N/A,N/A,,
DUSIT,2022,11,N/A,25/04/2022,No,Meeting Attendance of Executive Committee,3.,Pattaneeporn Thienprasiddhi,N/A,N/A,N/A,,
DUSIT,2022,11,N/A,25/04/2022,No,"Meeting Attendance of Nomination, Remuneration and Corporate Governance Committee",1.,SUCHADA KIRANANDANA,N/A,0 / 0,N/A,,
DUSIT,2022,11,N/A,25/04/2022,No,"Meeting Attendance of Nomination, Remuneration and Corporate Governance Committee",2.,KITTIPONG KITTAYARAK,N/A,0 / 0,N/A,,
DUSIT,2022,11,N/A,25/04/2022,No,"Meeting Attendance of Nomination, Remuneration and Corporate Governance Committee",3.,SOMPRASONG BOONYACHAI,N/A,0 / 0,N/A,,
DUSIT,2022,11,N/A,25/04/2022,No,Meeting Attendance of Investment Committee,1.,PAKHAWAT KOVITHVATHANAPHONG,N/A,0 / 0,N/A,,
