Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
D,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
D,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
D,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
D,2022,4,4,26/04/2022,No,Meeting Attendance of the Board of Directors,1.,NATHA RATANALERT,N/A,4 / 4,100.00,Yes,
D,2022,4,4,26/04/2022,No,Meeting Attendance of the Board of Directors,2.,PORNSAK TANTAPAKUL,N/A,4 / 4,100.00,Yes,
D,2022,4,4,26/04/2022,No,Meeting Attendance of the Board of Directors,3.,LUCINDA CHEN,N/A,4 / 4,100.00,Yes,
D,2022,4,4,26/04/2022,No,Meeting Attendance of the Board of Directors,4.,VIBOON POJANALAI,N/A,4 / 4,100.00,Yes,
D,2022,4,4,26/04/2022,No,Meeting Attendance of the Board of Directors,5.,PHAIROJ JETANACHAI,N/A,4 / 4,100.00,Yes,
D,2022,4,4,26/04/2022,No,Meeting Attendance of the Board of Directors,6.,PRAPHAN PHICHAIWATKOMOL,N/A,4 / 4,100.00,Yes,
D,2022,4,4,26/04/2022,No,Meeting Attendance of the Board of Directors,7.,SAOVANEE BOONPHALIT,N/A,4 / 4,100.00,Yes,
D,2022,4,4,26/04/2022,No,Meeting Attendance of the Board of Directors,8.,UDOMDECH SRIMASERM,N/A,4 / 4,100.00,Yes,
D,2022,4,4,26/04/2022,No,Meeting Attendance of Audit Committee,1.,PHAIROJ JETANACHAI,N/A,4 / 4,100.00,,
D,2022,4,4,26/04/2022,No,Meeting Attendance of Audit Committee,2.,VIBOON POJANALAI,N/A,4 / 4,100.00,,
D,2022,4,4,26/04/2022,No,Meeting Attendance of Audit Committee,3.,PRAPHAN PHICHAIWATKOMOL,N/A,4 / 4,100.00,,
D,2022,4,4,26/04/2022,No,Meeting Attendance of Executive Committee,1.,PORNSAK TANTAPAKUL,N/A,N/A,N/A,,
D,2022,4,4,26/04/2022,No,Meeting Attendance of Executive Committee,2.,LUCINDA CHEN,N/A,N/A,N/A,,
D,2022,4,4,26/04/2022,No,Meeting Attendance of Executive Committee,3.,UDOMDECH SRIMASERM,N/A,N/A,N/A,,
D,2022,4,4,26/04/2022,No,Meeting Attendance of Nomination and Remuneration,1.,VIBOON POJANALAI,N/A,0 / 0,N/A,,
D,2022,4,4,26/04/2022,No,Meeting Attendance of Nomination and Remuneration,2.,PHAIROJ JETANACHAI,N/A,0 / 0,N/A,,
D,2022,4,4,26/04/2022,No,Meeting Attendance of Nomination and Remuneration,3.,PRAPHAN PHICHAIWATKOMOL,N/A,0 / 0,N/A,,
D,2022,4,4,26/04/2022,No,Meeting Attendance of Risk management,1.,PORNSAK TANTAPAKUL,N/A,0 / 0,N/A,,
D,2022,4,4,26/04/2022,No,Meeting Attendance of Risk management,2.,LUCINDA CHEN,N/A,0 / 0,N/A,,
D,2022,4,4,26/04/2022,No,Meeting Attendance of Risk management,3.,UDOMDECH SRIMASERM,N/A,0 / 0,N/A,,
D,2023,5,4,27/04/2023,No,Meeting Attendance of the Board of Directors,1.,NATHA RATANALERT,N/A,5 / 5,100.00,Yes,
D,2023,5,4,27/04/2023,No,Meeting Attendance of the Board of Directors,2.,PORNSAK TANTAPAKUL,N/A,5 / 5,100.00,Yes,
D,2023,5,4,27/04/2023,No,Meeting Attendance of the Board of Directors,3.,LUCINDA CHEN,N/A,5 / 5,100.00,Yes,
D,2023,5,4,27/04/2023,No,Meeting Attendance of the Board of Directors,4.,VIBOON POJANALAI,N/A,5 / 5,100.00,Yes,
D,2023,5,4,27/04/2023,No,Meeting Attendance of the Board of Directors,5.,PHAIROJ JETANACHAI,N/A,5 / 5,100.00,Yes,
D,2023,5,4,27/04/2023,No,Meeting Attendance of the Board of Directors,6.,PRAPHAN PHICHAIWATKOMOL,N/A,5 / 5,100.00,Yes,
D,2023,5,4,27/04/2023,No,Meeting Attendance of the Board of Directors,7.,SAOVANEE BOONPHALIT,N/A,5 / 5,100.00,Yes,
D,2023,5,4,27/04/2023,No,Meeting Attendance of the Board of Directors,8.,NARUETHAI NONPHOM,N/A,4 / 4,100.00,Yes,
D,2023,5,4,27/04/2023,No,Meeting Attendance of the Board of Directors,9.,UDOMDECH SRIMASERM,08/03/2023,1 / 1,100.00,Yes,
D,2023,5,4,27/04/2023,No,Meeting Attendance of Audit Committee,1.,PHAIROJ JETANACHAI,N/A,4 / 4,100.00,,
D,2023,5,4,27/04/2023,No,Meeting Attendance of Audit Committee,2.,VIBOON POJANALAI,N/A,4 / 4,100.00,,
D,2023,5,4,27/04/2023,No,Meeting Attendance of Audit Committee,3.,PRAPHAN PHICHAIWATKOMOL,N/A,4 / 4,100.00,,
D,2023,5,4,27/04/2023,No,Meeting Attendance of Executive Committee,1.,PORNSAK TANTAPAKUL,N/A,N/A,N/A,,
D,2023,5,4,27/04/2023,No,Meeting Attendance of Executive Committee,2.,LUCINDA CHEN,N/A,N/A,N/A,,
D,2023,5,4,27/04/2023,No,Meeting Attendance of Executive Committee,3.,Nattasit Surapanpairoj,N/A,N/A,N/A,,
D,2023,5,4,27/04/2023,No,Meeting Attendance of Nomination and Remuneration,1.,VIBOON POJANALAI,N/A,0 / 0,N/A,,
D,2023,5,4,27/04/2023,No,Meeting Attendance of Nomination and Remuneration,2.,PHAIROJ JETANACHAI,N/A,0 / 0,N/A,,
D,2023,5,4,27/04/2023,No,Meeting Attendance of Nomination and Remuneration,3.,PRAPHAN PHICHAIWATKOMOL,N/A,0 / 0,N/A,,
D,2023,5,4,27/04/2023,No,Meeting Attendance of Risk management,1.,PORNSAK TANTAPAKUL,N/A,0 / 0,N/A,,
D,2023,5,4,27/04/2023,No,Meeting Attendance of Risk management,2.,LUCINDA CHEN,N/A,0 / 0,N/A,,
D,2023,5,4,27/04/2023,No,Meeting Attendance of Risk management,3.,Nattasit Surapanpairoj,N/A,0 / 0,N/A,,
D,2024,4,4,25/04/2024,No,Meeting Attendance of the Board of Directors,1.,NATHA RATANALERT,N/A,3 / 4,75.00,1 / 1,
D,2024,4,4,25/04/2024,No,Meeting Attendance of the Board of Directors,2.,PORNSAK TANTAPAKUL,N/A,4 / 4,100.00,1 / 1,
