Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
EMC,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
EMC,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
EMC,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
EMC,2022,7,12,28/04/2022,No,Meeting Attendance of the Board of Directors,1.,CHANACHAI LEENABANCHONG,N/A,6 / 7,85.71,No,
EMC,2022,7,12,28/04/2022,No,Meeting Attendance of the Board of Directors,2.,VORAVIT LEENABANCHONG,N/A,5 / 7,71.43,Yes,
EMC,2022,7,12,28/04/2022,No,Meeting Attendance of the Board of Directors,3.,MATEE ITTIRIVICHAI,N/A,7 / 7,100.00,Yes,
EMC,2022,7,12,28/04/2022,No,Meeting Attendance of the Board of Directors,4.,THAWEESRI WIKAYATHIPAT,N/A,7 / 7,100.00,Yes,
EMC,2022,7,12,28/04/2022,No,Meeting Attendance of the Board of Directors,5.,YAOWARIN SRICHAINAN,N/A,7 / 7,100.00,Yes,
EMC,2022,7,12,28/04/2022,No,Meeting Attendance of the Board of Directors,6.,PRAOMART HANTRA,N/A,7 / 7,100.00,Yes,
EMC,2022,7,12,28/04/2022,No,Meeting Attendance of the Board of Directors,7.,WACHARA PAKDEEMONTHON,N/A,7 / 7,100.00,No,
EMC,2022,7,12,28/04/2022,No,Meeting Attendance of the Board of Directors,8.,PINIT KARNTIKOON,N/A,7 / 7,100.00,Yes,
EMC,2022,7,12,28/04/2022,No,Meeting Attendance of the Board of Directors,9.,UNCHALEE LEENABANCHONG,N/A,1 / 7,14.29,No,
EMC,2022,7,12,28/04/2022,No,Meeting Attendance of the Board of Directors,10.,RATCHAI PICHAYAPOOM,15/09/2022,5 / 7,71.43,Yes,
EMC,2022,7,12,28/04/2022,No,Meeting Attendance of Audit Committee,1.,PRAOMART HANTRA,N/A,12 / 12,100.00,,
EMC,2022,7,12,28/04/2022,No,Meeting Attendance of Audit Committee,2.,THAWEESRI WIKAYATHIPAT,N/A,12 / 12,100.00,,
