Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
EMPIRE,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
EMPIRE,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
EMPIRE,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
EMPIRE,2022,5,4,03/03/2021,Yes,Meeting Attendance of the Board of Directors,1.,SUCHART WONGMARK,N/A,5 / 5,100.00,No,
EMPIRE,2022,5,4,03/03/2021,Yes,Meeting Attendance of the Board of Directors,2.,YODSAWEE WATTANATEERAKITJA,N/A,5 / 5,100.00,Yes,
EMPIRE,2022,5,4,03/03/2021,Yes,Meeting Attendance of the Board of Directors,3.,THAWATCHAI JIRAWATAUNGKANA,N/A,5 / 5,100.00,Yes,
EMPIRE,2022,5,4,03/03/2021,Yes,Meeting Attendance of the Board of Directors,4.,SANTI MANEEWONG,N/A,5 / 5,100.00,Yes,
EMPIRE,2022,5,4,03/03/2021,Yes,Meeting Attendance of the Board of Directors,5.,PATTRA SUPANICH,N/A,5 / 5,100.00,No,
EMPIRE,2022,5,4,03/03/2021,Yes,Meeting Attendance of the Board of Directors,6.,PARINYA CHAIDILOK,N/A,5 / 5,100.00,No,
EMPIRE,2022,5,4,03/03/2021,Yes,Meeting Attendance of Audit Committee,1.,PATTRA SUPANICH,N/A,4 / 4,100.00,,
EMPIRE,2022,5,4,03/03/2021,Yes,Meeting Attendance of Audit Committee,2.,SUCHART WONGMARK,N/A,4 / 4,100.00,,
EMPIRE,2022,5,4,03/03/2021,Yes,Meeting Attendance of Audit Committee,3.,PARINYA CHAIDILOK,N/A,4 / 4,100.00,,
EMPIRE,2022,5,4,03/03/2021,Yes,Meeting Attendance of Executive Committee,,No Information,,,,,
EMPIRE,2022,5,4,03/03/2021,Yes,Meeting Attendance of RISK MANAGEMENT COMMITTEE,1.,YODSAWEE WATTANATEERAKITJA,N/A,0 / 0,N/A,,
EMPIRE,2022,5,4,03/03/2021,Yes,Meeting Attendance of RISK MANAGEMENT COMMITTEE,2.,SANTI MANEEWONG,N/A,0 / 0,N/A,,
EMPIRE,2022,5,4,03/03/2021,Yes,Meeting Attendance of RISK MANAGEMENT COMMITTEE,3.,SUCHART WONGMARK,N/A,0 / 0,N/A,,
EMPIRE,2023,4,4,05/04/2023,No,Meeting Attendance of the Board of Directors,1.,SUCHART WONGMARK,N/A,4 / 4,100.00,Yes,
EMPIRE,2023,4,4,05/04/2023,No,Meeting Attendance of the Board of Directors,2.,YODSAWEE WATTANATEERAKITJA,N/A,4 / 4,100.00,Yes,
EMPIRE,2023,4,4,05/04/2023,No,Meeting Attendance of the Board of Directors,3.,THAWATCHAI JIRAWATAUNGKANA,N/A,4 / 4,100.00,Yes,
EMPIRE,2023,4,4,05/04/2023,No,Meeting Attendance of the Board of Directors,4.,SANTI MANEEWONG,N/A,4 / 4,100.00,Yes,
EMPIRE,2023,4,4,05/04/2023,No,Meeting Attendance of the Board of Directors,5.,PATTRA SUPANICH,N/A,4 / 4,100.00,Yes,
EMPIRE,2023,4,4,05/04/2023,No,Meeting Attendance of the Board of Directors,6.,PARINYA CHAIDILOK,N/A,4 / 4,100.00,Yes,
EMPIRE,2023,4,4,05/04/2023,No,Meeting Attendance of Audit Committee,1.,PATTRA SUPANICH,N/A,4 / 4,100.00,,
EMPIRE,2023,4,4,05/04/2023,No,Meeting Attendance of Audit Committee,2.,SUCHART WONGMARK,N/A,4 / 4,100.00,,
EMPIRE,2023,4,4,05/04/2023,No,Meeting Attendance of Audit Committee,3.,PARINYA CHAIDILOK,N/A,4 / 4,100.00,,
EMPIRE,2023,4,4,05/04/2023,No,Meeting Attendance of Executive Committee,1.,YODSAWEE WATTANATEERAKITJA,N/A,N/A,N/A,,
EMPIRE,2023,4,4,05/04/2023,No,Meeting Attendance of Executive Committee,2.,SANTI MANEEWONG,N/A,N/A,N/A,,
EMPIRE,2023,4,4,05/04/2023,No,Meeting Attendance of Executive Committee,3.,THAWATCHAI JIRAWATAUNGKANA,N/A,N/A,N/A,,
EMPIRE,2023,4,4,05/04/2023,No,Meeting Attendance of Executive Committee,4.,PHICHSINI PONGPRASAT,N/A,N/A,N/A,,
EMPIRE,2023,4,4,05/04/2023,No,Meeting Attendance of Executive Committee,5.,CHUTIKARN SA-NGA,N/A,N/A,N/A,,
EMPIRE,2023,4,4,05/04/2023,No,Meeting Attendance of RISK MANAGEMENT COMMITTEE,1.,YODSAWEE WATTANATEERAKITJA,N/A,0 / 0,N/A,,
EMPIRE,2023,4,4,05/04/2023,No,Meeting Attendance of RISK MANAGEMENT COMMITTEE,2.,SANTI MANEEWONG,N/A,0 / 0,N/A,,
EMPIRE,2023,4,4,05/04/2023,No,Meeting Attendance of RISK MANAGEMENT COMMITTEE,3.,SUCHART WONGMARK,N/A,0 / 0,N/A,,
EMPIRE,2024,4,N/A,24/04/2024,Yes,Meeting Attendance of the Board of Directors,1.,SUCHART WONGMARK,N/A,4 / 4,100.00,Yes,
EMPIRE,2024,4,N/A,24/04/2024,Yes,Meeting Attendance of the Board of Directors,2.,YODSAWEE WATTANATEERAKITJA,N/A,4 / 4,100.00,Yes,
EMPIRE,2024,4,N/A,24/04/2024,Yes,Meeting Attendance of the Board of Directors,3.,THAWATCHAI JIRAWATAUNGKANA,N/A,4 / 4,100.00,Yes,
EMPIRE,2024,4,N/A,24/04/2024,Yes,Meeting Attendance of the Board of Directors,4.,SANTI MANEEWONG,N/A,4 / 4,100.00,Yes,
EMPIRE,2024,4,N/A,24/04/2024,Yes,Meeting Attendance of the Board of Directors,5.,PATTRA SUPANICH,N/A,4 / 4,100.00,Yes,
EMPIRE,2024,4,N/A,24/04/2024,Yes,Meeting Attendance of the Board of Directors,6.,PARINYA CHAIDILOK,N/A,4 / 4,100.00,Yes,
EMPIRE,2024,4,N/A,24/04/2024,Yes,Meeting Attendance of Audit Committee,1.,PATTRA SUPANICH,N/A,N/A,N/A,,
EMPIRE,2024,4,N/A,24/04/2024,Yes,Meeting Attendance of Audit Committee,2.,SUCHART WONGMARK,N/A,N/A,N/A,,
EMPIRE,2024,4,N/A,24/04/2024,Yes,Meeting Attendance of Audit Committee,3.,PARINYA CHAIDILOK,N/A,N/A,N/A,,
EMPIRE,2024,4,N/A,24/04/2024,Yes,Meeting Attendance of Executive Committee,1.,YODSAWEE WATTANATEERAKITJA,N/A,N/A,N/A,,
EMPIRE,2024,4,N/A,24/04/2024,Yes,Meeting Attendance of Executive Committee,2.,SANTI MANEEWONG,N/A,N/A,N/A,,
EMPIRE,2024,4,N/A,24/04/2024,Yes,Meeting Attendance of Executive Committee,3.,THAWATCHAI JIRAWATAUNGKANA,N/A,N/A,N/A,,
EMPIRE,2024,4,N/A,24/04/2024,Yes,Meeting Attendance of Executive Committee,4.,PHICHSINI PONGPRASAT,N/A,N/A,N/A,,
EMPIRE,2024,4,N/A,24/04/2024,Yes,Meeting Attendance of Executive Committee,5.,CHUTIKARN SA-NGA,N/A,N/A,N/A,,
EMPIRE,2024,4,N/A,24/04/2024,Yes,Meeting Attendance of RISK MANAGEMENT COMMITTEE,1.,YODSAWEE WATTANATEERAKITJA,N/A,0 / 0,N/A,,
EMPIRE,2024,4,N/A,24/04/2024,Yes,Meeting Attendance of RISK MANAGEMENT COMMITTEE,2.,SANTI MANEEWONG,N/A,0 / 0,N/A,,
EMPIRE,2024,4,N/A,24/04/2024,Yes,Meeting Attendance of RISK MANAGEMENT COMMITTEE,3.,SUCHART WONGMARK,N/A,0 / 0,N/A,,
EMPIRE,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,1.,SUCHART WONGMARK,N/A,12 / 12,100.00,1 / 1,1 / 1
EMPIRE,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,2.,THAWATCHAI JIRAWATAUNGKANA,N/A,11 / 12,91.67,1 / 1,1 / 1
EMPIRE,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,3.,PANNAWIT CHOTTECHATHAMMANEE,N/A,10 / 10,100.00,0 / 0,1 / 1
EMPIRE,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,4.,WATCHARIN PHONGKUA,N/A,9 / 10,90.00,0 / 0,1 / 1
EMPIRE,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,5.,JULPAS KRUESOPON,N/A,10 / 10,100.00,0 / 0,1 / 1
EMPIRE,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,6.,KRITSADA PRUITIPAT,N/A,10 / 10,100.00,0 / 0,1 / 1
EMPIRE,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,7.,YODSAWEE WATTANATEERAKITJA,19/05/2025,2 / 2,100.00,1 / 1,Did not hold the meeting
EMPIRE,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,8.,SANTI MANEEWONG,08/09/2025,5 / 5,100.00,1 / 1,Did not hold the meeting
EMPIRE,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,9.,PARINYA CHAIDILOK,31/05/2025,2 / 2,100.00,1 / 1,Did not hold the meeting
EMPIRE,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,10.,PATTRA SUPANICH,31/05/2025,2 / 2,100.00,1 / 1,Did not hold the meeting
EMPIRE,2025,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,1.,JULPAS KRUESOPON,N/A,2 / 2,100.00,,
EMPIRE,2025,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,2.,SUCHART WONGMARK,N/A,4 / 4,100.00,,
EMPIRE,2025,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,3.,KRITSADA PRUITIPAT,N/A,2 / 2,100.00,,
EMPIRE,2025,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,4.,PATTRA SUPANICH,31/05/2025,2 / 2,100.00,,
EMPIRE,2025,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,5.,PARINYA CHAIDILOK,31/05/2025,2 / 2,100.00,,
EMPIRE,2025,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,1.,THAWATCHAI JIRAWATAUNGKANA,N/A,13 / 15,86.67,,
EMPIRE,2025,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,2.,PANNAWIT CHOTTECHATHAMMANEE,N/A,8 / 8,100.00,,
EMPIRE,2025,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,3.,WATCHARIN PHONGKUA,N/A,3 / 3,100.00,,
EMPIRE,2025,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,4.,Samuch Ueajirakan,N/A,1 / 1,100.00,,
EMPIRE,2025,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,5.,Lita Lerdditsayakun,N/A,1 / 1,100.00,,
EMPIRE,2025,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,6.,Nopparat Karkhayan,N/A,2 / 2,100.00,,
EMPIRE,2025,N/A,N/A,N/A,No,Meeting Attendance of RISK MANAGEMENT COMMITTEE,1.,SUCHART WONGMARK,N/A,1 / 1,100.00,,
EMPIRE,2025,N/A,N/A,N/A,No,Meeting Attendance of RISK MANAGEMENT COMMITTEE,2.,PANNAWIT CHOTTECHATHAMMANEE,N/A,1 / 1,100.00,,
EMPIRE,2025,N/A,N/A,N/A,No,Meeting Attendance of RISK MANAGEMENT COMMITTEE,3.,WATCHARIN PHONGKUA,N/A,1 / 1,100.00,,
EMPIRE,2026,N/A,N/A,N/A,N/A,Meeting Attendance of the Board of Directors,,No Information,,,,,
EMPIRE,2026,N/A,N/A,N/A,N/A,Meeting Attendance of Audit Committee,,No Information,,,,,
EMPIRE,2026,N/A,N/A,N/A,N/A,Meeting Attendance of Executive Committee,,No Information,,,,,
