Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
EP,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
EP,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
EP,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
EP,2022,7,6,20/04/2022,No,Meeting Attendance of the Board of Directors,1.,YUTH CHINSUPAKUL,N/A,7 / 7,100.00,Yes,
EP,2022,7,6,20/04/2022,No,Meeting Attendance of the Board of Directors,2.,ARAK RATBORIHARN,N/A,7 / 7,100.00,Yes,
EP,2022,7,6,20/04/2022,No,Meeting Attendance of the Board of Directors,3.,DAN CHINSUPAKUL,N/A,7 / 7,100.00,Yes,
EP,2022,7,6,20/04/2022,No,Meeting Attendance of the Board of Directors,4.,PRASONG HANPIYAVATANASAKUL,N/A,7 / 7,100.00,Yes,
EP,2022,7,6,20/04/2022,No,Meeting Attendance of the Board of Directors,5.,CHAIWAT ATSAWINTARANGKUN,N/A,7 / 7,100.00,Yes,
EP,2022,7,6,20/04/2022,No,Meeting Attendance of the Board of Directors,6.,SOMCHAI KUVIJITSUWAN,N/A,7 / 7,100.00,Yes,
EP,2022,7,6,20/04/2022,No,Meeting Attendance of the Board of Directors,7.,PATCHARA SARAPIMPA,N/A,2 / 2,100.00,No,
EP,2022,7,6,20/04/2022,No,Meeting Attendance of the Board of Directors,8.,PAKORN MONGKOLTADA,N/A,7 / 7,100.00,Yes,
EP,2022,7,6,20/04/2022,No,Meeting Attendance of the Board of Directors,9.,YUPAPHAN EKASITTIKUL,18/08/2022,3 / 3,100.00,Yes,
EP,2022,7,6,20/04/2022,No,Meeting Attendance of the Board of Directors,10.,KAMOL RATANACHAI,15/12/2022,6 / 6,100.00,Yes,
EP,2022,7,6,20/04/2022,No,Meeting Attendance of Audit Committee,1.,CHAIWAT ATSAWINTARANGKUN,N/A,6 / 6,100.00,,
EP,2022,7,6,20/04/2022,No,Meeting Attendance of Audit Committee,2.,SOMCHAI KUVIJITSUWAN,N/A,1 / 1,100.00,,
EP,2022,7,6,20/04/2022,No,Meeting Attendance of Audit Committee,3.,PATCHARA SARAPIMPA,N/A,0 / 0,N/A,,
EP,2022,7,6,20/04/2022,No,Meeting Attendance of Audit Committee,4.,YUPAPHAN EKASITTIKUL,18/08/2022,5 / 5,100.00,,
EP,2022,7,6,20/04/2022,No,Meeting Attendance of Audit Committee,5.,KAMOL RATANACHAI,15/12/2022,6 / 6,100.00,,
EP,2022,7,6,20/04/2022,No,Meeting Attendance of Executive Committee,1.,YUTH CHINSUPAKUL,N/A,N/A,N/A,,
EP,2022,7,6,20/04/2022,No,Meeting Attendance of Executive Committee,2.,ARAK RATBORIHARN,N/A,N/A,N/A,,
EP,2022,7,6,20/04/2022,No,Meeting Attendance of Executive Committee,3.,PRASONG HANPIYAVATANASAKUL,N/A,N/A,N/A,,
EP,2022,7,6,20/04/2022,No,Meeting Attendance of Executive Committee,4.,DAN CHINSUPAKUL,N/A,N/A,N/A,,
EP,2022,7,6,20/04/2022,No,Meeting Attendance of Nomination Committee and consider remuneration,1.,SOMCHAI KUVIJITSUWAN,N/A,0 / 0,N/A,,
EP,2022,7,6,20/04/2022,No,Meeting Attendance of Nomination Committee and consider remuneration,2.,PRASONG HANPIYAVATANASAKUL,N/A,0 / 0,N/A,,
EP,2022,7,6,20/04/2022,No,Meeting Attendance of Nomination Committee and consider remuneration,3.,PAKORN MONGKOLTADA,N/A,0 / 0,N/A,,
EP,2022,7,6,20/04/2022,No,Meeting Attendance of  Risk Management Committee,1.,DAN CHINSUPAKUL,N/A,0 / 0,N/A,,
EP,2022,7,6,20/04/2022,No,Meeting Attendance of  Risk Management Committee,2.,YUTH CHINSUPAKUL,N/A,0 / 0,N/A,,
EP,2022,7,6,20/04/2022,No,Meeting Attendance of  Risk Management Committee,3.,ARAK RATBORIHARN,N/A,0 / 0,N/A,,
EP,2022,7,6,20/04/2022,No,Meeting Attendance of  Risk Management Committee,4.,CHAIWAT ATSAWINTARANGKUN,N/A,0 / 0,N/A,,
EP,2022,7,6,20/04/2022,No,Meeting Attendance of  Investment Committee,1.,YUTH CHINSUPAKUL,N/A,0 / 0,N/A,,
EP,2022,7,6,20/04/2022,No,Meeting Attendance of  Investment Committee,2.,DAN CHINSUPAKUL,N/A,0 / 0,N/A,,
EP,2022,7,6,20/04/2022,No,Meeting Attendance of  Investment Committee,3.,ARAK RATBORIHARN,N/A,0 / 0,N/A,,
EP,2022,7,6,20/04/2022,No,Meeting Attendance of  Investment Committee,4.,PATCHARA SARAPIMPA,N/A,0 / 0,N/A,,
EP,2023,6,6,20/04/2023,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
EP,2023,6,6,20/04/2023,No,Meeting Attendance of Audit Committee,,No Information,,,,,
EP,2023,6,6,20/04/2023,No,Meeting Attendance of Executive Committee,1.,N/A,N/A,N/A,N/A,,
EP,2023,6,6,20/04/2023,No,Meeting Attendance of Executive Committee,2.,N/A,N/A,N/A,N/A,,
EP,2023,6,6,20/04/2023,No,Meeting Attendance of Executive Committee,3.,N/A,N/A,N/A,N/A,,
EP,2023,6,6,20/04/2023,No,Meeting Attendance of Executive Committee,4.,N/A,N/A,N/A,N/A,,
EP,2024,9,4,19/04/2024,No,Meeting Attendance of the Board of Directors,1.,YUTH CHINSUPAKUL,N/A,9 / 9,100.00,1 / 1,
EP,2024,9,4,19/04/2024,No,Meeting Attendance of the Board of Directors,2.,DAN CHINSUPAKUL,N/A,9 / 9,100.00,1 / 1,
EP,2024,9,4,19/04/2024,No,Meeting Attendance of the Board of Directors,3.,PRASONG HANPIYAVATANASAKUL,N/A,9 / 9,100.00,1 / 1,
EP,2024,9,4,19/04/2024,No,Meeting Attendance of the Board of Directors,4.,ARAK RATBORIHARN,N/A,9 / 9,100.00,1 / 1,
EP,2024,9,4,19/04/2024,No,Meeting Attendance of the Board of Directors,5.,SOMCHAI KUVIJITSUWAN,N/A,9 / 9,100.00,0 / 1,
EP,2024,9,4,19/04/2024,No,Meeting Attendance of the Board of Directors,6.,PATCHARA SARAPIMPA,N/A,9 / 9,100.00,1 / 1,
EP,2024,9,4,19/04/2024,No,Meeting Attendance of the Board of Directors,7.,TATCHAPONG THAMPUTTHIPONG,N/A,8 / 8,100.00,0 / 0,
EP,2024,9,4,19/04/2024,No,Meeting Attendance of the Board of Directors,8.,SURAPHON TAVEECHOKSUBSIN,N/A,3 / 3,100.00,0 / 0,
EP,2024,9,4,19/04/2024,No,Meeting Attendance of the Board of Directors,9.,PAKORN MONGKOLTADA,10/05/2024,3 / 3,100.00,1 / 1,
EP,2024,9,4,19/04/2024,No,Meeting Attendance of Audit Committee,1.,SOMCHAI KUVIJITSUWAN,N/A,4 / 4,100.00,,
EP,2024,9,4,19/04/2024,No,Meeting Attendance of Audit Committee,2.,PATCHARA SARAPIMPA,N/A,4 / 4,100.00,,
EP,2024,9,4,19/04/2024,No,Meeting Attendance of Audit Committee,3.,TATCHAPONG THAMPUTTHIPONG,N/A,4 / 4,100.00,,
EP,2024,9,4,19/04/2024,No,Meeting Attendance of Executive Committee,1.,YUTH CHINSUPAKUL,N/A,4 / 4,100.00,,
EP,2024,9,4,19/04/2024,No,Meeting Attendance of Executive Committee,2.,ARAK RATBORIHARN,N/A,4 / 4,100.00,,
EP,2024,9,4,19/04/2024,No,Meeting Attendance of Executive Committee,3.,PRASONG HANPIYAVATANASAKUL,N/A,4 / 4,100.00,,
EP,2024,9,4,19/04/2024,No,Meeting Attendance of Executive Committee,4.,DAN CHINSUPAKUL,N/A,4 / 4,100.00,,
EP,2024,9,4,19/04/2024,No,Meeting Attendance of Nomination Committee and consider remuneration,1.,SOMCHAI KUVIJITSUWAN,N/A,1 / 1,100.00,,
EP,2024,9,4,19/04/2024,No,Meeting Attendance of Nomination Committee and consider remuneration,2.,PRASONG HANPIYAVATANASAKUL,N/A,1 / 1,100.00,,
EP,2024,9,4,19/04/2024,No,Meeting Attendance of Nomination Committee and consider remuneration,3.,PAKORN MONGKOLTADA,N/A,1 / 1,100.00,,
EP,2024,9,4,19/04/2024,No,Meeting Attendance of  Risk Management Committee,1.,DAN CHINSUPAKUL,N/A,1 / 1,100.00,,
EP,2024,9,4,19/04/2024,No,Meeting Attendance of  Risk Management Committee,2.,YUTH CHINSUPAKUL,N/A,1 / 1,100.00,,
EP,2024,9,4,19/04/2024,No,Meeting Attendance of  Risk Management Committee,3.,ARAK RATBORIHARN,N/A,1 / 1,100.00,,
EP,2024,9,4,19/04/2024,No,Meeting Attendance of  Investment Committee,1.,YUTH CHINSUPAKUL,N/A,1 / 1,100.00,,
EP,2024,9,4,19/04/2024,No,Meeting Attendance of  Investment Committee,2.,DAN CHINSUPAKUL,N/A,1 / 1,100.00,,
EP,2024,9,4,19/04/2024,No,Meeting Attendance of  Investment Committee,3.,ARAK RATBORIHARN,N/A,1 / 1,100.00,,
EP,2024,9,4,19/04/2024,No,Meeting Attendance of  Investment Committee,4.,PATCHARA SARAPIMPA,N/A,1 / 1,100.00,,
EP,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,1.,YUTH CHINSUPAKUL,N/A,8 / 8,100.00,1 / 1,
EP,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,2.,DAN CHINSUPAKUL,N/A,7 / 8,87.50,1 / 1,
EP,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,3.,ARAK RATBORIHARN,N/A,8 / 8,100.00,1 / 1,
EP,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,4.,KRITSADA PRUITIPAT,N/A,7 / 7,100.00,1 / 1,
EP,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,5.,SURAPHON TAVEECHOKSUBSIN,N/A,8 / 8,100.00,1 / 1,
EP,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,6.,SOMCHAI KUVIJITSUWAN,N/A,8 / 8,100.00,0 / 1,
EP,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,7.,THANACHAI SANTICHAIKUL,N/A,7 / 7,100.00,1 / 1,
EP,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,8.,TATCHAPONG THAMPUTTHIPONG,N/A,8 / 8,100.00,1 / 1,
EP,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,9.,PIPAT CHANASONGKRAM,N/A,5 / 5,100.00,0 / 0,
EP,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,10.,PRASONG HANPIYAWATTANASAKUL,17/02/2025,0 / 0,N/A,0 / 0,
EP,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,11.,PATCHARA SARAPIMPA,17/02/2025,0 / 0,N/A,0 / 0,
EP,2025,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,1.,SOMCHAI KUVIJITSUWAN,N/A,4 / 4,100.00,,
EP,2025,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,2.,THANACHAI SANTICHAIKUL,N/A,4 / 4,100.00,,
