Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
ETE,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
ETE,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
ETE,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
ETE,2022,5,5,27/04/2022,No,Meeting Attendance of the Board of Directors,1.,PONGSAK SEMSON,N/A,5 / 5,100.00,Yes,
ETE,2022,5,5,27/04/2022,No,Meeting Attendance of the Board of Directors,2.,BUREERAT RATANAVANICH,N/A,5 / 5,100.00,Yes,
ETE,2022,5,5,27/04/2022,No,Meeting Attendance of the Board of Directors,3.,RAIVIN LEKAVORRANAN,N/A,5 / 5,100.00,Yes,
ETE,2022,5,5,27/04/2022,No,Meeting Attendance of the Board of Directors,4.,KANNATHA TANUNVARUNKORN,N/A,5 / 5,100.00,Yes,
ETE,2022,5,5,27/04/2022,No,Meeting Attendance of the Board of Directors,5.,CHUTIKA SUTTIKANJANANGKUL,N/A,5 / 5,100.00,Yes,
ETE,2022,5,5,27/04/2022,No,Meeting Attendance of the Board of Directors,6.,VARALEE LEKHAWORANAN,N/A,5 / 5,100.00,Yes,
ETE,2022,5,5,27/04/2022,No,Meeting Attendance of the Board of Directors,7.,SIRIDECH KUMSUPROM,N/A,5 / 5,100.00,Yes,
ETE,2022,5,5,27/04/2022,No,Meeting Attendance of the Board of Directors,8.,PRAPAI PIMPA,N/A,5 / 5,100.00,Yes,
ETE,2022,5,5,27/04/2022,No,Meeting Attendance of the Board of Directors,9.,Jirayong  Anuman-rajadhon,N/A,0 / 0,N/A,No,
ETE,2022,5,5,27/04/2022,No,Meeting Attendance of the Board of Directors,10.,RACHATA YODBANGTOEY,15/01/2022,0 / 0,N/A,Yes,
ETE,2022,5,5,27/04/2022,No,Meeting Attendance of the Board of Directors,11.,PREMVADEE FONGSIRI,01/03/2023,5 / 5,100.00,Yes,
ETE,2022,5,5,27/04/2022,No,Meeting Attendance of Audit Committee,1.,PONGSAK SEMSON,N/A,5 / 5,100.00,,
ETE,2022,5,5,27/04/2022,No,Meeting Attendance of Audit Committee,2.,BUREERAT RATANAVANICH,N/A,5 / 5,100.00,,
ETE,2022,5,5,27/04/2022,No,Meeting Attendance of Audit Committee,3.,Jirayong  Anuman-rajadhon,N/A,5 / 5,100.00,,
ETE,2022,5,5,27/04/2022,No,Meeting Attendance of Audit Committee,4.,PREMVADEE FONGSIRI,01/03/2023,5 / 5,100.00,,
ETE,2022,5,5,27/04/2022,No,Meeting Attendance of Executive Committee,1.,RAIVIN LEKAVORRANAN,N/A,N/A,N/A,,
ETE,2022,5,5,27/04/2022,No,Meeting Attendance of Executive Committee,2.,CHUTIKA SUTTIKANJANANGKUL,N/A,N/A,N/A,,
ETE,2022,5,5,27/04/2022,No,Meeting Attendance of Executive Committee,3.,KANNATHA TANUNVARUNKORN,N/A,N/A,N/A,,
ETE,2022,5,5,27/04/2022,No,Meeting Attendance of Executive Committee,4.,PRAPAI PIMPA,N/A,N/A,N/A,,
ETE,2022,5,5,27/04/2022,No,Meeting Attendance of Executive Committee,5.,RACHATA YODBANGTOEY,15/01/2022,N/A,N/A,,
ETE,2022,5,5,27/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,1.,BUREERAT RATANAVANICH,N/A,0 / 0,N/A,,
ETE,2022,5,5,27/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,2.,CHUTIKA SUTTIKANJANANGKUL,N/A,0 / 0,N/A,,
ETE,2022,5,5,27/04/2022,No,Meeting Attendance of Risk Management Committee,1.,SIRIDECH KUMSUPROM,N/A,0 / 0,N/A,,
ETE,2022,5,5,27/04/2022,No,Meeting Attendance of Risk Management Committee,2.,CHUTIKA SUTTIKANJANANGKUL,N/A,0 / 0,N/A,,
