Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
FE,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
FE,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
FE,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
FE,2022,9,5,27/04/2022,No,Meeting Attendance of the Board of Directors,1.,BOONCHAI CHOKWATANA,N/A,9 / 9,100.00,Yes,
FE,2022,9,5,27/04/2022,No,Meeting Attendance of the Board of Directors,2.,WASIN TEYATEETI,N/A,9 / 9,100.00,Yes,
FE,2022,9,5,27/04/2022,No,Meeting Attendance of the Board of Directors,3.,MALEE LEELASIRIWONG,N/A,9 / 9,100.00,Yes,
FE,2022,9,5,27/04/2022,No,Meeting Attendance of the Board of Directors,4.,AMORN ASVANUNT,N/A,8 / 9,88.89,Yes,
FE,2022,9,5,27/04/2022,No,Meeting Attendance of the Board of Directors,5.,VICHIT TANTIANUNANONT,N/A,9 / 9,100.00,Yes,
FE,2022,9,5,27/04/2022,No,Meeting Attendance of the Board of Directors,6.,KHACHORNSAKDI VANARATSEATH,N/A,9 / 9,100.00,Yes,
FE,2022,9,5,27/04/2022,No,Meeting Attendance of the Board of Directors,7.,CHAILADA TANTIVEJAKUL,N/A,9 / 9,100.00,Yes,
FE,2022,9,5,27/04/2022,No,Meeting Attendance of the Board of Directors,8.,CHATTONG TIPPAYAKALIN,N/A,9 / 9,100.00,Yes,
FE,2022,9,5,27/04/2022,No,Meeting Attendance of the Board of Directors,9.,WICHAR LDALLITSAKOOL,N/A,9 / 9,100.00,Yes,
FE,2022,9,5,27/04/2022,No,Meeting Attendance of the Board of Directors,10.,CHAILADOL CHOKWATANA,N/A,8 / 9,88.89,Yes,
FE,2022,9,5,27/04/2022,No,Meeting Attendance of the Board of Directors,11.,WARAPORN KULSAWATPAKDEE,N/A,9 / 9,100.00,Yes,
FE,2022,9,5,27/04/2022,No,Meeting Attendance of the Board of Directors,12.,KADEKAEW ITTIKUL,N/A,9 / 9,100.00,Yes,
FE,2022,9,5,27/04/2022,No,Meeting Attendance of the Board of Directors,13.,PREEYACHIT CHAROENWONGSE,N/A,9 / 9,100.00,Yes,
FE,2022,9,5,27/04/2022,No,Meeting Attendance of the Board of Directors,14.,KITYAPORN CHAITHAVORNSATHIEN,N/A,8 / 9,88.89,Yes,
FE,2022,9,5,27/04/2022,No,Meeting Attendance of Audit Committee,1.,KHACHORNSAKDI VANARATSEATH,N/A,5 / 5,100.00,,
FE,2022,9,5,27/04/2022,No,Meeting Attendance of Audit Committee,2.,AMORN ASVANUNT,N/A,5 / 5,100.00,,
FE,2022,9,5,27/04/2022,No,Meeting Attendance of Audit Committee,3.,VICHIT TANTIANUNANONT,N/A,5 / 5,100.00,,
FE,2022,9,5,27/04/2022,No,Meeting Attendance of Audit Committee,4.,CHATTONG TIPPAYAKALIN,N/A,5 / 5,100.00,,
FE,2022,9,5,27/04/2022,No,Meeting Attendance of Executive Committee,1.,WICHAR LDALLITSAKOOL,N/A,N/A,N/A,,
FE,2022,9,5,27/04/2022,No,Meeting Attendance of Executive Committee,2.,CHAILADA TANTIVEJAKUL,N/A,N/A,N/A,,
FE,2022,9,5,27/04/2022,No,Meeting Attendance of Executive Committee,3.,WARAPORN KULSAWATPAKDEE,N/A,N/A,N/A,,
FE,2022,9,5,27/04/2022,No,Meeting Attendance of Executive Committee,4.,MALEE LEELASIRIWONG,N/A,N/A,N/A,,
FE,2022,9,5,27/04/2022,No,Meeting Attendance of Executive Committee,5.,KADEKAEW ITTIKUL,N/A,N/A,N/A,,
FE,2022,9,5,27/04/2022,No,Meeting Attendance of Executive Committee,6.,Chalinee Hirano,N/A,N/A,N/A,,
FE,2022,9,5,27/04/2022,No,Meeting Attendance of Executive Committee,7.,Phunpit Chaneiang,N/A,N/A,N/A,,
FE,2022,9,5,27/04/2022,No,Meeting Attendance of Risk Management and Anti-Corruption Committee,1.,VICHIT TANTIANUNANONT,N/A,0 / 0,N/A,,
FE,2022,9,5,27/04/2022,No,Meeting Attendance of Risk Management and Anti-Corruption Committee,2.,WICHAR LDALLITSAKOOL,N/A,0 / 0,N/A,,
FE,2022,9,5,27/04/2022,No,Meeting Attendance of Risk Management and Anti-Corruption Committee,3.,CHAILADA TANTIVEJAKUL,N/A,0 / 0,N/A,,
FE,2022,9,5,27/04/2022,No,Meeting Attendance of Risk Management and Anti-Corruption Committee,4.,MALEE LEELASIRIWONG,N/A,0 / 0,N/A,,
FE,2022,9,5,27/04/2022,No,Meeting Attendance of Risk Management and Anti-Corruption Committee,5.,WARAPORN KULSAWATPAKDEE,N/A,0 / 0,N/A,,
FE,2022,9,5,27/04/2022,No,Meeting Attendance of Risk Management and Anti-Corruption Committee,6.,KADEKAEW ITTIKUL,N/A,0 / 0,N/A,,
FE,2022,9,5,27/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,1.,BOONCHAI CHOKWATANA,N/A,0 / 0,N/A,,
FE,2022,9,5,27/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,2.,WICHAR LDALLITSAKOOL,N/A,0 / 0,N/A,,
FE,2022,9,5,27/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,3.,CHAILADA TANTIVEJAKUL,N/A,0 / 0,N/A,,
FE,2023,9,4,27/04/2023,No,Meeting Attendance of the Board of Directors,1.,BOONCHAI CHOKWATANA,N/A,9 / 9,100.00,Yes,
FE,2023,9,4,27/04/2023,No,Meeting Attendance of the Board of Directors,2.,WASIN TEYATEETI,N/A,9 / 9,100.00,Yes,
FE,2023,9,4,27/04/2023,No,Meeting Attendance of the Board of Directors,3.,MALEE LEELASIRIWONG,N/A,9 / 9,100.00,Yes,
FE,2023,9,4,27/04/2023,No,Meeting Attendance of the Board of Directors,4.,KHACHORNSAKDI VANARATSEATH,N/A,9 / 9,100.00,Yes,
FE,2023,9,4,27/04/2023,No,Meeting Attendance of the Board of Directors,5.,VICHIT TANTIANUNANONT,N/A,8 / 9,88.89,Yes,
FE,2023,9,4,27/04/2023,No,Meeting Attendance of the Board of Directors,6.,CHAILADA TANTIVEJAKUL,N/A,8 / 9,88.89,Yes,
FE,2023,9,4,27/04/2023,No,Meeting Attendance of the Board of Directors,7.,CHATTONG TIPPAYAKALIN,N/A,9 / 9,100.00,Yes,
FE,2023,9,4,27/04/2023,No,Meeting Attendance of the Board of Directors,8.,WICHAR LDALLITSAKOOL,N/A,7 / 9,77.78,Yes,
