Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
FMT,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
FMT,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
FMT,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
FMT,2022,5,4,29/04/2022,No,Meeting Attendance of the Board of Directors,1.,Chai Sophonpanich,N/A,5 / 5,100.00,Yes,
FMT,2022,5,4,29/04/2022,No,Meeting Attendance of the Board of Directors,2.,Tinnakorn Asdathorn,N/A,4 / 5,80.00,Yes,
FMT,2022,5,4,29/04/2022,No,Meeting Attendance of the Board of Directors,3.,Nobutaka Taniguchi,N/A,5 / 5,100.00,Yes,
FMT,2022,5,4,29/04/2022,No,Meeting Attendance of the Board of Directors,4.,Vibul Aunsnunta,N/A,5 / 5,100.00,Yes,
FMT,2022,5,4,29/04/2022,No,Meeting Attendance of the Board of Directors,5.,Junichi Ishihara,N/A,5 / 5,100.00,Yes,
FMT,2022,5,4,29/04/2022,No,Meeting Attendance of the Board of Directors,6.,Chanida Asdathorn,N/A,4 / 5,80.00,Yes,
FMT,2022,5,4,29/04/2022,No,Meeting Attendance of the Board of Directors,7.,Chor Nun Petpaisit,N/A,5 / 5,100.00,Yes,
FMT,2022,5,4,29/04/2022,No,Meeting Attendance of the Board of Directors,8.,Akira Fujita,N/A,5 / 5,100.00,Yes,
FMT,2022,5,4,29/04/2022,No,Meeting Attendance of the Board of Directors,9.,Shingo Nishijima,N/A,5 / 5,100.00,Yes,
FMT,2022,5,4,29/04/2022,No,Meeting Attendance of the Board of Directors,10.,Hideki Shiraishi,N/A,5 / 5,100.00,Yes,
FMT,2022,5,4,29/04/2022,No,Meeting Attendance of the Board of Directors,11.,Iruru Hidaka,N/A,5 / 5,100.00,Yes,
FMT,2022,5,4,29/04/2022,No,Meeting Attendance of the Board of Directors,12.,Yoshihiko Mezaki,N/A,5 / 5,100.00,Yes,
FMT,2022,5,4,29/04/2022,No,Meeting Attendance of the Board of Directors,13.,Hideki Takayasu,N/A,5 / 5,100.00,Yes,
FMT,2022,5,4,29/04/2022,No,Meeting Attendance of the Board of Directors,14.,Deja Tulananda,01/07/2022,1 / 2,50.00,No,
FMT,2022,5,4,29/04/2022,No,Meeting Attendance of Audit Committee,1.,Vibul Aunsnunta,N/A,4 / 4,100.00,,
FMT,2022,5,4,29/04/2022,No,Meeting Attendance of Audit Committee,2.,Chor Nun Petpaisit,N/A,4 / 4,100.00,,
FMT,2022,5,4,29/04/2022,No,Meeting Attendance of Audit Committee,3.,Akira Fujita,N/A,4 / 4,100.00,,
FMT,2022,5,4,29/04/2022,No,Meeting Attendance of Executive Committee,1.,Junichi Ishihara,N/A,N/A,N/A,,
FMT,2022,5,4,29/04/2022,No,Meeting Attendance of Executive Committee,2.,Shingo Nishijima,N/A,N/A,N/A,,
FMT,2022,5,4,29/04/2022,No,Meeting Attendance of Executive Committee,3.,Hideki Takayasu,N/A,N/A,N/A,,
FMT,2023,4,4,28/04/2023,No,Meeting Attendance of the Board of Directors,1.,CHAI SOPHONPANICH,N/A,3 / 4,75.00,No,
FMT,2023,4,4,28/04/2023,No,Meeting Attendance of the Board of Directors,2.,JUNICHI ISHIHARA,N/A,4 / 4,100.00,Yes,
FMT,2023,4,4,28/04/2023,No,Meeting Attendance of the Board of Directors,3.,TINNAKORN ASDATHORN,N/A,3 / 4,75.00,Yes,
FMT,2023,4,4,28/04/2023,No,Meeting Attendance of the Board of Directors,4.,NOBUTAKA TANIGUCHI,N/A,4 / 4,100.00,Yes,
FMT,2023,4,4,28/04/2023,No,Meeting Attendance of the Board of Directors,5.,YOSHIHIKO MEZAKI,N/A,4 / 4,100.00,Yes,
FMT,2023,4,4,28/04/2023,No,Meeting Attendance of the Board of Directors,6.,VIBUL AUNSNUNTA,N/A,3 / 4,75.00,No,
FMT,2023,4,4,28/04/2023,No,Meeting Attendance of the Board of Directors,7.,CHOR.NUN PETPAISIT,N/A,4 / 4,100.00,Yes,
FMT,2023,4,4,28/04/2023,No,Meeting Attendance of the Board of Directors,8.,AKIRA FUJITA,N/A,4 / 4,100.00,Yes,
FMT,2023,4,4,28/04/2023,No,Meeting Attendance of the Board of Directors,9.,CHANIDA ASDATHORN,N/A,4 / 4,100.00,Yes,
FMT,2023,4,4,28/04/2023,No,Meeting Attendance of the Board of Directors,10.,HIDEKI SHIRAISHI,N/A,4 / 4,100.00,Yes,
