Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
FNS,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
FNS,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
FNS,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
FNS,2022,7,5,28/03/2022,No,Meeting Attendance of the Board of Directors,1.,AKARAT NA RANONG,N/A,7 / 7,100.00,Yes,
FNS,2022,7,5,28/03/2022,No,Meeting Attendance of the Board of Directors,2.,VORASIT POKACHAIYAPAT,N/A,7 / 7,100.00,Yes,
FNS,2022,7,5,28/03/2022,No,Meeting Attendance of the Board of Directors,3.,NUTTAWUT PHOWBOROM,N/A,4 / 7,57.14,Yes,
FNS,2022,7,5,28/03/2022,No,Meeting Attendance of the Board of Directors,4.,CHANMANU SUMAWONG,N/A,7 / 7,100.00,Yes,
FNS,2022,7,5,28/03/2022,No,Meeting Attendance of the Board of Directors,5.,JAMES MARSHALL,N/A,5 / 5,100.00,Yes,
FNS,2022,7,5,28/03/2022,No,Meeting Attendance of the Board of Directors,6.,VARAH SUCHARITAKUL,06/05/2022,3 / 3,100.00,No,
FNS,2022,7,5,28/03/2022,No,Meeting Attendance of the Board of Directors,7.,KITTIPONG LERTVANANGKUL,06/05/2022,3 / 3,100.00,Yes,
FNS,2022,7,5,28/03/2022,No,Meeting Attendance of Audit Committee,1.,CHANMANU SUMAWONG,N/A,5 / 5,100.00,,
FNS,2022,7,5,28/03/2022,No,Meeting Attendance of Audit Committee,2.,NUTTAWUT PHOWBOROM,N/A,3 / 5,60.00,,
FNS,2022,7,5,28/03/2022,No,Meeting Attendance of Audit Committee,3.,AKARAT NA RANONG,N/A,5 / 5,100.00,,
FNS,2022,7,5,28/03/2022,No,Meeting Attendance of Executive Committee,,No Information,,,,,
FNS,2022,7,5,28/03/2022,No,"Meeting Attendance of The Nomination, Compensation and Corporate Governance Committee",1.,AKARAT NA RANONG,N/A,0 / 0,N/A,,
FNS,2022,7,5,28/03/2022,No,"Meeting Attendance of The Nomination, Compensation and Corporate Governance Committee",2.,CHANMANU SUMAWONG,N/A,0 / 0,N/A,,
FNS,2022,7,5,28/03/2022,No,"Meeting Attendance of The Nomination, Compensation and Corporate Governance Committee",3.,VORASIT POKACHAIYAPAT,N/A,0 / 0,N/A,,
FNS,2023,10,5,25/04/2023,Yes,Meeting Attendance of the Board of Directors,1.,AKARAT NA RANONG,N/A,10 / 10,100.00,Yes,
FNS,2023,10,5,25/04/2023,Yes,Meeting Attendance of the Board of Directors,2.,VORASIT POKACHAIYAPAT,N/A,10 / 10,100.00,Yes,
FNS,2023,10,5,25/04/2023,Yes,Meeting Attendance of the Board of Directors,3.,NUTTAWUT PHOWBOROM,N/A,8 / 10,80.00,Yes,
