Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
FORTH,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
FORTH,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
FORTH,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
FORTH,2022,7,4,22/04/2022,No,Meeting Attendance of the Board of Directors,1.,PONGCHAI AMATANON,N/A,7 / 7,100.00,Yes,
FORTH,2022,7,4,22/04/2022,No,Meeting Attendance of the Board of Directors,2.,SANIT VORAPANYA,N/A,7 / 7,100.00,Yes,
FORTH,2022,7,4,22/04/2022,No,Meeting Attendance of the Board of Directors,3.,KAELIC AMATANON,N/A,7 / 7,100.00,Yes,
FORTH,2022,7,4,22/04/2022,No,Meeting Attendance of the Board of Directors,4.,MATINEE WANDEEPIROM,N/A,7 / 7,100.00,Yes,
FORTH,2022,7,4,22/04/2022,No,Meeting Attendance of the Board of Directors,5.,BOONYA TANTIPANICHPAN,N/A,7 / 7,100.00,Yes,
FORTH,2022,7,4,22/04/2022,No,Meeting Attendance of the Board of Directors,6.,SOMBOON MUANGKLAM,N/A,7 / 7,100.00,Yes,
FORTH,2022,7,4,22/04/2022,No,Meeting Attendance of the Board of Directors,7.,VILASINEE PUDDHIKARANT,N/A,7 / 7,100.00,Yes,
FORTH,2022,7,4,22/04/2022,No,Meeting Attendance of the Board of Directors,8.,PORNTIP LERTTHANONGSAK,N/A,7 / 7,100.00,Yes,
FORTH,2022,7,4,22/04/2022,No,Meeting Attendance of the Board of Directors,9.,NOPARAT SIRIPONGPREEDA,N/A,7 / 7,100.00,Yes,
FORTH,2022,7,4,22/04/2022,No,Meeting Attendance of the Board of Directors,10.,PICHAMON AMATANON,N/A,6 / 7,85.71,Yes,
FORTH,2022,7,4,22/04/2022,No,Meeting Attendance of Audit Committee,1.,SOMBOON MUANGKLAM,N/A,4 / 4,100.00,,
