Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
FPT,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
FPT,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
FPT,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
FPT,2022,6,5,16/01/2023,No,Meeting Attendance of the Board of Directors,1.,CHAINOI PUANKOSOOM,N/A,6 / 6,100.00,Yes,
FPT,2022,6,5,16/01/2023,No,Meeting Attendance of the Board of Directors,2.,CHATCHAVAL JIARAVANON,N/A,4 / 6,66.67,Yes,
FPT,2022,6,5,16/01/2023,No,Meeting Attendance of the Board of Directors,3.,CHAI VINICHBUTR,N/A,5 / 6,83.33,Yes,
FPT,2022,6,5,16/01/2023,No,Meeting Attendance of the Board of Directors,4.,CHALI SOPHONPANICH,N/A,5 / 6,83.33,No,
FPT,2022,6,5,16/01/2023,No,Meeting Attendance of the Board of Directors,5.,PANOTE SIRIVADHANABHAKDI,N/A,6 / 6,100.00,Yes,
FPT,2022,6,5,16/01/2023,No,Meeting Attendance of the Board of Directors,6.,CHOTIPHAT BIJANANDA,N/A,5 / 6,83.33,Yes,
FPT,2022,6,5,16/01/2023,No,Meeting Attendance of the Board of Directors,7.,TITHIPHAN CHUERBOONCHAI,N/A,6 / 6,100.00,Yes,
FPT,2022,6,5,16/01/2023,No,Meeting Attendance of the Board of Directors,8.,SITHICHAI CHAIKRIANGKRAI,N/A,6 / 6,100.00,Yes,
FPT,2022,6,5,16/01/2023,No,Meeting Attendance of the Board of Directors,9.,THANAPOL SIRITHANACHAI,N/A,6 / 6,100.00,Yes,
FPT,2022,6,5,16/01/2023,No,Meeting Attendance of the Board of Directors,10.,BUSAYA MATHELIN,N/A,6 / 6,100.00,Yes,
FPT,2022,6,5,16/01/2023,No,Meeting Attendance of the Board of Directors,11.,UTEN LOHACHITPITAKS,01/01/2022,0 / 1,0.00,No,
FPT,2022,6,5,16/01/2023,No,Meeting Attendance of Audit Committee,1.,TITHIPHAN CHUERBOONCHAI,N/A,5 / 5,100.00,,
FPT,2022,6,5,16/01/2023,No,Meeting Attendance of Audit Committee,2.,CHATCHAVAL JIARAVANON,N/A,4 / 5,80.00,,
FPT,2022,6,5,16/01/2023,No,Meeting Attendance of Audit Committee,3.,CHAINOI PUANKOSOOM,N/A,5 / 5,100.00,,
FPT,2022,6,5,16/01/2023,No,Meeting Attendance of Executive Committee,1.,PANOTE SIRIVADHANABHAKDI,N/A,N/A,N/A,,
FPT,2022,6,5,16/01/2023,No,Meeting Attendance of Executive Committee,2.,SITHICHAI CHAIKRIANGKRAI,N/A,N/A,N/A,,
FPT,2022,6,5,16/01/2023,No,Meeting Attendance of Executive Committee,3.,THANAPOL SIRITHANACHAI,N/A,N/A,N/A,,
FPT,2022,6,5,16/01/2023,No,Meeting Attendance of Executive Committee,4.,Saenphin  Sukhee,N/A,N/A,N/A,,
FPT,2022,6,5,16/01/2023,No,Meeting Attendance of Executive Committee,5.,Sopon Racharaksa,N/A,N/A,N/A,,
FPT,2022,6,5,16/01/2023,No,Meeting Attendance of Executive Committee,6.,Somboon Wasinchutchawal,N/A,N/A,N/A,,
FPT,2022,6,5,16/01/2023,No,Meeting Attendance of Compensation and Nomination Committee,1.,CHAINOI PUANKOSOOM,N/A,0 / 0,N/A,,
FPT,2022,6,5,16/01/2023,No,Meeting Attendance of Compensation and Nomination Committee,2.,CHATCHAVAL JIARAVANON,N/A,0 / 0,N/A,,
FPT,2022,6,5,16/01/2023,No,Meeting Attendance of Compensation and Nomination Committee,3.,PANOTE SIRIVADHANABHAKDI,N/A,0 / 0,N/A,,
FPT,2022,6,5,16/01/2023,No,Meeting Attendance of Corporate Governance and Sustainable Development Committee,1.,CHAINOI PUANKOSOOM,N/A,0 / 0,N/A,,
FPT,2022,6,5,16/01/2023,No,Meeting Attendance of Corporate Governance and Sustainable Development Committee,2.,TITHIPHAN CHUERBOONCHAI,N/A,0 / 0,N/A,,
FPT,2022,6,5,16/01/2023,No,Meeting Attendance of Corporate Governance and Sustainable Development Committee,3.,THANAPOL SIRITHANACHAI,N/A,0 / 0,N/A,,
FPT,2022,6,5,16/01/2023,No,Meeting Attendance of Risk Management Committee,1.,CHOTIPHAT BIJANANDA,N/A,0 / 0,N/A,,
FPT,2022,6,5,16/01/2023,No,Meeting Attendance of Risk Management Committee,2.,TITHIPHAN CHUERBOONCHAI,N/A,0 / 0,N/A,,
FPT,2022,6,5,16/01/2023,No,Meeting Attendance of Risk Management Committee,3.,PANOTE SIRIVADHANABHAKDI,N/A,0 / 0,N/A,,
FPT,2022,6,5,16/01/2023,No,Meeting Attendance of Risk Management Committee,4.,THANAPOL SIRITHANACHAI,N/A,0 / 0,N/A,,
FPT,2023,7,5,16/01/2023,No,Meeting Attendance of the Board of Directors,1.,CHAINOI PUANKOSOOM,N/A,7 / 7,100.00,Yes,
FPT,2023,7,5,16/01/2023,No,Meeting Attendance of the Board of Directors,2.,CHAI VINICHBUTR,N/A,7 / 7,100.00,Yes,
FPT,2023,7,5,16/01/2023,No,Meeting Attendance of the Board of Directors,3.,CHATCHAVAL JIARAVANON,N/A,7 / 7,100.00,Yes,
FPT,2023,7,5,16/01/2023,No,Meeting Attendance of the Board of Directors,4.,PANOTE SIRIVADHANABHAKDI,N/A,7 / 7,100.00,Yes,
FPT,2023,7,5,16/01/2023,No,Meeting Attendance of the Board of Directors,5.,CHOTIPHAT BIJANANDA,N/A,7 / 7,100.00,Yes,
FPT,2023,7,5,16/01/2023,No,Meeting Attendance of the Board of Directors,6.,TITHIPHAN CHUERBOONCHAI,N/A,7 / 7,100.00,Yes,
FPT,2023,7,5,16/01/2023,No,Meeting Attendance of the Board of Directors,7.,SITHICHAI CHAIKRIANGKRAI,N/A,7 / 7,100.00,Yes,
FPT,2023,7,5,16/01/2023,No,Meeting Attendance of the Board of Directors,8.,THANAPOL SIRITHANACHAI,N/A,7 / 7,100.00,Yes,
FPT,2023,7,5,16/01/2023,No,Meeting Attendance of the Board of Directors,9.,BUSAYA MATHELIN,N/A,7 / 7,100.00,Yes,
FPT,2023,7,5,16/01/2023,No,Meeting Attendance of the Board of Directors,10.,CHALI SOPHONPANICH,07/02/2023,7 / 7,100.00,No,
FPT,2023,7,5,16/01/2023,No,Meeting Attendance of Audit Committee,1.,TITHIPHAN CHUERBOONCHAI,N/A,5 / 5,100.00,,
FPT,2023,7,5,16/01/2023,No,Meeting Attendance of Audit Committee,2.,CHATCHAVAL JIARAVANON,N/A,4 / 5,80.00,,
FPT,2023,7,5,16/01/2023,No,Meeting Attendance of Audit Committee,3.,CHAINOI PUANKOSOOM,N/A,5 / 5,100.00,,
FPT,2023,7,5,16/01/2023,No,Meeting Attendance of Executive Committee,1.,PANOTE SIRIVADHANABHAKDI,N/A,N/A,N/A,,
FPT,2023,7,5,16/01/2023,No,Meeting Attendance of Executive Committee,2.,SITHICHAI CHAIKRIANGKRAI,N/A,N/A,N/A,,
FPT,2023,7,5,16/01/2023,No,Meeting Attendance of Executive Committee,3.,THANAPOL SIRITHANACHAI,N/A,N/A,N/A,,
FPT,2023,7,5,16/01/2023,No,Meeting Attendance of Executive Committee,4.,Sopon  Racharaksa,N/A,N/A,N/A,,
FPT,2023,7,5,16/01/2023,No,Meeting Attendance of Executive Committee,5.,Somboon Wasinchutchawal,N/A,N/A,N/A,,
FPT,2023,7,5,16/01/2023,No,Meeting Attendance of Executive Committee,6.,Saenphin  Sukhee,31/08/2023,N/A,N/A,,
