Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
FSX,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
FSX,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
FSX,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
FSX,2022,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
FSX,2022,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
FSX,2022,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
FSX,2023,7,N/A,31/03/2023,No,Meeting Attendance of the Board of Directors,1.,CHATCHAVAL JIARAVANON,N/A,5 / 7,71.43,No,
FSX,2023,7,N/A,31/03/2023,No,Meeting Attendance of the Board of Directors,2.,VORAPAK TANYAWONG,N/A,6 / 7,85.71,No,
FSX,2023,7,N/A,31/03/2023,No,Meeting Attendance of the Board of Directors,3.,KITTISAK BENCHARIT,N/A,7 / 7,100.00,No,
FSX,2023,7,N/A,31/03/2023,No,Meeting Attendance of the Board of Directors,4.,CHUANGCHAI NAWONGS,N/A,7 / 7,100.00,Yes,
FSX,2023,7,N/A,31/03/2023,No,Meeting Attendance of the Board of Directors,5.,SOMPHOP KEERASUNTONPONG,N/A,7 / 7,100.00,Yes,
FSX,2023,7,N/A,31/03/2023,No,Meeting Attendance of the Board of Directors,6.,VISANU PRASATTONGOSOTH,N/A,7 / 7,100.00,No,
FSX,2023,7,N/A,31/03/2023,No,Meeting Attendance of the Board of Directors,7.,PORNPRING SUKSANTISUWAN,N/A,7 / 7,100.00,No,
FSX,2023,7,N/A,31/03/2023,No,Meeting Attendance of the Board of Directors,8.,SEKSAN CHUNSEREECHAI,N/A,7 / 7,100.00,No,
FSX,2023,7,N/A,31/03/2023,No,Meeting Attendance of the Board of Directors,9.,PHAIBOON SIRIPANOOSATIEN,27/11/2023,5 / 5,100.00,No,
FSX,2023,7,N/A,31/03/2023,No,Meeting Attendance of Audit Committee,1.,VISANU PRASATTONGOSOTH,N/A,6 / 6,100.00,,
FSX,2023,7,N/A,31/03/2023,No,Meeting Attendance of Audit Committee,2.,KITTISAK BENCHARIT,N/A,6 / 6,100.00,,
FSX,2023,7,N/A,31/03/2023,No,Meeting Attendance of Audit Committee,3.,PHAIBOON SIRIPANOOSATIEN,27/11/2023,5 / 5,100.00,,
FSX,2023,7,N/A,31/03/2023,No,Meeting Attendance of Executive Committee,1.,VORAPAK TANYAWONG,N/A,N/A,N/A,,
FSX,2023,7,N/A,31/03/2023,No,Meeting Attendance of Executive Committee,2.,CHUANGCHAI NAWONGS,N/A,N/A,N/A,,
FSX,2023,7,N/A,31/03/2023,No,Meeting Attendance of Executive Committee,3.,SOMPHOP KEERASUNTONPONG,N/A,N/A,N/A,,
FSX,2023,7,N/A,31/03/2023,No,Meeting Attendance of Executive Committee,4.,PORNPRING SUKSANTISUWAN,N/A,N/A,N/A,,
FSX,2023,7,N/A,31/03/2023,No,"Meeting Attendance of The Nomination, Remuneration, Corporate Governance and Sustainability Committee",1.,VISANU PRASATTONGOSOTH,N/A,0 / 0,N/A,,
FSX,2023,7,N/A,31/03/2023,No,"Meeting Attendance of The Nomination, Remuneration, Corporate Governance and Sustainability Committee",2.,CHATCHAVAL JIARAVANON,N/A,0 / 0,N/A,,
FSX,2023,7,N/A,31/03/2023,No,"Meeting Attendance of The Nomination, Remuneration, Corporate Governance and Sustainability Committee",3.,VORAPAK TANYAWONG,N/A,0 / 0,N/A,,
FSX,2023,7,N/A,31/03/2023,No,"Meeting Attendance of The Nomination, Remuneration, Corporate Governance and Sustainability Committee",4.,KITTISAK BENCHARIT,N/A,0 / 0,N/A,,
FSX,2023,7,N/A,31/03/2023,No,Meeting Attendance of Technology Committee,1.,PORNPRING SUKSANTISUWAN,N/A,0 / 0,N/A,,
FSX,2023,7,N/A,31/03/2023,No,Meeting Attendance of Technology Committee,2.,CHUANGCHAI NAWONGS,N/A,0 / 0,N/A,,
FSX,2023,7,N/A,31/03/2023,No,Meeting Attendance of Technology Committee,3.,Supin Suravichai,N/A,0 / 0,N/A,,
FSX,2023,7,N/A,31/03/2023,No,Meeting Attendance of Technology Committee,4.,Kosit Thammatada,N/A,0 / 0,N/A,,
FSX,2023,7,N/A,31/03/2023,No,Meeting Attendance of Technology Committee,5.,Nisa Surpsomboon,N/A,0 / 0,N/A,,
FSX,2023,7,N/A,31/03/2023,No,Meeting Attendance of The Executive and Risk Oversight Board,1.,VORAPAK TANYAWONG,N/A,0 / 0,N/A,,
FSX,2023,7,N/A,31/03/2023,No,Meeting Attendance of The Executive and Risk Oversight Board,2.,CHUANGCHAI NAWONGS,N/A,0 / 0,N/A,,
FSX,2023,7,N/A,31/03/2023,No,Meeting Attendance of The Executive and Risk Oversight Board,3.,SOMPHOP KEERASUNTONPONG,N/A,0 / 0,N/A,,
FSX,2023,7,N/A,31/03/2023,No,Meeting Attendance of The Executive and Risk Oversight Board,4.,PORNPRING SUKSANTISUWAN,N/A,0 / 0,N/A,,
FSX,2024,11,8,30/04/2024,Yes,Meeting Attendance of the Board of Directors,1.,CHATCHAVAL JIARAVANON,N/A,10 / 11,90.91,0 / 1,1 / 2
FSX,2024,11,8,30/04/2024,Yes,Meeting Attendance of the Board of Directors,2.,VARAH SUCHARITAKUL,N/A,8 / 9,88.89,0 / 1,Did not hold the meeting
FSX,2024,11,8,30/04/2024,Yes,Meeting Attendance of the Board of Directors,3.,CHUANGCHAI NAWONGS,N/A,11 / 11,100.00,1 / 1,2 / 2
FSX,2024,11,8,30/04/2024,Yes,Meeting Attendance of the Board of Directors,4.,SEKSAN CHUNSEREECHAI,N/A,11 / 11,100.00,1 / 1,2 / 2
FSX,2024,11,8,30/04/2024,Yes,Meeting Attendance of the Board of Directors,5.,SOMPHOP KEERASUNTONPONG,N/A,11 / 11,100.00,0 / 1,2 / 2
FSX,2024,11,8,30/04/2024,Yes,Meeting Attendance of the Board of Directors,6.,VISANU PRASATTONGOSOTH,N/A,10 / 11,90.91,1 / 1,2 / 2
FSX,2024,11,8,30/04/2024,Yes,Meeting Attendance of the Board of Directors,7.,KITTISAK BENCHARIT,N/A,11 / 11,100.00,1 / 1,2 / 2
FSX,2024,11,8,30/04/2024,Yes,Meeting Attendance of the Board of Directors,8.,AKARAT NA RANONG,N/A,0 / 0,N/A,0 / 0,Did not hold the meeting
FSX,2024,11,8,30/04/2024,Yes,Meeting Attendance of the Board of Directors,9.,VORAPAK TANYAWONG,27/09/2024,7 / 9,77.78,1 / 1,2 / 2
