Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
FTE,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
FTE,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
FTE,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
FTE,2022,5,5,20/04/2022,No,Meeting Attendance of the Board of Directors,1.,PORNSAK LIMBOONYAPRASERT,N/A,5 / 5,100.00,Yes,
FTE,2022,5,5,20/04/2022,No,Meeting Attendance of the Board of Directors,2.,TAKSIN TANTIPIJIT,N/A,5 / 5,100.00,Yes,
FTE,2022,5,5,20/04/2022,No,Meeting Attendance of the Board of Directors,3.,PATTAMAPORN TANTIPIJIT,N/A,5 / 5,100.00,Yes,
FTE,2022,5,5,20/04/2022,No,Meeting Attendance of the Board of Directors,4.,WORAPON LOPANSRI,N/A,5 / 5,100.00,Yes,
FTE,2022,5,5,20/04/2022,No,Meeting Attendance of the Board of Directors,5.,SIRICHAI TOWIRIYAWATE,N/A,5 / 5,100.00,Yes,
FTE,2022,5,5,20/04/2022,No,Meeting Attendance of the Board of Directors,6.,PEN YODKLIANG,N/A,5 / 5,100.00,Yes,
FTE,2022,5,5,20/04/2022,No,Meeting Attendance of the Board of Directors,7.,NATHIRA CHEEWASUTHO,N/A,5 / 5,100.00,Yes,
FTE,2022,5,5,20/04/2022,No,Meeting Attendance of Audit Committee,1.,PORNSAK LIMBOONYAPRASERT,N/A,5 / 5,100.00,,
FTE,2022,5,5,20/04/2022,No,Meeting Attendance of Audit Committee,2.,WORAPON LOPANSRI,N/A,5 / 5,100.00,,
FTE,2022,5,5,20/04/2022,No,Meeting Attendance of Audit Committee,3.,SIRICHAI TOWIRIYAWATE,N/A,5 / 5,100.00,,
FTE,2022,5,5,20/04/2022,No,Meeting Attendance of Executive Committee,1.,TAKSIN TANTIPIJIT,N/A,N/A,N/A,,
FTE,2022,5,5,20/04/2022,No,Meeting Attendance of Executive Committee,2.,PRAPAN CHITRCHAROENCHAI,N/A,N/A,N/A,,
FTE,2022,5,5,20/04/2022,No,Meeting Attendance of Executive Committee,3.,KHANITA KHETARUN,N/A,N/A,N/A,,
FTE,2022,5,5,20/04/2022,No,Meeting Attendance of Executive Committee,4.,PEN YODKLIANG,N/A,N/A,N/A,,
FTE,2022,5,5,20/04/2022,No,Meeting Attendance of Executive Committee,5.,NATHIRA CHEEWASUTHO,N/A,N/A,N/A,,
FTE,2022,5,5,20/04/2022,No,Meeting Attendance of Executive Committee,6.,PRIN BURIKAM,N/A,N/A,N/A,,
FTE,2022,5,5,20/04/2022,No,Meeting Attendance of Executive Committee,7.,BOONLERT SANTIWORANART,01/05/2022,N/A,N/A,,
FTE,2022,5,5,20/04/2022,No,Meeting Attendance of Risk Management Committee,1.,TAKSIN TANTIPIJIT,N/A,0 / 0,N/A,,
FTE,2022,5,5,20/04/2022,No,Meeting Attendance of Risk Management Committee,2.,PRAPAN CHITRCHAROENCHAI,N/A,0 / 0,N/A,,
FTE,2022,5,5,20/04/2022,No,Meeting Attendance of Risk Management Committee,3.,NATHIRA CHEEWASUTHO,N/A,0 / 0,N/A,,
FTE,2022,5,5,20/04/2022,No,Meeting Attendance of Risk Management Committee,4.,PRIN BURIKAM,N/A,0 / 0,N/A,,
FTE,2022,5,5,20/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,1.,SIRICHAI TOWIRIYAWATE,N/A,0 / 0,N/A,,
FTE,2022,5,5,20/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,2.,PORNSAK LIMBOONYAPRASERT,N/A,0 / 0,N/A,,
FTE,2022,5,5,20/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,3.,TAKSIN TANTIPIJIT,N/A,0 / 0,N/A,,
FTE,2023,4,5,10/04/2023,No,Meeting Attendance of the Board of Directors,1.,PORNSAK LIMBOONYAPRASERT,N/A,4 / 4,100.00,Yes,
FTE,2023,4,5,10/04/2023,No,Meeting Attendance of the Board of Directors,2.,TAKSIN TANTIPIJIT,N/A,4 / 4,100.00,Yes,
FTE,2023,4,5,10/04/2023,No,Meeting Attendance of the Board of Directors,3.,PATTAMAPORN TANTIPIJIT,N/A,4 / 4,100.00,Yes,
FTE,2023,4,5,10/04/2023,No,Meeting Attendance of the Board of Directors,4.,WORAPON LOPANSRI,N/A,4 / 4,100.00,Yes,
FTE,2023,4,5,10/04/2023,No,Meeting Attendance of the Board of Directors,5.,SIRICHAI TOWIRIYAWATE,N/A,4 / 4,100.00,Yes,
FTE,2023,4,5,10/04/2023,No,Meeting Attendance of the Board of Directors,6.,PEN YODKLIANG,N/A,4 / 4,100.00,Yes,
FTE,2023,4,5,10/04/2023,No,Meeting Attendance of the Board of Directors,7.,NATHIRA CHEEWASUTHO,N/A,4 / 4,100.00,Yes,
FTE,2023,4,5,10/04/2023,No,Meeting Attendance of Audit Committee,1.,PORNSAK LIMBOONYAPRASERT,N/A,5 / 5,100.00,,
FTE,2023,4,5,10/04/2023,No,Meeting Attendance of Audit Committee,2.,WORAPON LOPANSRI,N/A,5 / 5,100.00,,
FTE,2023,4,5,10/04/2023,No,Meeting Attendance of Audit Committee,3.,SIRICHAI TOWIRIYAWATE,N/A,5 / 5,100.00,,
FTE,2023,4,5,10/04/2023,No,Meeting Attendance of Executive Committee,1.,TAKSIN TANTIPIJIT,N/A,N/A,N/A,,
FTE,2023,4,5,10/04/2023,No,Meeting Attendance of Executive Committee,2.,PRAPAN CHITRCHAROENCHAI,N/A,N/A,N/A,,
FTE,2023,4,5,10/04/2023,No,Meeting Attendance of Executive Committee,3.,KHANITA KHETARUN,N/A,N/A,N/A,,
FTE,2023,4,5,10/04/2023,No,Meeting Attendance of Executive Committee,4.,PEN YODKLIANG,N/A,N/A,N/A,,
FTE,2023,4,5,10/04/2023,No,Meeting Attendance of Executive Committee,5.,NATHIRA CHEEWASUTHO,N/A,N/A,N/A,,
FTE,2023,4,5,10/04/2023,No,Meeting Attendance of Executive Committee,6.,PRIN BURIKAM,N/A,N/A,N/A,,
FTE,2023,4,5,10/04/2023,No,Meeting Attendance of Executive Committee,7.,BOONLERT SANTIWORANART,01/05/2022,N/A,N/A,,
FTE,2023,4,5,10/04/2023,No,Meeting Attendance of Risk Management Committee,1.,TAKSIN TANTIPIJIT,N/A,0 / 0,N/A,,
FTE,2023,4,5,10/04/2023,No,Meeting Attendance of Risk Management Committee,2.,PRAPAN CHITRCHAROENCHAI,N/A,0 / 0,N/A,,
FTE,2023,4,5,10/04/2023,No,Meeting Attendance of Risk Management Committee,3.,NATHIRA CHEEWASUTHO,N/A,0 / 0,N/A,,
FTE,2023,4,5,10/04/2023,No,Meeting Attendance of Risk Management Committee,4.,PRIN BURIKAM,N/A,0 / 0,N/A,,
FTE,2023,4,5,10/04/2023,No,Meeting Attendance of Nomination and Remuneration Committee,1.,SIRICHAI TOWIRIYAWATE,N/A,0 / 0,N/A,,
FTE,2023,4,5,10/04/2023,No,Meeting Attendance of Nomination and Remuneration Committee,2.,PORNSAK LIMBOONYAPRASERT,N/A,0 / 0,N/A,,
FTE,2023,4,5,10/04/2023,No,Meeting Attendance of Nomination and Remuneration Committee,3.,TAKSIN TANTIPIJIT,N/A,0 / 0,N/A,,
FTE,2024,4,5,24/04/2024,No,Meeting Attendance of the Board of Directors,1.,PORNSAK LIMBOONYAPRASERT,N/A,4 / 4,100.00,1 / 1,
FTE,2024,4,5,24/04/2024,No,Meeting Attendance of the Board of Directors,2.,TAKSIN TANTIPIJIT,N/A,4 / 4,100.00,1 / 1,
FTE,2024,4,5,24/04/2024,No,Meeting Attendance of the Board of Directors,3.,PATTAMAPORN TANTIPIJIT,N/A,4 / 4,100.00,1 / 1,
FTE,2024,4,5,24/04/2024,No,Meeting Attendance of the Board of Directors,4.,WORAPON LOPANSRI,N/A,4 / 4,100.00,1 / 1,
FTE,2024,4,5,24/04/2024,No,Meeting Attendance of the Board of Directors,5.,SIRICHAI TOWIRIYAWATE,N/A,4 / 4,100.00,1 / 1,
FTE,2024,4,5,24/04/2024,No,Meeting Attendance of the Board of Directors,6.,PEN YODKLIANG,N/A,4 / 4,100.00,1 / 1,
FTE,2024,4,5,24/04/2024,No,Meeting Attendance of the Board of Directors,7.,NATHIRA CHEEWASUTHO,N/A,4 / 4,100.00,1 / 1,
FTE,2024,4,5,24/04/2024,No,Meeting Attendance of Audit Committee,1.,PORNSAK LIMBOONYAPRASERT,N/A,5 / 5,100.00,,
FTE,2024,4,5,24/04/2024,No,Meeting Attendance of Audit Committee,2.,WORAPON LOPANSRI,N/A,5 / 5,100.00,,
FTE,2024,4,5,24/04/2024,No,Meeting Attendance of Audit Committee,3.,SIRICHAI TOWIRIYAWATE,N/A,5 / 5,100.00,,
FTE,2024,4,5,24/04/2024,No,Meeting Attendance of Executive Committee,1.,TAKSIN TANTIPIJIT,N/A,13 / 13,100.00,,
FTE,2024,4,5,24/04/2024,No,Meeting Attendance of Executive Committee,2.,PRAPAN CHITRCHAROENCHAI,N/A,13 / 13,100.00,,
FTE,2024,4,5,24/04/2024,No,Meeting Attendance of Executive Committee,3.,KHANITA KHETARUN,N/A,13 / 13,100.00,,
FTE,2024,4,5,24/04/2024,No,Meeting Attendance of Executive Committee,4.,PEN YODKLIANG,N/A,13 / 13,100.00,,
FTE,2024,4,5,24/04/2024,No,Meeting Attendance of Executive Committee,5.,NATHIRA CHEEWASUTHO,N/A,13 / 13,100.00,,
FTE,2024,4,5,24/04/2024,No,Meeting Attendance of Executive Committee,6.,PRIN BURIKAM,N/A,13 / 13,100.00,,
FTE,2024,4,5,24/04/2024,No,Meeting Attendance of Risk Management Committee,1.,TAKSIN TANTIPIJIT,N/A,4 / 4,100.00,,
FTE,2024,4,5,24/04/2024,No,Meeting Attendance of Risk Management Committee,2.,PRAPAN CHITRCHAROENCHAI,N/A,4 / 4,100.00,,
FTE,2024,4,5,24/04/2024,No,Meeting Attendance of Risk Management Committee,3.,NATHIRA CHEEWASUTHO,N/A,4 / 4,100.00,,
FTE,2024,4,5,24/04/2024,No,Meeting Attendance of Risk Management Committee,4.,PRIN BURIKAM,N/A,4 / 4,100.00,,
FTE,2024,4,5,24/04/2024,No,Meeting Attendance of Nomination and Remuneration Committee,1.,SIRICHAI TOWIRIYAWATE,N/A,1 / 1,100.00,,
FTE,2024,4,5,24/04/2024,No,Meeting Attendance of Nomination and Remuneration Committee,2.,PORNSAK LIMBOONYAPRASERT,N/A,1 / 1,100.00,,
FTE,2024,4,5,24/04/2024,No,Meeting Attendance of Nomination and Remuneration Committee,3.,TAKSIN TANTIPIJIT,N/A,1 / 1,100.00,,
FTE,2024,4,5,24/04/2024,No,Meeting Attendance of Corporate Governance and Sustainability,1.,PORNSAK LIMBOONYAPRASERT,N/A,1 / 1,100.00,,
FTE,2024,4,5,24/04/2024,No,Meeting Attendance of Corporate Governance and Sustainability,2.,SIRICHAI TOWIRIYAWATE,N/A,1 / 1,100.00,,
FTE,2024,4,5,24/04/2024,No,Meeting Attendance of Corporate Governance and Sustainability,3.,WORAPON LOPANSRI,N/A,1 / 1,100.00,,
FTE,2024,4,5,24/04/2024,No,Meeting Attendance of Corporate Governance and Sustainability,4.,TAKSIN TANTIPIJIT,N/A,1 / 1,100.00,,
FTE,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,1.,PORNSAK LIMBOONYAPRASERT,N/A,4 / 4,100.00,1 / 1,
FTE,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,2.,TAKSIN TANTIPIJIT,N/A,4 / 4,100.00,0 / 0,
