Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
FVC,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
FVC,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
FVC,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
FVC,2022,7,6,29/04/2022,No,Meeting Attendance of the Board of Directors,1.,WITIT SUJJAPONG,N/A,7 / 7,100.00,Yes,
FVC,2022,7,6,29/04/2022,No,Meeting Attendance of the Board of Directors,2.,WIJIT TECHAKASEM,N/A,7 / 7,100.00,Yes,
FVC,2022,7,6,29/04/2022,No,Meeting Attendance of the Board of Directors,3.,PANCHIT CHIMPALEE,N/A,7 / 7,100.00,Yes,
FVC,2022,7,6,29/04/2022,No,Meeting Attendance of the Board of Directors,4.,TANAPAT TANTIWATTANAWIJIT,N/A,7 / 7,100.00,Yes,
FVC,2022,7,6,29/04/2022,No,Meeting Attendance of the Board of Directors,5.,MONTRIE PRAJUNPANICH,N/A,6 / 7,85.71,Yes,
FVC,2022,7,6,29/04/2022,No,Meeting Attendance of the Board of Directors,6.,THANETR KHUMCHOEDCHOOCHAI,N/A,7 / 7,100.00,Yes,
FVC,2022,7,6,29/04/2022,No,Meeting Attendance of the Board of Directors,7.,KIATTIPORN SIRICHAISAKUL,N/A,7 / 7,100.00,Yes,
FVC,2022,7,6,29/04/2022,No,Meeting Attendance of the Board of Directors,8.,MANIT TEERATANTIKANONT,N/A,7 / 7,100.00,Yes,
FVC,2022,7,6,29/04/2022,No,Meeting Attendance of the Board of Directors,9.,TEERANUT THANGSATAPORNPONG,N/A,7 / 7,100.00,Yes,
FVC,2022,7,6,29/04/2022,No,Meeting Attendance of Audit Committee,1.,THANETR KHUMCHOEDCHOOCHAI,N/A,6 / 6,100.00,,
FVC,2022,7,6,29/04/2022,No,Meeting Attendance of Audit Committee,2.,KIATTIPORN SIRICHAISAKUL,N/A,6 / 6,100.00,,
FVC,2022,7,6,29/04/2022,No,Meeting Attendance of Audit Committee,3.,TEERANUT THANGSATAPORNPONG,N/A,6 / 6,100.00,,
FVC,2022,7,6,29/04/2022,No,Meeting Attendance of Executive Committee,1.,WIJIT TECHAKASEM,N/A,N/A,N/A,,
FVC,2022,7,6,29/04/2022,No,Meeting Attendance of Executive Committee,2.,TANAPAT TANTIWATTANAWIJIT,N/A,N/A,N/A,,
FVC,2022,7,6,29/04/2022,No,Meeting Attendance of Executive Committee,3.,Supapan Yeamlaengamkul,N/A,N/A,N/A,,
FVC,2022,7,6,29/04/2022,No,Meeting Attendance of Executive Committee,4.,Thanapa Techakasem,N/A,N/A,N/A,,
FVC,2022,7,6,29/04/2022,No,Meeting Attendance of Executive Committee,5.,Rathaphon Tatong,N/A,N/A,N/A,,
FVC,2022,7,6,29/04/2022,No,Meeting Attendance of Executive Committee,6.,Somchai  Hongsa,N/A,N/A,N/A,,
FVC,2022,7,6,29/04/2022,No,Meeting Attendance of Executive Committee,7.,PANCHIT CHIMPALEE,N/A,N/A,N/A,,
FVC,2022,7,6,29/04/2022,No,Meeting Attendance of Remuneration and Nomination Committee,1.,MANIT TEERATANTIKANONT,N/A,0 / 0,N/A,,
FVC,2022,7,6,29/04/2022,No,Meeting Attendance of Remuneration and Nomination Committee,2.,KIATTIPORN SIRICHAISAKUL,N/A,0 / 0,N/A,,
FVC,2022,7,6,29/04/2022,No,Meeting Attendance of Remuneration and Nomination Committee,3.,MONTRIE PRAJUNPANICH,N/A,0 / 0,N/A,,
FVC,2023,5,4,28/04/2023,No,Meeting Attendance of the Board of Directors,1.,Witit Sujjapong,N/A,5 / 5,100.00,Yes,
FVC,2023,5,4,28/04/2023,No,Meeting Attendance of the Board of Directors,2.,Wijit Techakasem,N/A,5 / 5,100.00,Yes,
FVC,2023,5,4,28/04/2023,No,Meeting Attendance of the Board of Directors,3.,Montrie Prajunpanich,N/A,5 / 5,100.00,Yes,
FVC,2023,5,4,28/04/2023,No,Meeting Attendance of the Board of Directors,4.,Tanapat Tantiwattanawijit,N/A,5 / 5,100.00,Yes,
FVC,2023,5,4,28/04/2023,No,Meeting Attendance of the Board of Directors,5.,Panchit Chimpalee,N/A,5 / 5,100.00,Yes,
FVC,2023,5,4,28/04/2023,No,Meeting Attendance of the Board of Directors,6.,Thanetr Khumchoedchoochai,N/A,5 / 5,100.00,Yes,
FVC,2023,5,4,28/04/2023,No,Meeting Attendance of the Board of Directors,7.,Kiattiporn Sirichaisakul,N/A,5 / 5,100.00,Yes,
FVC,2023,5,4,28/04/2023,No,Meeting Attendance of the Board of Directors,8.,Manit Teeratantikanont,N/A,5 / 5,100.00,Yes,
FVC,2023,5,4,28/04/2023,No,Meeting Attendance of the Board of Directors,9.,Teeranut Thangsatapornpong,N/A,5 / 5,100.00,Yes,
FVC,2023,5,4,28/04/2023,No,Meeting Attendance of Audit Committee,1.,Thanetr Khumchoedchoochai,N/A,4 / 4,100.00,,
FVC,2023,5,4,28/04/2023,No,Meeting Attendance of Audit Committee,2.,Kiattiporn Sirichaisakul,N/A,4 / 4,100.00,,
FVC,2023,5,4,28/04/2023,No,Meeting Attendance of Audit Committee,3.,Teeranut Thangsatapornpong,N/A,4 / 4,100.00,,
FVC,2023,5,4,28/04/2023,No,Meeting Attendance of Executive Committee,1.,Wijit Techakasem,N/A,N/A,N/A,,
FVC,2023,5,4,28/04/2023,No,Meeting Attendance of Executive Committee,2.,Tanapat Tantiwattanawijit,N/A,N/A,N/A,,
FVC,2023,5,4,28/04/2023,No,Meeting Attendance of Executive Committee,3.,Panchit Chimpalee,N/A,N/A,N/A,,
FVC,2023,5,4,28/04/2023,No,Meeting Attendance of Executive Committee,4.,Thanapa Techakasem,N/A,N/A,N/A,,
FVC,2023,5,4,28/04/2023,No,Meeting Attendance of Executive Committee,5.,Supapan Yeamlaengamkul,N/A,N/A,N/A,,
FVC,2023,5,4,28/04/2023,No,Meeting Attendance of Executive Committee,6.,Somchai Hongsa,N/A,N/A,N/A,,
FVC,2023,5,4,28/04/2023,No,Meeting Attendance of Executive Committee,7.,Rathaphon Tatong,N/A,N/A,N/A,,
FVC,2023,5,4,28/04/2023,No,Meeting Attendance of Risk Management Committee,1.,Thanetr Khumchoedchoochai,N/A,0 / 0,N/A,,
FVC,2023,5,4,28/04/2023,No,Meeting Attendance of Risk Management Committee,2.,Wijit Techakasem,N/A,0 / 0,N/A,,
FVC,2023,5,4,28/04/2023,No,Meeting Attendance of Risk Management Committee,3.,Kiattiporn Sirichaisakul,N/A,0 / 0,N/A,,
FVC,2023,5,4,28/04/2023,No,Meeting Attendance of Risk Management Committee,4.,Montrie Prajunpanich,N/A,0 / 0,N/A,,
FVC,2023,5,4,28/04/2023,No,Meeting Attendance of Nomination and Remuneration Committee,1.,Manit Teeratantikanont,N/A,0 / 0,N/A,,
FVC,2023,5,4,28/04/2023,No,Meeting Attendance of Nomination and Remuneration Committee,2.,Kiattiporn Sirichaisakul,N/A,0 / 0,N/A,,
FVC,2023,5,4,28/04/2023,No,Meeting Attendance of Nomination and Remuneration Committee,3.,Montrie Prajunpanich,N/A,0 / 0,N/A,,
FVC,2024,5,4,30/04/2024,No,Meeting Attendance of the Board of Directors,1.,WITIT SUJJAPONG,N/A,5 / 5,100.00,1 / 1,
FVC,2024,5,4,30/04/2024,No,Meeting Attendance of the Board of Directors,2.,WIJIT TECHAKASEM,N/A,5 / 5,100.00,1 / 1,
FVC,2024,5,4,30/04/2024,No,Meeting Attendance of the Board of Directors,3.,THANETR KHUMCHOEDCHOOCHAI,N/A,5 / 5,100.00,1 / 1,
FVC,2024,5,4,30/04/2024,No,Meeting Attendance of the Board of Directors,4.,KIATTIPORN SIRICHAISAKUL,N/A,5 / 5,100.00,1 / 1,
FVC,2024,5,4,30/04/2024,No,Meeting Attendance of the Board of Directors,5.,TEERANUT THANGSATAPORNPONG,N/A,5 / 5,100.00,1 / 1,
FVC,2024,5,4,30/04/2024,No,Meeting Attendance of the Board of Directors,6.,MANIT TEERATANTIKANONT,N/A,5 / 5,100.00,1 / 1,
FVC,2024,5,4,30/04/2024,No,Meeting Attendance of the Board of Directors,7.,MONTRIE PRAJUNPANICH,N/A,5 / 5,100.00,1 / 1,
FVC,2024,5,4,30/04/2024,No,Meeting Attendance of the Board of Directors,8.,TANAPAT TANTIWATTANAWIJIT,N/A,5 / 5,100.00,1 / 1,
FVC,2024,5,4,30/04/2024,No,Meeting Attendance of the Board of Directors,9.,PANCHIT CHIMPALEE,N/A,5 / 5,100.00,1 / 1,
FVC,2024,5,4,30/04/2024,No,Meeting Attendance of Audit Committee,1.,THANETR KHUMCHOEDCHOOCHAI,N/A,4 / 4,100.00,,
FVC,2024,5,4,30/04/2024,No,Meeting Attendance of Audit Committee,2.,KIATTIPORN SIRICHAISAKUL,N/A,4 / 4,100.00,,
FVC,2024,5,4,30/04/2024,No,Meeting Attendance of Audit Committee,3.,TEERANUT THANGSATAPORNPONG,N/A,4 / 4,100.00,,
FVC,2024,5,4,30/04/2024,No,Meeting Attendance of Executive Committee,1.,WIJIT TECHAKASEM,N/A,13 / 13,100.00,,
FVC,2024,5,4,30/04/2024,No,Meeting Attendance of Executive Committee,2.,TANAPAT TANTIWATTANAWIJIT,N/A,13 / 13,100.00,,
FVC,2024,5,4,30/04/2024,No,Meeting Attendance of Executive Committee,3.,PANCHIT CHIMPALEE,N/A,13 / 13,100.00,,
