Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
GABLE,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
GABLE,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
GABLE,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
GABLE,2022,9,5,31/05/2022,No,Meeting Attendance of the Board of Directors,1.,SUPAVADEE PHANTUMVANIT,N/A,3 / 3,100.00,Yes,
GABLE,2022,9,5,31/05/2022,No,Meeting Attendance of the Board of Directors,2.,NART LIUCHAREON,N/A,3 / 3,100.00,Yes,
GABLE,2022,9,5,31/05/2022,No,Meeting Attendance of the Board of Directors,3.,LIM CHIN HU,N/A,3 / 3,100.00,Yes,
GABLE,2022,9,5,31/05/2022,No,Meeting Attendance of the Board of Directors,4.,PRAPAS UAHWATANASAKUL,N/A,3 / 3,100.00,Yes,
GABLE,2022,9,5,31/05/2022,No,Meeting Attendance of the Board of Directors,5.,CHAIYUTH CHUNNAHACHA,N/A,3 / 3,100.00,Yes,
GABLE,2022,9,5,31/05/2022,No,Meeting Attendance of the Board of Directors,6.,WARAPONG NANDABHIWAT,N/A,3 / 3,100.00,Yes,
GABLE,2022,9,5,31/05/2022,No,Meeting Attendance of the Board of Directors,7.,KAMPOL TATIYAKAVEE,N/A,3 / 3,100.00,Yes,
GABLE,2022,9,5,31/05/2022,No,Meeting Attendance of the Board of Directors,8.,VIBUL TUANGSITTHISOMBAT,N/A,3 / 3,100.00,Yes,
GABLE,2022,9,5,31/05/2022,No,Meeting Attendance of the Board of Directors,9.,PORAMA CHANSUE,N/A,3 / 3,100.00,Yes,
GABLE,2022,9,5,31/05/2022,No,Meeting Attendance of Audit Committee,1.,WARAPONG NANDABHIWAT,N/A,4 / 5,80.00,,
GABLE,2022,9,5,31/05/2022,No,Meeting Attendance of Audit Committee,2.,KAMPOL TATIYAKAVEE,N/A,5 / 5,100.00,,
GABLE,2022,9,5,31/05/2022,No,Meeting Attendance of Audit Committee,3.,VIBUL TUANGSITTHISOMBAT,N/A,5 / 5,100.00,,
GABLE,2022,9,5,31/05/2022,No,Meeting Attendance of Executive Committee,1.,NART LIUCHAREON,N/A,N/A,N/A,,
GABLE,2022,9,5,31/05/2022,No,Meeting Attendance of Executive Committee,2.,CHAIYUTH CHUNNAHACHA,N/A,N/A,N/A,,
GABLE,2022,9,5,31/05/2022,No,Meeting Attendance of Executive Committee,3.,U-KRIT WONGSARAWIT,N/A,N/A,N/A,,
GABLE,2022,9,5,31/05/2022,No,Meeting Attendance of Executive Committee,4.,NUANNIT HONGPRAPAWONG,N/A,N/A,N/A,,
GABLE,2022,9,5,31/05/2022,No,Meeting Attendance of Executive Committee,5.,Kitayanee Asavanich,N/A,N/A,N/A,,
GABLE,2022,9,5,31/05/2022,No,Meeting Attendance of Executive Committee,6.,PIYAPHOL VUDHIVORN,31/12/2022,N/A,N/A,,
GABLE,2022,9,5,31/05/2022,No,Meeting Attendance of Audit Committee,1.,WARAPONG NANDABHIWAT,N/A,0 / 0,N/A,,
GABLE,2022,9,5,31/05/2022,No,Meeting Attendance of Audit Committee,2.,KAMPOL TATIYAKAVEE,N/A,0 / 0,N/A,,
GABLE,2022,9,5,31/05/2022,No,Meeting Attendance of Audit Committee,3.,VIBUL TUANGSITTHISOMBAT,N/A,0 / 0,N/A,,
