Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
GBX,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
GBX,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
GBX,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
GBX,2022,6,6,19/04/2022,No,Meeting Attendance of the Board of Directors,1.,ORAN KOOHAPREMKIT,N/A,6 / 6,100.00,Yes,
GBX,2022,6,6,19/04/2022,No,Meeting Attendance of the Board of Directors,2.,SUPORN THAMMARAKS,N/A,6 / 6,100.00,Yes,
GBX,2022,6,6,19/04/2022,No,Meeting Attendance of the Board of Directors,3.,THARAPHUT KUHAPREMKIT,N/A,6 / 6,100.00,Yes,
GBX,2022,6,6,19/04/2022,No,Meeting Attendance of the Board of Directors,4.,VILAILUCK SKULPAKDEE,N/A,6 / 6,100.00,Yes,
GBX,2022,6,6,19/04/2022,No,Meeting Attendance of the Board of Directors,5.,NATDANAI INDRASUKHSRI,N/A,0 / 0,N/A,No,
GBX,2022,6,6,19/04/2022,No,Meeting Attendance of the Board of Directors,6.,PRACHAYA KULVANICHPISIT,31/08/2022,4 / 6,66.67,Yes,
GBX,2022,6,6,19/04/2022,No,Meeting Attendance of Audit Committee,1.,VILAILUCK SKULPAKDEE,N/A,6 / 6,100.00,,
GBX,2022,6,6,19/04/2022,No,Meeting Attendance of Audit Committee,2.,SUPORN THAMMARAKS,N/A,6 / 6,100.00,,
GBX,2022,6,6,19/04/2022,No,Meeting Attendance of Audit Committee,3.,NATDANAI INDRASUKHSRI,N/A,0 / 0,N/A,,
GBX,2022,6,6,19/04/2022,No,Meeting Attendance of Audit Committee,4.,PRACHAYA KULVANICHPISIT,31/08/2022,4 / 6,66.67,,
GBX,2022,6,6,19/04/2022,No,Meeting Attendance of Executive Committee,,No Information,,,,,
GBX,2022,6,6,19/04/2022,No,Meeting Attendance of Compensation Committee,1.,ORAN KOOHAPREMKIT,N/A,0 / 0,N/A,,
GBX,2022,6,6,19/04/2022,No,Meeting Attendance of Compensation Committee,2.,VILAILUCK SKULPAKDEE,N/A,0 / 0,N/A,,
