Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
GEL,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
GEL,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
GEL,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
GEL,2022,9,5,29/04/2022,No,Meeting Attendance of the Board of Directors,1.,BORWORNSAK UWANNO,N/A,9 / 9,100.00,Yes,
GEL,2022,9,5,29/04/2022,No,Meeting Attendance of the Board of Directors,2.,SOPHON PHOLPRASIT,N/A,9 / 9,100.00,Yes,
GEL,2022,9,5,29/04/2022,No,Meeting Attendance of the Board of Directors,3.,THITIPONG TANGPOONPHONVIVAT,N/A,9 / 9,100.00,Yes,
GEL,2022,9,5,29/04/2022,No,Meeting Attendance of the Board of Directors,4.,WUTTICHAI SRESTHABUTRA,N/A,9 / 9,100.00,Yes,
GEL,2022,9,5,29/04/2022,No,Meeting Attendance of the Board of Directors,5.,PHANNEE JARUSOMBAT,N/A,9 / 9,100.00,Yes,
GEL,2022,9,5,29/04/2022,No,Meeting Attendance of the Board of Directors,6.,VICHYA KREANGAM,N/A,9 / 9,100.00,Yes,
GEL,2022,9,5,29/04/2022,No,Meeting Attendance of the Board of Directors,7.,WIRACH MORAKOTKARN,N/A,9 / 9,100.00,Yes,
GEL,2022,9,5,29/04/2022,No,Meeting Attendance of the Board of Directors,8.,WISADJA KOCHSENA,N/A,7 / 9,77.78,Yes,
GEL,2022,9,5,29/04/2022,No,Meeting Attendance of Audit Committee,1.,WIRACH MORAKOTKARN,N/A,5 / 5,100.00,,
GEL,2022,9,5,29/04/2022,No,Meeting Attendance of Audit Committee,2.,PHANNEE JARUSOMBAT,N/A,5 / 5,100.00,,
GEL,2022,9,5,29/04/2022,No,Meeting Attendance of Audit Committee,3.,VICHYA KREANGAM,N/A,5 / 5,100.00,,
GEL,2022,9,5,29/04/2022,No,Meeting Attendance of Executive Committee,1.,THITIPONG TANGPOONPHONVIVAT,N/A,N/A,N/A,,
GEL,2022,9,5,29/04/2022,No,Meeting Attendance of Executive Committee,2.,WUTTICHAI SRESTHABUTRA,N/A,N/A,N/A,,
GEL,2022,9,5,29/04/2022,No,Meeting Attendance of Executive Committee,3.,WISADJA KOCHSENA,N/A,N/A,N/A,,
GEL,2022,9,5,29/04/2022,No,Meeting Attendance of Executive Committee,4.,Linjong Srisongkham,N/A,N/A,N/A,,
GEL,2022,9,5,29/04/2022,No,Meeting Attendance of Audit Committee,1.,WIRACH MORAKOTKARN,N/A,0 / 0,N/A,,
GEL,2022,9,5,29/04/2022,No,Meeting Attendance of Audit Committee,2.,PHANNEE JARUSOMBAT,N/A,0 / 0,N/A,,
GEL,2022,9,5,29/04/2022,No,Meeting Attendance of Audit Committee,3.,VICHYA KREANGAM,N/A,0 / 0,N/A,,
GEL,2022,9,5,29/04/2022,No,Meeting Attendance of Corporate Governance Committee,1.,VICHYA KREANGAM,N/A,0 / 0,N/A,,
GEL,2022,9,5,29/04/2022,No,Meeting Attendance of Corporate Governance Committee,2.,WUTTICHAI SRESTHABUTRA,N/A,0 / 0,N/A,,
GEL,2022,9,5,29/04/2022,No,Meeting Attendance of Corporate Governance Committee,3.,WISADJA KOCHSENA,N/A,0 / 0,N/A,,
GEL,2022,9,5,29/04/2022,No,Meeting Attendance of Risk Management Committee,1.,SOPHON PHOLPRASIT,N/A,0 / 0,N/A,,
GEL,2022,9,5,29/04/2022,No,Meeting Attendance of Risk Management Committee,2.,WISADJA KOCHSENA,N/A,0 / 0,N/A,,
GEL,2022,9,5,29/04/2022,No,Meeting Attendance of Risk Management Committee,3.,Chainarin Sairungsri,N/A,0 / 0,N/A,,
