Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
GGC,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
GGC,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
GGC,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
GGC,2022,14,10,01/04/2022,No,Meeting Attendance of the Board of Directors,1.,KONGKRAPAN INTARAJANG,N/A,14 / 14,100.00,N/A,
GGC,2022,14,10,01/04/2022,No,Meeting Attendance of the Board of Directors,2.,KUMCHAI JONGJAKAPUN,N/A,14 / 14,100.00,N/A,
GGC,2022,14,10,01/04/2022,No,Meeting Attendance of the Board of Directors,3.,KANNIKA NGAMSOPEE,N/A,14 / 14,100.00,N/A,
GGC,2022,14,10,01/04/2022,No,Meeting Attendance of the Board of Directors,4.,SONGTAM CHOKKANAPITAG,N/A,14 / 14,100.00,N/A,
GGC,2022,14,10,01/04/2022,No,Meeting Attendance of the Board of Directors,5.,SUCHART THEERASAWAT,N/A,12 / 14,85.71,N/A,
GGC,2022,14,10,01/04/2022,No,Meeting Attendance of the Board of Directors,6.,JARUN WIWATJESADAWUT,N/A,14 / 14,100.00,N/A,
GGC,2022,14,10,01/04/2022,No,Meeting Attendance of the Board of Directors,7.,THANWA LAOHASIRIWONG,N/A,11 / 11,100.00,N/A,
GGC,2022,14,10,01/04/2022,No,Meeting Attendance of the Board of Directors,8.,TITAWAT SATIANTIP,N/A,14 / 14,100.00,N/A,
GGC,2022,14,10,01/04/2022,No,Meeting Attendance of the Board of Directors,9.,VARIT NAMWONG,N/A,14 / 14,100.00,N/A,
GGC,2022,14,10,01/04/2022,No,Meeting Attendance of the Board of Directors,10.,THANAKORN MANOONPOL,N/A,7 / 7,100.00,N/A,
