Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
GLAND,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
GLAND,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
GLAND,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
GLAND,2022,4,4,19/04/2022,No,Meeting Attendance of the Board of Directors,1.,KOBCHAI CHIRATHIVAT,N/A,4 / 4,100.00,Yes,
GLAND,2022,4,4,19/04/2022,No,Meeting Attendance of the Board of Directors,2.,PRAPANPONG VEJJAJIVA,N/A,3 / 4,75.00,Yes,
GLAND,2022,4,4,19/04/2022,No,Meeting Attendance of the Board of Directors,3.,JITMANEE SUWANNAPOOL,N/A,4 / 4,100.00,Yes,
GLAND,2022,4,4,19/04/2022,No,Meeting Attendance of the Board of Directors,4.,NOPPORN TIRAWATTANAGOOL,N/A,4 / 4,100.00,Yes,
GLAND,2022,4,4,19/04/2022,No,Meeting Attendance of the Board of Directors,5.,PREECHA EKKUNAGUL,N/A,4 / 4,100.00,Yes,
GLAND,2022,4,4,19/04/2022,No,Meeting Attendance of the Board of Directors,6.,PANDIT MONGKOLKUL,N/A,4 / 4,100.00,Yes,
GLAND,2022,4,4,19/04/2022,No,Meeting Attendance of the Board of Directors,7.,VITHAYA CHAVANANAND,N/A,4 / 4,100.00,Yes,
GLAND,2022,4,4,19/04/2022,No,Meeting Attendance of the Board of Directors,8.,CHARAN MONGKOLCHAN,N/A,4 / 4,100.00,Yes,
GLAND,2022,4,4,19/04/2022,No,Meeting Attendance of the Board of Directors,9.,SANSRIT YENBAMRUNG,N/A,4 / 4,100.00,Yes,
GLAND,2022,4,4,19/04/2022,No,Meeting Attendance of the Board of Directors,10.,SUDHITHAM CHIRATHIVAT,01/01/2022,N/A,N/A,N/A,
GLAND,2022,4,4,19/04/2022,No,Meeting Attendance of Audit Committee,1.,CHARAN MONGKOLCHAN,N/A,4 / 4,100.00,,
GLAND,2022,4,4,19/04/2022,No,Meeting Attendance of Audit Committee,2.,JITMANEE SUWANNAPOOL,N/A,4 / 4,100.00,,
GLAND,2022,4,4,19/04/2022,No,Meeting Attendance of Audit Committee,3.,VITHAYA CHAVANANAND,N/A,4 / 4,100.00,,
GLAND,2022,4,4,19/04/2022,No,Meeting Attendance of Executive Committee,,No Information,,,,,
GLAND,2022,4,4,19/04/2022,No,Meeting Attendance of Audit and Corporate Governance Committee,1.,CHARAN MONGKOLCHAN,N/A,0 / 0,N/A,,
GLAND,2022,4,4,19/04/2022,No,Meeting Attendance of Audit and Corporate Governance Committee,2.,JITMANEE SUWANNAPOOL,N/A,0 / 0,N/A,,
GLAND,2022,4,4,19/04/2022,No,Meeting Attendance of Audit and Corporate Governance Committee,3.,VITHAYA CHAVANANAND,N/A,0 / 0,N/A,,
GLAND,2022,4,4,19/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,1.,VITHAYA CHAVANANAND,N/A,0 / 0,N/A,,
GLAND,2022,4,4,19/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,2.,PRAPANPONG VEJJAJIVA,N/A,0 / 0,N/A,,
GLAND,2022,4,4,19/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,3.,JITMANEE SUWANNAPOOL,N/A,0 / 0,N/A,,
GLAND,2022,4,4,19/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,4.,PANDIT MONGKOLKUL,N/A,0 / 0,N/A,,
GLAND,2022,4,4,19/04/2022,No,Meeting Attendance of Risk Management Committee,1.,JITMANEE SUWANNAPOOL,N/A,0 / 0,N/A,,
GLAND,2022,4,4,19/04/2022,No,Meeting Attendance of Risk Management Committee,2.,NAPARAT SRIWANVIT,N/A,0 / 0,N/A,,
GLAND,2022,4,4,19/04/2022,No,Meeting Attendance of Risk Management Committee,3.,Khemajit Choomwattana,N/A,0 / 0,N/A,,
GLAND,2022,4,4,19/04/2022,No,Meeting Attendance of Management Committee,1.,PREECHA EKKUNAGUL,N/A,0 / 0,N/A,,
GLAND,2022,4,4,19/04/2022,No,Meeting Attendance of Management Committee,2.,NAPARAT SRIWANVIT,N/A,0 / 0,N/A,,
GLAND,2022,4,4,19/04/2022,No,Meeting Attendance of Management Committee,3.,Kree Dejchai,N/A,0 / 0,N/A,,
GLAND,2022,4,4,19/04/2022,No,Meeting Attendance of Corporate Governance and Sustainable Development Committee,1.,NAPARAT SRIWANVIT,N/A,0 / 0,N/A,,
GLAND,2022,4,4,19/04/2022,No,Meeting Attendance of Corporate Governance and Sustainable Development Committee,2.,Uthaiwan Anuchitanukul,N/A,0 / 0,N/A,,
GLAND,2022,4,4,19/04/2022,No,Meeting Attendance of Corporate Governance and Sustainable Development Committee,3.,Ponpinit Upathamp,N/A,0 / 0,N/A,,
GLAND,2023,4,4,21/04/2023,No,Meeting Attendance of the Board of Directors,1.,KOBCHAI CHIRATHIVAT,N/A,4 / 4,100.00,Yes,
GLAND,2023,4,4,21/04/2023,No,Meeting Attendance of the Board of Directors,2.,PRAPANPONG VEJJAJIVA,N/A,3 / 4,75.00,Yes,
GLAND,2023,4,4,21/04/2023,No,Meeting Attendance of the Board of Directors,3.,JITMANEE SUWANNAPOOL,N/A,4 / 4,100.00,Yes,
GLAND,2023,4,4,21/04/2023,No,Meeting Attendance of the Board of Directors,4.,NOPPORN TIRAWATTANAGOOL,N/A,4 / 4,100.00,Yes,
GLAND,2023,4,4,21/04/2023,No,Meeting Attendance of the Board of Directors,5.,PREECHA EKKUNAGUL,N/A,4 / 4,100.00,Yes,
GLAND,2023,4,4,21/04/2023,No,Meeting Attendance of the Board of Directors,6.,PANDIT MONGKOLKUL,N/A,4 / 4,100.00,Yes,
GLAND,2023,4,4,21/04/2023,No,Meeting Attendance of the Board of Directors,7.,VITHAYA CHAVANANAND,N/A,4 / 4,100.00,Yes,
GLAND,2023,4,4,21/04/2023,No,Meeting Attendance of the Board of Directors,8.,CHARAN MONGKOLCHAN,N/A,4 / 4,100.00,Yes,
GLAND,2023,4,4,21/04/2023,No,Meeting Attendance of the Board of Directors,9.,SANSRIT YENBAMRUNG,N/A,4 / 4,100.00,Yes,
GLAND,2023,4,4,21/04/2023,No,Meeting Attendance of Audit Committee,1.,CHARAN MONGKOLCHAN,N/A,4 / 4,100.00,,
GLAND,2023,4,4,21/04/2023,No,Meeting Attendance of Audit Committee,2.,JITMANEE SUWANNAPOOL,N/A,4 / 4,100.00,,
GLAND,2023,4,4,21/04/2023,No,Meeting Attendance of Audit Committee,3.,VITHAYA CHAVANANAND,N/A,4 / 4,100.00,,
GLAND,2023,4,4,21/04/2023,No,Meeting Attendance of Executive Committee,,No Information,,,,,
GLAND,2023,4,4,21/04/2023,No,Meeting Attendance of Audit and Corporate Governance Committee,1.,CHARAN MONGKOLCHAN,N/A,0 / 0,N/A,,
GLAND,2023,4,4,21/04/2023,No,Meeting Attendance of Audit and Corporate Governance Committee,2.,JITMANEE SUWANNAPOOL,N/A,0 / 0,N/A,,
GLAND,2023,4,4,21/04/2023,No,Meeting Attendance of Audit and Corporate Governance Committee,3.,VITHAYA CHAVANANAND,N/A,0 / 0,N/A,,
GLAND,2023,4,4,21/04/2023,No,Meeting Attendance of Nomination and Remuneration Committee,1.,VITHAYA CHAVANANAND,N/A,0 / 0,N/A,,
GLAND,2023,4,4,21/04/2023,No,Meeting Attendance of Nomination and Remuneration Committee,2.,PRAPANPONG VEJJAJIVA,N/A,0 / 0,N/A,,
GLAND,2023,4,4,21/04/2023,No,Meeting Attendance of Nomination and Remuneration Committee,3.,JITMANEE SUWANNAPOOL,N/A,0 / 0,N/A,,
GLAND,2023,4,4,21/04/2023,No,Meeting Attendance of Nomination and Remuneration Committee,4.,PANDIT MONGKOLKUL,N/A,0 / 0,N/A,,
GLAND,2023,4,4,21/04/2023,No,Meeting Attendance of Risk Management Committee,1.,JITMANEE SUWANNAPOOL,N/A,0 / 0,N/A,,
GLAND,2023,4,4,21/04/2023,No,Meeting Attendance of Risk Management Committee,2.,NAPARAT SRIWANVIT,N/A,0 / 0,N/A,,
GLAND,2023,4,4,21/04/2023,No,Meeting Attendance of Risk Management Committee,3.,Khemajit Choomwattana,N/A,0 / 0,N/A,,
