Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
GLORY,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
GLORY,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
GLORY,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
GLORY,2022,6,7,22/04/2022,Yes,Meeting Attendance of the Board of Directors,1.,TAWATCHAI SUDTIKITPISAN,N/A,6 / 6,100.00,Yes,
GLORY,2022,6,7,22/04/2022,Yes,Meeting Attendance of the Board of Directors,2.,JARUNPAT BOONYANG,N/A,6 / 6,100.00,Yes,
GLORY,2022,6,7,22/04/2022,Yes,Meeting Attendance of the Board of Directors,3.,ARUNEE POONMASIN,N/A,6 / 6,100.00,Yes,
GLORY,2022,6,7,22/04/2022,Yes,Meeting Attendance of the Board of Directors,4.,ISSARA BOONYANG,N/A,6 / 6,100.00,Yes,
GLORY,2022,6,7,22/04/2022,Yes,Meeting Attendance of the Board of Directors,5.,KITTI TUNGSRIWONG,N/A,6 / 6,100.00,Yes,
GLORY,2022,6,7,22/04/2022,Yes,Meeting Attendance of the Board of Directors,6.,JIRAPORN LAOCHAREON,N/A,6 / 6,100.00,Yes,
GLORY,2022,6,7,22/04/2022,Yes,Meeting Attendance of the Board of Directors,7.,NICHA POONMASIN,N/A,6 / 6,100.00,Yes,
GLORY,2022,6,7,22/04/2022,Yes,Meeting Attendance of the Board of Directors,8.,TACHANUN KANGWANTRAKOOL,N/A,6 / 6,100.00,Yes,
GLORY,2022,6,7,22/04/2022,Yes,Meeting Attendance of Audit Committee,1.,KITTI TUNGSRIWONG,N/A,7 / 7,100.00,,
GLORY,2022,6,7,22/04/2022,Yes,Meeting Attendance of Audit Committee,2.,TAWATCHAI SUDTIKITPISAN,N/A,7 / 7,100.00,,
GLORY,2022,6,7,22/04/2022,Yes,Meeting Attendance of Audit Committee,3.,JIRAPORN LAOCHAREON,N/A,7 / 7,100.00,,
GLORY,2022,6,7,22/04/2022,Yes,Meeting Attendance of Executive Committee,1.,JARUNPAT BOONYANG,N/A,N/A,N/A,,
GLORY,2022,6,7,22/04/2022,Yes,Meeting Attendance of Executive Committee,2.,NICHA POONMASIN,N/A,N/A,N/A,,
GLORY,2022,6,7,22/04/2022,Yes,Meeting Attendance of Executive Committee,3.,Tinnapan Siripaparwan,N/A,N/A,N/A,,
GLORY,2022,6,7,22/04/2022,Yes,Meeting Attendance of Executive Committee,4.,Sarita Tumsakul,N/A,N/A,N/A,,
GLORY,2022,6,7,22/04/2022,Yes,Meeting Attendance of Risk Management Committee,1.,KITTI TUNGSRIWONG,N/A,0 / 0,N/A,,
GLORY,2022,6,7,22/04/2022,Yes,Meeting Attendance of Risk Management Committee,2.,TAWATCHAI SUDTIKITPISAN,N/A,0 / 0,N/A,,
GLORY,2022,6,7,22/04/2022,Yes,Meeting Attendance of Risk Management Committee,3.,JIRAPORN LAOCHAREON,N/A,0 / 0,N/A,,
GLORY,2023,6,5,29/03/2023,No,Meeting Attendance of the Board of Directors,1.,TAWATCHAI SUDTIKITPISAN,N/A,6 / 6,100.00,Yes,
GLORY,2023,6,5,29/03/2023,No,Meeting Attendance of the Board of Directors,2.,JARUNPAT BOONYANG,N/A,6 / 6,100.00,Yes,
GLORY,2023,6,5,29/03/2023,No,Meeting Attendance of the Board of Directors,3.,ARUNEE POONMASIN,N/A,6 / 6,100.00,Yes,
GLORY,2023,6,5,29/03/2023,No,Meeting Attendance of the Board of Directors,4.,ISSARA BOONYANG,N/A,6 / 6,100.00,Yes,
GLORY,2023,6,5,29/03/2023,No,Meeting Attendance of the Board of Directors,5.,KITTI TUNGSRIWONG,N/A,6 / 6,100.00,Yes,
GLORY,2023,6,5,29/03/2023,No,Meeting Attendance of the Board of Directors,6.,JIRAPORN LAOCHAREON,N/A,6 / 6,100.00,Yes,
GLORY,2023,6,5,29/03/2023,No,Meeting Attendance of the Board of Directors,7.,NICHA POONMASIN,N/A,5 / 6,83.33,Yes,
GLORY,2023,6,5,29/03/2023,No,Meeting Attendance of the Board of Directors,8.,TACHANUN KANGWANTRAKOOL,N/A,6 / 6,100.00,Yes,
GLORY,2023,6,5,29/03/2023,No,Meeting Attendance of Audit Committee,1.,KITTI TUNGSRIWONG,N/A,5 / 5,100.00,,
GLORY,2023,6,5,29/03/2023,No,Meeting Attendance of Audit Committee,2.,TAWATCHAI SUDTIKITPISAN,N/A,5 / 5,100.00,,
GLORY,2023,6,5,29/03/2023,No,Meeting Attendance of Audit Committee,3.,JIRAPORN LAOCHAREON,N/A,5 / 5,100.00,,
GLORY,2023,6,5,29/03/2023,No,Meeting Attendance of Executive Committee,1.,JARUNPAT BOONYANG,N/A,N/A,N/A,,
GLORY,2023,6,5,29/03/2023,No,Meeting Attendance of Executive Committee,2.,NICHA POONMASIN,N/A,N/A,N/A,,
GLORY,2023,6,5,29/03/2023,No,Meeting Attendance of Executive Committee,3.,Tinnapan Siripaparwan,N/A,N/A,N/A,,
GLORY,2023,6,5,29/03/2023,No,Meeting Attendance of Executive Committee,4.,Sarita Tumsakul,N/A,N/A,N/A,,
GLORY,2023,6,5,29/03/2023,No,Meeting Attendance of Risk Management Committee,1.,KITTI TUNGSRIWONG,N/A,0 / 0,N/A,,
GLORY,2023,6,5,29/03/2023,No,Meeting Attendance of Risk Management Committee,2.,JARUNPAT BOONYANG,N/A,0 / 0,N/A,,
GLORY,2023,6,5,29/03/2023,No,Meeting Attendance of Risk Management Committee,3.,NICHA POONMASIN,N/A,0 / 0,N/A,,
GLORY,2023,6,5,29/03/2023,No,Meeting Attendance of Risk Management Committee,4.,Tinnapan Siripaparwan,N/A,0 / 0,N/A,,
GLORY,2024,4,4,25/04/2024,No,Meeting Attendance of the Board of Directors,1.,TAWATCHAI SUDTIKITPISAN,N/A,4 / 4,100.00,1 / 1,
GLORY,2024,4,4,25/04/2024,No,Meeting Attendance of the Board of Directors,2.,JARUNPAT BOONYANG,N/A,4 / 4,100.00,1 / 1,
GLORY,2024,4,4,25/04/2024,No,Meeting Attendance of the Board of Directors,3.,ARUNEE POONMASIN,N/A,4 / 4,100.00,1 / 1,
