Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
GRAMMY,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
GRAMMY,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
GRAMMY,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
GRAMMY,2022,4,4,29/04/2022,No,Meeting Attendance of the Board of Directors,1.,PAIBOON DAMRONGCHAITHAM,N/A,4 / 4,100.00,Yes,
GRAMMY,2022,4,4,29/04/2022,No,Meeting Attendance of the Board of Directors,2.,BOOSABA DAORUENG,N/A,4 / 4,100.00,Yes,
GRAMMY,2022,4,4,29/04/2022,No,Meeting Attendance of the Board of Directors,3.,NARIS CHAIYASOOT,N/A,4 / 4,100.00,Yes,
GRAMMY,2022,4,4,29/04/2022,No,Meeting Attendance of the Board of Directors,4.,SUVIT MAPAISANSIN,N/A,4 / 4,100.00,Yes,
GRAMMY,2022,4,4,29/04/2022,No,Meeting Attendance of the Board of Directors,5.,CHANITR CHARNCHAINARONG,N/A,4 / 4,100.00,Yes,
GRAMMY,2022,4,4,29/04/2022,No,Meeting Attendance of the Board of Directors,6.,SUNYALUCK CHAIKAJORNWAT,N/A,4 / 4,100.00,Yes,
GRAMMY,2022,4,4,29/04/2022,No,Meeting Attendance of the Board of Directors,7.,SUWIMON CHUNGJOTIKAPISIT,N/A,4 / 4,100.00,Yes,
GRAMMY,2022,4,4,29/04/2022,No,Meeting Attendance of the Board of Directors,8.,PHAWIT CHITRAKORN,N/A,4 / 4,100.00,Yes,
GRAMMY,2022,4,4,29/04/2022,No,Meeting Attendance of the Board of Directors,9.,FAHMAI DAMRONGCHAITHAM,N/A,4 / 4,100.00,Yes,
GRAMMY,2022,4,4,29/04/2022,No,Meeting Attendance of Audit Committee,1.,NARIS CHAIYASOOT,N/A,4 / 4,100.00,,
GRAMMY,2022,4,4,29/04/2022,No,Meeting Attendance of Audit Committee,2.,SUVIT MAPAISANSIN,N/A,4 / 4,100.00,,
GRAMMY,2022,4,4,29/04/2022,No,Meeting Attendance of Audit Committee,3.,CHANITR CHARNCHAINARONG,N/A,4 / 4,100.00,,
GRAMMY,2022,4,4,29/04/2022,No,Meeting Attendance of Audit Committee,4.,SUNYALUCK CHAIKAJORNWAT,N/A,4 / 4,100.00,,
GRAMMY,2022,4,4,29/04/2022,No,Meeting Attendance of Executive Committee,1.,BOOSABA DAORUENG,N/A,N/A,N/A,,
GRAMMY,2022,4,4,29/04/2022,No,Meeting Attendance of Executive Committee,2.,Kittisak Chuangaroon,N/A,N/A,N/A,,
GRAMMY,2022,4,4,29/04/2022,No,Meeting Attendance of Executive Committee,3.,PHAWIT CHITRAKORN,N/A,N/A,N/A,,
GRAMMY,2022,4,4,29/04/2022,No,Meeting Attendance of Executive Committee,4.,FAHMAI DAMRONGCHAITHAM,N/A,N/A,N/A,,
GRAMMY,2022,4,4,29/04/2022,No,Meeting Attendance of Executive Committee,5.,Chonlaya Promsri,N/A,N/A,N/A,,
GRAMMY,2022,4,4,29/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,1.,NARIS CHAIYASOOT,N/A,0 / 0,N/A,,
GRAMMY,2022,4,4,29/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,2.,SUVIT MAPAISANSIN,N/A,0 / 0,N/A,,
GRAMMY,2022,4,4,29/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,3.,SUWIMON CHUNGJOTIKAPISIT,N/A,0 / 0,N/A,,
GRAMMY,2022,4,4,29/04/2022,No,Meeting Attendance of Risk Management Committee,1.,BOOSABA DAORUENG,N/A,0 / 0,N/A,,
GRAMMY,2022,4,4,29/04/2022,No,Meeting Attendance of Risk Management Committee,2.,PHAWIT CHITRAKORN,N/A,0 / 0,N/A,,
GRAMMY,2022,4,4,29/04/2022,No,Meeting Attendance of Risk Management Committee,3.,FAHMAI DAMRONGCHAITHAM,N/A,0 / 0,N/A,,
GRAMMY,2022,4,4,29/04/2022,No,Meeting Attendance of Risk Management Committee,4.,Sompohb Budspawanich,N/A,0 / 0,N/A,,
GRAMMY,2022,4,4,29/04/2022,No,Meeting Attendance of Risk Management Committee,5.,Chonlaya Promsri,N/A,0 / 0,N/A,,
GRAMMY,2022,4,4,29/04/2022,No,Meeting Attendance of Corporate Governance and Ethics Committee,1.,BOOSABA DAORUENG,N/A,0 / 0,N/A,,
GRAMMY,2022,4,4,29/04/2022,No,Meeting Attendance of Corporate Governance and Ethics Committee,2.,PHAWIT CHITRAKORN,N/A,0 / 0,N/A,,
GRAMMY,2022,4,4,29/04/2022,No,Meeting Attendance of Corporate Governance and Ethics Committee,3.,SUVIT MAPAISANSIN,N/A,0 / 0,N/A,,
GRAMMY,2022,4,4,29/04/2022,No,Meeting Attendance of Corporate Governance and Ethics Committee,4.,SUNYALUCK CHAIKAJORNWAT,N/A,0 / 0,N/A,,
GRAMMY,2022,4,4,29/04/2022,No,Meeting Attendance of Group Executive Committee,1.,BOOSABA DAORUENG,N/A,0 / 0,N/A,,
GRAMMY,2022,4,4,29/04/2022,No,Meeting Attendance of Group Executive Committee,2.,Kittisak Chuangaroon,N/A,0 / 0,N/A,,
GRAMMY,2022,4,4,29/04/2022,No,Meeting Attendance of Group Executive Committee,3.,PHAWIT CHITRAKORN,N/A,0 / 0,N/A,,
GRAMMY,2022,4,4,29/04/2022,No,Meeting Attendance of Group Executive Committee,4.,FAHMAI DAMRONGCHAITHAM,N/A,0 / 0,N/A,,
GRAMMY,2022,4,4,29/04/2022,No,Meeting Attendance of Group Executive Committee,5.,Chonlaya Promsri,N/A,0 / 0,N/A,,
GRAMMY,2023,6,5,28/04/2023,No,Meeting Attendance of the Board of Directors,1.,PAIBOON DAMRONGCHAITHAM,N/A,6 / 6,100.00,Yes,
GRAMMY,2023,6,5,28/04/2023,No,Meeting Attendance of the Board of Directors,2.,BOOSABA DAORUENG,N/A,6 / 6,100.00,Yes,
GRAMMY,2023,6,5,28/04/2023,No,Meeting Attendance of the Board of Directors,3.,SUWIMON CHUNGJOTIKAPISIT,N/A,6 / 6,100.00,Yes,
