Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
GREEN,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
GREEN,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
GREEN,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
GREEN,2022,4,4,21/04/2022,No,Meeting Attendance of the Board of Directors,1.,CHAISITH VIRIYAMETTAKUL,N/A,4 / 4,100.00,Yes,
GREEN,2022,4,4,21/04/2022,No,Meeting Attendance of the Board of Directors,2.,SAHASCHAI INDRASUKHSRI,N/A,4 / 4,100.00,Yes,
GREEN,2022,4,4,21/04/2022,No,Meeting Attendance of the Board of Directors,3.,VIRAT JANSIRIVATANA,N/A,4 / 4,100.00,Yes,
GREEN,2022,4,4,21/04/2022,No,Meeting Attendance of the Board of Directors,4.,PIPAT VIRIYAMETTAKUL,N/A,4 / 4,100.00,Yes,
GREEN,2022,4,4,21/04/2022,No,Meeting Attendance of the Board of Directors,5.,PAWANYA KRITTACHART,N/A,4 / 4,100.00,Yes,
GREEN,2022,4,4,21/04/2022,No,Meeting Attendance of the Board of Directors,6.,SOMKUAN MUSIG-IN,N/A,4 / 4,100.00,Yes,
GREEN,2022,4,4,21/04/2022,No,Meeting Attendance of the Board of Directors,7.,APICHART SIVAMOKE,N/A,4 / 4,100.00,Yes,
GREEN,2022,4,4,21/04/2022,No,Meeting Attendance of the Board of Directors,8.,PEERAPONG PITRPIBULPATIT,N/A,4 / 4,100.00,Yes,
GREEN,2022,4,4,21/04/2022,No,Meeting Attendance of the Board of Directors,9.,PORNTHAPE THUNYAPONGCHAI,N/A,4 / 4,100.00,Yes,
GREEN,2022,4,4,21/04/2022,No,Meeting Attendance of Audit Committee,1.,SOMKUAN MUSIG-IN,N/A,4 / 4,100.00,,
GREEN,2022,4,4,21/04/2022,No,Meeting Attendance of Audit Committee,2.,VIRAT JANSIRIVATANA,N/A,4 / 4,100.00,,
GREEN,2022,4,4,21/04/2022,No,Meeting Attendance of Audit Committee,3.,PEERAPONG PITRPIBULPATIT,N/A,4 / 4,100.00,,
GREEN,2022,4,4,21/04/2022,No,Meeting Attendance of Executive Committee,1.,CHAISITH VIRIYAMETTAKUL,N/A,N/A,N/A,,
GREEN,2022,4,4,21/04/2022,No,Meeting Attendance of Executive Committee,2.,SAHASCHAI INDRASUKHSRI,N/A,N/A,N/A,,
GREEN,2022,4,4,21/04/2022,No,Meeting Attendance of Executive Committee,3.,PAWANYA KRITTACHART,N/A,N/A,N/A,,
GREEN,2022,4,4,21/04/2022,No,Meeting Attendance of Executive Committee,4.,PIPAT VIRIYAMETTAKUL,N/A,N/A,N/A,,
GREEN,2022,4,4,21/04/2022,No,Meeting Attendance of Executive Committee,5.,APICHART SIVAMOKE,N/A,N/A,N/A,,
GREEN,2022,4,4,21/04/2022,No,Meeting Attendance of Audit Committee,1.,SOMKUAN MUSIG-IN,N/A,0 / 0,N/A,,
GREEN,2022,4,4,21/04/2022,No,Meeting Attendance of Audit Committee,2.,VIRAT JANSIRIVATANA,N/A,0 / 0,N/A,,
GREEN,2022,4,4,21/04/2022,No,Meeting Attendance of Audit Committee,3.,PEERAPONG PITRPIBULPATIT,N/A,0 / 0,N/A,,
GREEN,2022,4,4,21/04/2022,No,Meeting Attendance of Risk Management Committee,1.,SOMKUAN MUSIG-IN,N/A,0 / 0,N/A,,
