Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
GTB,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
GTB,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
GTB,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
GTB,2022,9,7,26/04/2022,No,Meeting Attendance of the Board of Directors,1.,PARITUD BHANDHUBANYONG,N/A,9 / 9,100.00,Yes,
GTB,2022,9,7,26/04/2022,No,Meeting Attendance of the Board of Directors,2.,SUCHAT MONGKHONARIPONG,N/A,9 / 9,100.00,Yes,
GTB,2022,9,7,26/04/2022,No,Meeting Attendance of the Board of Directors,3.,KAMOL TAKABUT,N/A,9 / 9,100.00,Yes,
GTB,2022,9,7,26/04/2022,No,Meeting Attendance of the Board of Directors,4.,SURANG MONGKHOLARIPONG,N/A,8 / 9,88.89,Yes,
GTB,2022,9,7,26/04/2022,No,Meeting Attendance of the Board of Directors,5.,AEKKACHAI NITTAYAGASETWAT,N/A,9 / 9,100.00,Yes,
GTB,2022,9,7,26/04/2022,No,Meeting Attendance of the Board of Directors,6.,HANSA BODIPAT,N/A,8 / 9,88.89,Yes,
GTB,2022,9,7,26/04/2022,No,Meeting Attendance of the Board of Directors,7.,CHALARD NA RANONG,N/A,9 / 9,100.00,Yes,
GTB,2022,9,7,26/04/2022,No,Meeting Attendance of Audit Committee,1.,AEKKACHAI NITTAYAGASETWAT,N/A,7 / 7,100.00,,
GTB,2022,9,7,26/04/2022,No,Meeting Attendance of Audit Committee,2.,PARITUD BHANDHUBANYONG,N/A,6 / 7,85.71,,
GTB,2022,9,7,26/04/2022,No,Meeting Attendance of Audit Committee,3.,KAMOL TAKABUT,N/A,7 / 7,100.00,,
GTB,2022,9,7,26/04/2022,No,Meeting Attendance of Executive Committee,1.,SUCHAT MONGKHONARIPONG,N/A,N/A,N/A,,
GTB,2022,9,7,26/04/2022,No,Meeting Attendance of Executive Committee,2.,Seree Thongnoon,N/A,N/A,N/A,,
GTB,2022,9,7,26/04/2022,No,Meeting Attendance of Executive Committee,3.,Prajint Kongsakorn,N/A,N/A,N/A,,
GTB,2022,9,7,26/04/2022,No,Meeting Attendance of Executive Committee,4.,Suttichai Supakkun,N/A,N/A,N/A,,
GTB,2022,9,7,26/04/2022,No,Meeting Attendance of Executive Committee,5.,Asavin Rachitthamrong,N/A,N/A,N/A,,
GTB,2022,9,7,26/04/2022,No,Meeting Attendance of Executive Committee,6.,Nnon Chotthanathakul,N/A,N/A,N/A,,
GTB,2022,9,7,26/04/2022,No,Meeting Attendance of Executive Committee,7.,Petcharat Terdtulkitikul,N/A,N/A,N/A,,
GTB,2022,9,7,26/04/2022,No,Meeting Attendance of Risk Management Committee,1.,KAMOL TAKABUT,N/A,0 / 0,N/A,,
GTB,2022,9,7,26/04/2022,No,Meeting Attendance of Risk Management Committee,2.,PARITUD BHANDHUBANYONG,N/A,0 / 0,N/A,,
GTB,2022,9,7,26/04/2022,No,Meeting Attendance of Risk Management Committee,3.,AEKKACHAI NITTAYAGASETWAT,N/A,0 / 0,N/A,,
GTB,2022,9,7,26/04/2022,No,Meeting Attendance of Risk Management Committee,4.,Kaukeart Boonchukosol,N/A,0 / 0,N/A,,
GTB,2022,9,7,26/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,1.,PARITUD BHANDHUBANYONG,N/A,0 / 0,N/A,,
GTB,2022,9,7,26/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,2.,SUCHAT MONGKHONARIPONG,N/A,0 / 0,N/A,,
GTB,2022,9,7,26/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,3.,KAMOL TAKABUT,N/A,0 / 0,N/A,,
GTB,2022,9,7,26/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,4.,AEKKACHAI NITTAYAGASETWAT,N/A,0 / 0,N/A,,
GTB,2023,8,7,25/04/2023,No,Meeting Attendance of the Board of Directors,1.,PARITUD BHANDHUBANYONG,N/A,8 / 8,100.00,Yes,
GTB,2023,8,7,25/04/2023,No,Meeting Attendance of the Board of Directors,2.,SUCHAT MONGKHONARIPONG,N/A,8 / 8,100.00,Yes,
GTB,2023,8,7,25/04/2023,No,Meeting Attendance of the Board of Directors,3.,KAMOL TAKABUT,N/A,8 / 8,100.00,Yes,
GTB,2023,8,7,25/04/2023,No,Meeting Attendance of the Board of Directors,4.,SURANG MONGKHOLARIPONG,N/A,6 / 8,75.00,No,
GTB,2023,8,7,25/04/2023,No,Meeting Attendance of the Board of Directors,5.,AEKKACHAI NITTAYAGASETWAT,N/A,8 / 8,100.00,Yes,
GTB,2023,8,7,25/04/2023,No,Meeting Attendance of the Board of Directors,6.,HANSA BODIPAT,N/A,8 / 8,100.00,No,
GTB,2023,8,7,25/04/2023,No,Meeting Attendance of the Board of Directors,7.,CHALARD NA RANONG,N/A,8 / 8,100.00,Yes,
GTB,2023,8,7,25/04/2023,No,Meeting Attendance of Audit Committee,1.,AEKKACHAI NITTAYAGASETWAT,N/A,7 / 7,100.00,,
GTB,2023,8,7,25/04/2023,No,Meeting Attendance of Audit Committee,2.,PARITUD BHANDHUBANYONG,N/A,7 / 7,100.00,,
GTB,2023,8,7,25/04/2023,No,Meeting Attendance of Audit Committee,3.,KAMOL TAKABUT,N/A,7 / 7,100.00,,
GTB,2023,8,7,25/04/2023,No,Meeting Attendance of Executive Committee,1.,SUCHAT MONGKHONARIPONG,N/A,N/A,N/A,,
GTB,2023,8,7,25/04/2023,No,Meeting Attendance of Executive Committee,2.,Seree Thongnoon,N/A,N/A,N/A,,
