Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
GTV,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
GTV,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
GTV,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
GTV,2022,7,4,29/04/2022,No,Meeting Attendance of the Board of Directors,1.,THAWORN PORNPANUSSRI,N/A,7 / 7,100.00,Yes,
GTV,2022,7,4,29/04/2022,No,Meeting Attendance of the Board of Directors,2.,KAWIN CHALERMROJ,N/A,7 / 7,100.00,Yes,
GTV,2022,7,4,29/04/2022,No,Meeting Attendance of the Board of Directors,3.,WIT SUWANASRI,N/A,7 / 7,100.00,Yes,
GTV,2022,7,4,29/04/2022,No,Meeting Attendance of the Board of Directors,4.,JOHN EDWARD MC COSH,N/A,7 / 7,100.00,Yes,
GTV,2022,7,4,29/04/2022,No,Meeting Attendance of the Board of Directors,5.,CHIRIDACHA PHUNGSUNTHORN,N/A,6 / 6,100.00,Yes,
GTV,2022,7,4,29/04/2022,No,Meeting Attendance of the Board of Directors,6.,SUPAMANAT PARAPOB,N/A,0 / 0,N/A,N/A,
GTV,2022,7,4,29/04/2022,No,Meeting Attendance of the Board of Directors,7.,TIRAWAT SUTJARITKUL,21/11/2022,6 / 6,100.00,N/A,
GTV,2022,7,4,29/04/2022,No,Meeting Attendance of the Board of Directors,8.,PORN-IN MANMALAI,25/01/2022,0 / 0,N/A,N/A,
GTV,2022,7,4,29/04/2022,No,Meeting Attendance of Audit Committee,1.,THAWORN PORNPANUSSRI,N/A,4 / 4,100.00,,
GTV,2022,7,4,29/04/2022,No,Meeting Attendance of Audit Committee,2.,CHIRIDACHA PHUNGSUNTHORN,N/A,4 / 4,100.00,,
GTV,2022,7,4,29/04/2022,No,Meeting Attendance of Audit Committee,3.,SUPAMANAT PARAPOB,N/A,0 / 0,N/A,,
GTV,2022,7,4,29/04/2022,No,Meeting Attendance of Audit Committee,4.,TIRAWAT SUTJARITKUL,21/11/2022,4 / 4,100.00,,
GTV,2022,7,4,29/04/2022,No,Meeting Attendance of Executive Committee,,No Information,,,,,
GTV,2023,N/A,4,N/A,Yes,Meeting Attendance of the Board of Directors,1.,ZULKIFLEE KUAN SHUN BIN ABDULLAH,N/A,5 / 5,100.00,N/A,
GTV,2023,N/A,4,N/A,Yes,Meeting Attendance of the Board of Directors,2.,THAWORN PORNPANUSSRI,N/A,10 / 10,100.00,Yes,
GTV,2023,N/A,4,N/A,Yes,Meeting Attendance of the Board of Directors,3.,SUPAMANAT PARAPOB,N/A,10 / 10,100.00,Yes,
GTV,2023,N/A,4,N/A,Yes,Meeting Attendance of the Board of Directors,4.,PAIBOON SAMIT-AT,N/A,8 / 8,100.00,Yes,
