Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
GUNKUL,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
GUNKUL,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
GUNKUL,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
GUNKUL,2022,N/A,5,27/04/2022,No,Meeting Attendance of the Board of Directors,1.,Gunkul Dhumrongpiyawut,N/A,11 / 11,100.00,Yes,
GUNKUL,2022,N/A,5,27/04/2022,No,Meeting Attendance of the Board of Directors,2.,Chongrak Rarueysong,N/A,11 / 11,100.00,Yes,
GUNKUL,2022,N/A,5,27/04/2022,No,Meeting Attendance of the Board of Directors,3.,Panarat Panmanee,N/A,11 / 11,100.00,Yes,
GUNKUL,2022,N/A,5,27/04/2022,No,Meeting Attendance of the Board of Directors,4.,Tarnchaiyan Srisuwan,N/A,11 / 11,100.00,Yes,
GUNKUL,2022,N/A,5,27/04/2022,No,Meeting Attendance of the Board of Directors,5.,Tarakorn Angpubate,N/A,11 / 11,100.00,Yes,
GUNKUL,2022,N/A,5,27/04/2022,No,Meeting Attendance of the Board of Directors,6.,Sopacha Dhumrongpiyawut,N/A,11 / 11,100.00,Yes,
GUNKUL,2022,N/A,5,27/04/2022,No,Meeting Attendance of the Board of Directors,7.,Somboon Aueatchasai,N/A,11 / 11,100.00,Yes,
GUNKUL,2022,N/A,5,27/04/2022,No,Meeting Attendance of the Board of Directors,8.,Naruechon Dhumrongpiyawut,N/A,11 / 11,100.00,Yes,
GUNKUL,2022,N/A,5,27/04/2022,No,Meeting Attendance of the Board of Directors,9.,Areewan Chaloemdan,N/A,11 / 11,100.00,Yes,
GUNKUL,2022,N/A,5,27/04/2022,No,Meeting Attendance of the Board of Directors,10.,Chaloempon Sricharoen,N/A,11 / 11,100.00,Yes,
GUNKUL,2022,N/A,5,27/04/2022,No,Meeting Attendance of the Board of Directors,11.,Kris Chantanotoke,29/07/2022,7 / 7,100.00,Yes,
GUNKUL,2022,N/A,5,27/04/2022,No,Meeting Attendance of Audit Committee,1.,Chongrak Rarueysong,N/A,5 / 5,100.00,,
GUNKUL,2022,N/A,5,27/04/2022,No,Meeting Attendance of Audit Committee,2.,Panarat Panmanee,N/A,5 / 5,100.00,,
GUNKUL,2022,N/A,5,27/04/2022,No,Meeting Attendance of Audit Committee,3.,Tarakorn Angpubate,N/A,5 / 5,100.00,,
GUNKUL,2022,N/A,5,27/04/2022,No,Meeting Attendance of Executive Committee,1.,Sopacha Dhumrongpiyawut,N/A,N/A,N/A,,
GUNKUL,2022,N/A,5,27/04/2022,No,Meeting Attendance of Executive Committee,2.,Somboon Aueatchasai,N/A,N/A,N/A,,
GUNKUL,2022,N/A,5,27/04/2022,No,Meeting Attendance of Executive Committee,3.,Naruechon Dhumrongpiyawut,N/A,N/A,N/A,,
GUNKUL,2022,N/A,5,27/04/2022,No,Meeting Attendance of Executive Committee,4.,Areewan Chaloemdan,N/A,N/A,N/A,,
GUNKUL,2022,N/A,5,27/04/2022,No,Meeting Attendance of Executive Committee,5.,Chaloempon Sricharoen,N/A,N/A,N/A,,
GUNKUL,2022,N/A,5,27/04/2022,No,Meeting Attendance of Risk Management Committee,1.,Tarakorn Angpubate,N/A,0 / 0,N/A,,
GUNKUL,2022,N/A,5,27/04/2022,No,Meeting Attendance of Risk Management Committee,2.,Sopacha Dhumrongpiyawut,N/A,0 / 0,N/A,,
GUNKUL,2022,N/A,5,27/04/2022,No,Meeting Attendance of Risk Management Committee,3.,Somchai Trairatanapirom,N/A,0 / 0,N/A,,
GUNKUL,2022,N/A,5,27/04/2022,No,Meeting Attendance of Risk Management Committee,4.,Thitipong Techaratanayuenyong,N/A,0 / 0,N/A,,
GUNKUL,2022,N/A,5,27/04/2022,No,Meeting Attendance of Good Corporate Governance and Sustainable Development Committee,1.,Somchai Trairatanapirom,N/A,0 / 0,N/A,,
GUNKUL,2022,N/A,5,27/04/2022,No,Meeting Attendance of Good Corporate Governance and Sustainable Development Committee,2.,Chongrak Rarueysong,N/A,0 / 0,N/A,,
GUNKUL,2022,N/A,5,27/04/2022,No,Meeting Attendance of Good Corporate Governance and Sustainable Development Committee,3.,Pongtep Thithapand,N/A,0 / 0,N/A,,
GUNKUL,2022,N/A,5,27/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,1.,Visit Sukarasep,N/A,0 / 0,N/A,,
GUNKUL,2022,N/A,5,27/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,2.,Decha Chooligorn,N/A,0 / 0,N/A,,
GUNKUL,2022,N/A,5,27/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,3.,Hathai Uthai,N/A,0 / 0,N/A,,
GUNKUL,2023,9,6,21/04/2023,No,Meeting Attendance of the Board of Directors,1.,GUNKUL DHUMRONGPIYAWUT,N/A,9 / 9,100.00,Yes,
GUNKUL,2023,9,6,21/04/2023,No,Meeting Attendance of the Board of Directors,2.,CHALOEMPON SRICHAROEN,N/A,9 / 9,100.00,Yes,
GUNKUL,2023,9,6,21/04/2023,No,Meeting Attendance of the Board of Directors,3.,AREEWAN CHALOEMDAN,N/A,9 / 9,100.00,Yes,
GUNKUL,2023,9,6,21/04/2023,No,Meeting Attendance of the Board of Directors,4.,NARUECHON DHUMRONGPIYAWUT,N/A,9 / 9,100.00,Yes,
GUNKUL,2023,9,6,21/04/2023,No,Meeting Attendance of the Board of Directors,5.,SOMBOON AUEATCHASAI,N/A,9 / 9,100.00,Yes,
GUNKUL,2023,9,6,21/04/2023,No,Meeting Attendance of the Board of Directors,6.,SOPACHA DHUMRONGPIYAWUT,N/A,9 / 9,100.00,Yes,
GUNKUL,2023,9,6,21/04/2023,No,Meeting Attendance of the Board of Directors,7.,CHONGRAK RARUEYSONG,N/A,9 / 9,100.00,Yes,
GUNKUL,2023,9,6,21/04/2023,No,Meeting Attendance of the Board of Directors,8.,TARAKORN ANGPUBATE,N/A,9 / 9,100.00,Yes,
GUNKUL,2023,9,6,21/04/2023,No,Meeting Attendance of the Board of Directors,9.,PANARAT PANMANEE,N/A,9 / 9,100.00,Yes,
GUNKUL,2023,9,6,21/04/2023,No,Meeting Attendance of the Board of Directors,10.,TARNCHAIYAN SRISUWAN,N/A,9 / 9,100.00,Yes,
GUNKUL,2023,9,6,21/04/2023,No,Meeting Attendance of the Board of Directors,11.,SOMCHINT PILOUK,N/A,3 / 3,100.00,No,
GUNKUL,2023,9,6,21/04/2023,No,Meeting Attendance of Audit Committee,1.,CHONGRAK RARUEYSONG,N/A,6 / 6,100.00,,
GUNKUL,2023,9,6,21/04/2023,No,Meeting Attendance of Audit Committee,2.,PANARAT PANMANEE,N/A,6 / 6,100.00,,
GUNKUL,2023,9,6,21/04/2023,No,Meeting Attendance of Audit Committee,3.,TARAKORN ANGPUBATE,N/A,6 / 6,100.00,,
GUNKUL,2023,9,6,21/04/2023,No,Meeting Attendance of Audit Committee,4.,SOMCHINT PILOUK,N/A,2 / 2,100.00,,
GUNKUL,2023,9,6,21/04/2023,No,Meeting Attendance of Executive Committee,1.,SOPACHA DHUMRONGPIYAWUT,N/A,N/A,N/A,,
GUNKUL,2023,9,6,21/04/2023,No,Meeting Attendance of Executive Committee,2.,SOMBOON AUEATCHASAI,N/A,N/A,N/A,,
GUNKUL,2023,9,6,21/04/2023,No,Meeting Attendance of Executive Committee,3.,NARUECHON DHUMRONGPIYAWUT,N/A,N/A,N/A,,
GUNKUL,2023,9,6,21/04/2023,No,Meeting Attendance of Executive Committee,4.,AREEWAN CHALOEMDAN,N/A,N/A,N/A,,
GUNKUL,2023,9,6,21/04/2023,No,Meeting Attendance of Executive Committee,5.,CHALOEMPON SRICHAROEN,N/A,N/A,N/A,,
GUNKUL,2023,9,6,21/04/2023,No,Meeting Attendance of Risk Management Committee,1.,TARAKORN ANGPUBATE,N/A,0 / 0,N/A,,
GUNKUL,2023,9,6,21/04/2023,No,Meeting Attendance of Risk Management Committee,2.,SOPACHA DHUMRONGPIYAWUT,N/A,0 / 0,N/A,,
GUNKUL,2023,9,6,21/04/2023,No,Meeting Attendance of Risk Management Committee,3.,Somchai Trairatanapirom,N/A,0 / 0,N/A,,
GUNKUL,2023,9,6,21/04/2023,No,Meeting Attendance of Risk Management Committee,4.,Thitipong Techaratanayuenyong,N/A,0 / 0,N/A,,
GUNKUL,2023,9,6,21/04/2023,No,Meeting Attendance of Nomination and Remuneration Committee,1.,Visit Sukarasep,N/A,0 / 0,N/A,,
GUNKUL,2023,9,6,21/04/2023,No,Meeting Attendance of Nomination and Remuneration Committee,2.,Decha Chooligorn,N/A,0 / 0,N/A,,
GUNKUL,2023,9,6,21/04/2023,No,Meeting Attendance of Nomination and Remuneration Committee,3.,Hathai Uthai,N/A,0 / 0,N/A,,
GUNKUL,2023,9,6,21/04/2023,No,Meeting Attendance of Nomination and Remuneration Committee,4.,Somluk Kanuenghet,N/A,0 / 0,N/A,,
GUNKUL,2023,9,6,21/04/2023,No,Meeting Attendance of Good Corporate Governance and Sustainable Development Committee,1.,Somchai Trairatanapirom,N/A,0 / 0,N/A,,
GUNKUL,2023,9,6,21/04/2023,No,Meeting Attendance of Good Corporate Governance and Sustainable Development Committee,2.,CHONGRAK RARUEYSONG,N/A,0 / 0,N/A,,
GUNKUL,2023,9,6,21/04/2023,No,Meeting Attendance of Good Corporate Governance and Sustainable Development Committee,3.,Pongtep Thithapand,N/A,0 / 0,N/A,,
GUNKUL,2024,6,5,24/04/2024,No,Meeting Attendance of the Board of Directors,1.,GUNKUL DHUMRONGPIYAWUT,N/A,6 / 6,100.00,1 / 1,
GUNKUL,2024,6,5,24/04/2024,No,Meeting Attendance of the Board of Directors,2.,CHONGRAK RARUEYSONG,N/A,6 / 6,100.00,1 / 1,
GUNKUL,2024,6,5,24/04/2024,No,Meeting Attendance of the Board of Directors,3.,PANARAT PANMANEE,N/A,6 / 6,100.00,1 / 1,
GUNKUL,2024,6,5,24/04/2024,No,Meeting Attendance of the Board of Directors,4.,TARAKORN ANGPUBATE,N/A,6 / 6,100.00,1 / 1,
GUNKUL,2024,6,5,24/04/2024,No,Meeting Attendance of the Board of Directors,5.,SOMCHINT PILOUK,N/A,6 / 6,100.00,1 / 1,
GUNKUL,2024,6,5,24/04/2024,No,Meeting Attendance of the Board of Directors,6.,Visit Sukarasep,N/A,5 / 5,100.00,1 / 1,
GUNKUL,2024,6,5,24/04/2024,No,Meeting Attendance of the Board of Directors,7.,Somchai Trairatanapirom,N/A,5 / 5,100.00,1 / 1,
GUNKUL,2024,6,5,24/04/2024,No,Meeting Attendance of the Board of Directors,8.,SOPACHA DHUMRONGPIYAWUT,N/A,6 / 6,100.00,1 / 1,
GUNKUL,2024,6,5,24/04/2024,No,Meeting Attendance of the Board of Directors,9.,SOMBOON AUEATCHASAI,N/A,6 / 6,100.00,1 / 1,
GUNKUL,2024,6,5,24/04/2024,No,Meeting Attendance of the Board of Directors,10.,NARUECHON DHUMRONGPIYAWUT,N/A,6 / 6,100.00,1 / 1,
GUNKUL,2024,6,5,24/04/2024,No,Meeting Attendance of the Board of Directors,11.,AREEWAN CHALOEMDAN,N/A,6 / 6,100.00,1 / 1,
GUNKUL,2024,6,5,24/04/2024,No,Meeting Attendance of the Board of Directors,12.,CHALOEMPON SRICHAROEN,N/A,6 / 6,100.00,1 / 1,
GUNKUL,2024,6,5,24/04/2024,No,Meeting Attendance of the Board of Directors,13.,TARNCHAIYAN SRISUWAN,24/04/2024,1 / 1,100.00,1 / 1,
GUNKUL,2024,6,5,24/04/2024,No,Meeting Attendance of Audit Committee,1.,CHONGRAK RARUEYSONG,N/A,5 / 5,100.00,,
GUNKUL,2024,6,5,24/04/2024,No,Meeting Attendance of Audit Committee,2.,PANARAT PANMANEE,N/A,5 / 5,100.00,,
GUNKUL,2024,6,5,24/04/2024,No,Meeting Attendance of Audit Committee,3.,TARAKORN ANGPUBATE,N/A,5 / 5,100.00,,
GUNKUL,2024,6,5,24/04/2024,No,Meeting Attendance of Audit Committee,4.,SOMCHINT PILOUK,N/A,5 / 5,100.00,,
GUNKUL,2024,6,5,24/04/2024,No,Meeting Attendance of Executive Committee,1.,SOPACHA DHUMRONGPIYAWUT,N/A,22 / 22,100.00,,
GUNKUL,2024,6,5,24/04/2024,No,Meeting Attendance of Executive Committee,2.,SOMBOON AUEATCHASAI,N/A,22 / 22,100.00,,
GUNKUL,2024,6,5,24/04/2024,No,Meeting Attendance of Executive Committee,3.,NARUECHON DHUMRONGPIYAWUT,N/A,22 / 22,100.00,,
GUNKUL,2024,6,5,24/04/2024,No,Meeting Attendance of Executive Committee,4.,AREEWAN CHALOEMDAN,N/A,22 / 22,100.00,,
GUNKUL,2024,6,5,24/04/2024,No,Meeting Attendance of Executive Committee,5.,CHALOEMPON SRICHAROEN,N/A,22 / 22,100.00,,
GUNKUL,2024,6,5,24/04/2024,No,Meeting Attendance of Risk Management Committee,1.,TARAKORN ANGPUBATE,N/A,4 / 4,100.00,,
GUNKUL,2024,6,5,24/04/2024,No,Meeting Attendance of Risk Management Committee,2.,SOPACHA DHUMRONGPIYAWUT,N/A,4 / 4,100.00,,
GUNKUL,2024,6,5,24/04/2024,No,Meeting Attendance of Risk Management Committee,3.,Chanin Chaonirattisai,N/A,2 / 2,100.00,,
GUNKUL,2024,6,5,24/04/2024,No,Meeting Attendance of Nomination and Remuneration Committee,1.,Visit Sukarasep,N/A,3 / 3,100.00,,
GUNKUL,2024,6,5,24/04/2024,No,Meeting Attendance of Nomination and Remuneration Committee,2.,Yaovanut Kwangsukstith,N/A,1 / 1,100.00,,
GUNKUL,2024,6,5,24/04/2024,No,Meeting Attendance of Nomination and Remuneration Committee,3.,Theerapab Punyasakhon,N/A,1 / 1,100.00,,
GUNKUL,2024,6,5,24/04/2024,No,Meeting Attendance of Good Corporate Governance and Sustainable Development Committee,1.,Somchai Trairatanapirom,N/A,4 / 4,100.00,,
GUNKUL,2024,6,5,24/04/2024,No,Meeting Attendance of Good Corporate Governance and Sustainable Development Committee,2.,CHONGRAK RARUEYSONG,N/A,4 / 4,100.00,,
