Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
HEALTH,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
HEALTH,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
HEALTH,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
HEALTH,2022,10,4,28/04/2022,Yes,Meeting Attendance of the Board of Directors,1.,SURAPAN POOMKAEW,N/A,9 / 10,90.00,Yes,
HEALTH,2022,10,4,28/04/2022,Yes,Meeting Attendance of the Board of Directors,2.,SAMART CHUASIRIPHATTANA,N/A,10 / 10,100.00,Yes,
HEALTH,2022,10,4,28/04/2022,Yes,Meeting Attendance of the Board of Directors,3.,SITTHICHAI GASORNSOMBAT,N/A,10 / 10,100.00,Yes,
HEALTH,2022,10,4,28/04/2022,Yes,Meeting Attendance of the Board of Directors,4.,CHALERMPONG MAHAVANIDVONG,N/A,10 / 10,100.00,Yes,
HEALTH,2022,10,4,28/04/2022,Yes,Meeting Attendance of the Board of Directors,5.,SARIDCHAI ANAKEVIENG,N/A,10 / 10,100.00,Yes,
HEALTH,2022,10,4,28/04/2022,Yes,Meeting Attendance of the Board of Directors,6.,PANOM RATANARAT,N/A,10 / 10,100.00,Yes,
HEALTH,2022,10,4,28/04/2022,Yes,Meeting Attendance of the Board of Directors,7.,THIBDEE MANGKALEE,N/A,10 / 10,100.00,Yes,
HEALTH,2022,10,4,28/04/2022,Yes,Meeting Attendance of the Board of Directors,8.,KUMPOL BURIYAMEATHAGUL,N/A,10 / 10,100.00,Yes,
HEALTH,2022,10,4,28/04/2022,Yes,Meeting Attendance of the Board of Directors,9.,SUPAKORN CHUASIRIPHATTANA,N/A,10 / 10,100.00,Yes,
HEALTH,2022,10,4,28/04/2022,Yes,Meeting Attendance of Audit Committee,1.,SARIDCHAI ANAKEVIENG,N/A,4 / 4,100.00,,
HEALTH,2022,10,4,28/04/2022,Yes,Meeting Attendance of Audit Committee,2.,CHALERMPONG MAHAVANIDVONG,N/A,4 / 4,100.00,,
HEALTH,2022,10,4,28/04/2022,Yes,Meeting Attendance of Audit Committee,3.,PANOM RATANARAT,N/A,4 / 4,100.00,,
HEALTH,2022,10,4,28/04/2022,Yes,Meeting Attendance of Executive Committee,1.,SAMART CHUASIRIPHATTANA,N/A,N/A,N/A,,
HEALTH,2022,10,4,28/04/2022,Yes,Meeting Attendance of Executive Committee,2.,THIBDEE MANGKALEE,N/A,N/A,N/A,,
HEALTH,2022,10,4,28/04/2022,Yes,Meeting Attendance of Executive Committee,3.,SITTHICHAI GASORNSOMBAT,N/A,N/A,N/A,,
HEALTH,2022,10,4,28/04/2022,Yes,Meeting Attendance of Executive Committee,4.,KUMPOL BURIYAMEATHAGUL,N/A,N/A,N/A,,
HEALTH,2022,10,4,28/04/2022,Yes,Meeting Attendance of Nomination and Remuneration Committee,1.,CHALERMPONG MAHAVANIDVONG,N/A,0 / 0,N/A,,
HEALTH,2022,10,4,28/04/2022,Yes,Meeting Attendance of Nomination and Remuneration Committee,2.,SARIDCHAI ANAKEVIENG,N/A,0 / 0,N/A,,
HEALTH,2022,10,4,28/04/2022,Yes,Meeting Attendance of Nomination and Remuneration Committee,3.,PANOM RATANARAT,N/A,0 / 0,N/A,,
HEALTH,2022,10,4,28/04/2022,Yes,Meeting Attendance of Risk Management Committee,1.,SAMART CHUASIRIPHATTANA,N/A,0 / 0,N/A,,
HEALTH,2022,10,4,28/04/2022,Yes,Meeting Attendance of Risk Management Committee,2.,CHALERMPONG MAHAVANIDVONG,N/A,0 / 0,N/A,,
HEALTH,2022,10,4,28/04/2022,Yes,Meeting Attendance of Risk Management Committee,3.,PANOM RATANARAT,N/A,0 / 0,N/A,,
HEALTH,2023,6,4,27/04/2023,No,Meeting Attendance of the Board of Directors,1.,SURAPAN POOMKAEW,N/A,6 / 6,100.00,Yes,
HEALTH,2023,6,4,27/04/2023,No,Meeting Attendance of the Board of Directors,2.,SITTHICHAI GASORNSOMBAT,N/A,6 / 6,100.00,Yes,
HEALTH,2023,6,4,27/04/2023,No,Meeting Attendance of the Board of Directors,3.,SAMART CHUASIRIPHATTANA,N/A,6 / 6,100.00,Yes,
HEALTH,2023,6,4,27/04/2023,No,Meeting Attendance of the Board of Directors,4.,CHALERMPONG MAHAVANIDVONG,N/A,5 / 6,83.33,Yes,
