Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
HMPRO,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
HMPRO,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
HMPRO,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
HMPRO,2022,12,12,08/04/2022,No,Meeting Attendance of the Board of Directors,1.,ANANT ASAVABHOKHIN,N/A,8 / 9,88.89,No,
HMPRO,2022,12,12,08/04/2022,No,Meeting Attendance of the Board of Directors,2.,NAPORN SUNTHORNCHITCHAROEN,N/A,12 / 12,100.00,Yes,
HMPRO,2022,12,12,08/04/2022,No,Meeting Attendance of the Board of Directors,3.,KHUNAWUT THUMPOMKUL,N/A,12 / 12,100.00,Yes,
HMPRO,2022,12,12,08/04/2022,No,Meeting Attendance of the Board of Directors,4.,MANIT UDOMKUNATUM,N/A,12 / 12,100.00,Yes,
HMPRO,2022,12,12,08/04/2022,No,Meeting Attendance of the Board of Directors,5.,THAVEEVAT TATIYAMANEEKUL,N/A,12 / 12,100.00,Yes,
HMPRO,2022,12,12,08/04/2022,No,Meeting Attendance of the Board of Directors,6.,RUTT PHANIJPHAND,N/A,12 / 12,100.00,Yes,
HMPRO,2022,12,12,08/04/2022,No,Meeting Attendance of the Board of Directors,7.,SUWANNA BHUDDHAPRASART,N/A,12 / 12,100.00,Yes,
HMPRO,2022,12,12,08/04/2022,No,Meeting Attendance of the Board of Directors,8.,CHANIN ROONSAMRARN,N/A,12 / 12,100.00,Yes,
HMPRO,2022,12,12,08/04/2022,No,Meeting Attendance of the Board of Directors,9.,ACHAWIN ASAVABHOKIN,N/A,11 / 12,91.67,Yes,
HMPRO,2022,12,12,08/04/2022,No,Meeting Attendance of the Board of Directors,10.,BOONSOM LERDHIRUNWONG,N/A,12 / 12,100.00,Yes,
HMPRO,2022,12,12,08/04/2022,No,Meeting Attendance of the Board of Directors,11.,PORNWUT SARASIN,N/A,11 / 12,91.67,Yes,
HMPRO,2022,12,12,08/04/2022,No,Meeting Attendance of the Board of Directors,12.,WEERAPUN UNGSUMALEE,N/A,12 / 12,100.00,Yes,
HMPRO,2022,12,12,08/04/2022,No,Meeting Attendance of Audit Committee,1.,BOONSOM LERDHIRUNWONG,N/A,12 / 12,100.00,,
HMPRO,2022,12,12,08/04/2022,No,Meeting Attendance of Audit Committee,2.,THAVEEVAT TATIYAMANEEKUL,N/A,11 / 12,91.67,,
HMPRO,2022,12,12,08/04/2022,No,Meeting Attendance of Audit Committee,3.,CHANIN ROONSAMRARN,N/A,12 / 12,100.00,,
HMPRO,2022,12,12,08/04/2022,No,Meeting Attendance of Executive Committee,1.,MANIT UDOMKUNATUM,N/A,N/A,N/A,,
HMPRO,2022,12,12,08/04/2022,No,Meeting Attendance of Executive Committee,2.,NAPORN SUNTHORNCHITCHAROEN,N/A,N/A,N/A,,
HMPRO,2022,12,12,08/04/2022,No,Meeting Attendance of Executive Committee,3.,RUTT PHANIJPHAND,N/A,N/A,N/A,,
HMPRO,2022,12,12,08/04/2022,No,Meeting Attendance of Executive Committee,4.,KHUNAWUT THUMPOMKUL,N/A,N/A,N/A,,
HMPRO,2022,12,12,08/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,1.,RUTT PHANIJPHAND,N/A,0 / 0,N/A,,
HMPRO,2022,12,12,08/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,2.,CHANIN ROONSAMRARN,N/A,0 / 0,N/A,,
HMPRO,2022,12,12,08/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,3.,NAPORN SUNTHORNCHITCHAROEN,N/A,0 / 0,N/A,,
HMPRO,2022,12,12,08/04/2022,No,Meeting Attendance of Risk Management Committee,1.,KHUNAWUT THUMPOMKUL,N/A,0 / 0,N/A,,
HMPRO,2022,12,12,08/04/2022,No,Meeting Attendance of Risk Management Committee,2.,WEERAPUN UNGSUMALEE,N/A,0 / 0,N/A,,
HMPRO,2022,12,12,08/04/2022,No,Meeting Attendance of Risk Management Committee,3.,Wannee Juntamongkol,N/A,0 / 0,N/A,,
HMPRO,2022,12,12,08/04/2022,No,Meeting Attendance of Risk Management Committee,4.,Jarusopha Thumkathikanon,N/A,0 / 0,N/A,,
HMPRO,2022,12,12,08/04/2022,No,Meeting Attendance of Risk Management Committee,5.,Nitat  Aroonthipaitoon,N/A,0 / 0,N/A,,
HMPRO,2022,12,12,08/04/2022,No,Meeting Attendance of Risk Management Committee,6.,Sudapa  Chamod,N/A,0 / 0,N/A,,
HMPRO,2022,12,12,08/04/2022,No,Meeting Attendance of Strategy and Sustainable Development Committee,1.,KHUNAWUT THUMPOMKUL,N/A,0 / 0,N/A,,
HMPRO,2022,12,12,08/04/2022,No,Meeting Attendance of Strategy and Sustainable Development Committee,2.,WEERAPUN UNGSUMALEE,N/A,0 / 0,N/A,,
HMPRO,2022,12,12,08/04/2022,No,Meeting Attendance of Strategy and Sustainable Development Committee,3.,Vathunyu  Visuthikosol,N/A,0 / 0,N/A,,
HMPRO,2022,12,12,08/04/2022,No,Meeting Attendance of Strategy and Sustainable Development Committee,4.,Chaiyuth Karunyasopon,N/A,0 / 0,N/A,,
HMPRO,2022,12,12,08/04/2022,No,Meeting Attendance of Strategy and Sustainable Development Committee,5.,Nitat  Aroonthipaitoon,N/A,0 / 0,N/A,,
HMPRO,2022,12,12,08/04/2022,No,Meeting Attendance of Strategy and Sustainable Development Committee,6.,Wannee Juntamongkol,N/A,0 / 0,N/A,,
HMPRO,2022,12,12,08/04/2022,No,Meeting Attendance of Strategy and Sustainable Development Committee,7.,Ittaporn  Srisukwattana,N/A,0 / 0,N/A,,
HMPRO,2022,12,12,08/04/2022,No,Meeting Attendance of Strategy and Sustainable Development Committee,8.,Jarusopha Thumkathikanon,N/A,0 / 0,N/A,,
HMPRO,2022,12,12,08/04/2022,No,Meeting Attendance of Strategy and Sustainable Development Committee,9.,Sudapa  Chamod,N/A,0 / 0,N/A,,
HMPRO,2022,12,12,08/04/2022,No,Meeting Attendance of Strategy and Sustainable Development Committee,10.,Saowanee  Sirariyakul,N/A,0 / 0,N/A,,
HMPRO,2022,12,12,08/04/2022,No,Meeting Attendance of Personal Data Protection Committee,1.,WEERAPUN UNGSUMALEE,N/A,0 / 0,N/A,,
