Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
HTC,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
HTC,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
HTC,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
HTC,2022,7,4,26/04/2022,Yes,Meeting Attendance of the Board of Directors,1.,CHARAN KULLAVANIJAYA,N/A,7 / 7,100.00,Yes,
HTC,2022,7,4,26/04/2022,Yes,Meeting Attendance of the Board of Directors,2.,PATCHARA RATTAKUL,N/A,7 / 7,100.00,Yes,
HTC,2022,7,4,26/04/2022,Yes,Meeting Attendance of the Board of Directors,3.,PRAKIT PRADIPASEN,N/A,7 / 7,100.00,Yes,
HTC,2022,7,4,26/04/2022,Yes,Meeting Attendance of the Board of Directors,4.,PHILIPP HUGO GUTSCHE,N/A,6 / 7,85.71,No,
HTC,2022,7,4,26/04/2022,Yes,Meeting Attendance of the Board of Directors,5.,JOHAN WILLEM MAARTEN JANSEN,N/A,6 / 7,85.71,No,
HTC,2022,7,4,26/04/2022,Yes,Meeting Attendance of the Board of Directors,6.,YANYONG MAETHAPANICH,N/A,7 / 7,100.00,Yes,
HTC,2022,7,4,26/04/2022,Yes,Meeting Attendance of the Board of Directors,7.,PARIYA CHIRABANDHU,N/A,7 / 7,100.00,Yes,
HTC,2022,7,4,26/04/2022,Yes,Meeting Attendance of the Board of Directors,8.,DHISANA SRITAVAJ,N/A,6 / 7,85.71,No,
HTC,2022,7,4,26/04/2022,Yes,Meeting Attendance of the Board of Directors,9.,DUMRONGRUGS APIBALSAWASDI,N/A,7 / 7,100.00,Yes,
HTC,2022,7,4,26/04/2022,Yes,Meeting Attendance of the Board of Directors,10.,KERRY-ANN SHIPP,N/A,7 / 7,100.00,Yes,
HTC,2022,7,4,26/04/2022,Yes,Meeting Attendance of the Board of Directors,11.,PONGSAKORN THIENGTHAM,N/A,4 / 4,100.00,No,
HTC,2022,7,4,26/04/2022,Yes,Meeting Attendance of the Board of Directors,12.,JARUVAT VAISAYA,N/A,4 / 4,100.00,No,
HTC,2022,7,4,26/04/2022,Yes,Meeting Attendance of the Board of Directors,13.,SWIN CHATSUWAN,N/A,3 / 3,100.00,No,
HTC,2022,7,4,26/04/2022,Yes,Meeting Attendance of the Board of Directors,14.,PAKORN SUKHUM,N/A,3 / 3,100.00,No,
HTC,2022,7,4,26/04/2022,Yes,Meeting Attendance of the Board of Directors,15.,YUPARES THIENGTHAM,01/06/2022,3 / 3,100.00,No,
HTC,2022,7,4,26/04/2022,Yes,Meeting Attendance of the Board of Directors,16.,SMORNLUX MAHASMITI,01/06/2022,2 / 3,66.67,No,
HTC,2022,7,4,26/04/2022,Yes,Meeting Attendance of Audit Committee,1.,PRAKIT PRADIPASEN,N/A,4 / 4,100.00,,
HTC,2022,7,4,26/04/2022,Yes,Meeting Attendance of Audit Committee,2.,YANYONG MAETHAPANICH,N/A,4 / 4,100.00,,
HTC,2022,7,4,26/04/2022,Yes,Meeting Attendance of Audit Committee,3.,SWIN CHATSUWAN,N/A,1 / 2,50.00,,
HTC,2022,7,4,26/04/2022,Yes,Meeting Attendance of Audit Committee,4.,SMORNLUX MAHASMITI,01/06/2022,2 / 2,100.00,,
HTC,2022,7,4,26/04/2022,Yes,Meeting Attendance of Executive Committee,1.,PATCHARA RATTAKUL,N/A,N/A,N/A,,
HTC,2022,7,4,26/04/2022,Yes,Meeting Attendance of Executive Committee,2.,PARIYA CHIRABANDHU,N/A,N/A,N/A,,
HTC,2022,7,4,26/04/2022,Yes,Meeting Attendance of Executive Committee,3.,DUMRONGRUGS APIBALSAWASDI,N/A,N/A,N/A,,
HTC,2022,7,4,26/04/2022,Yes,Meeting Attendance of RISK MANAGEMENT AND CORPORATE GOVERNANCE COMMITTEE,1.,YANYONG MAETHAPANICH,N/A,0 / 0,N/A,,
HTC,2022,7,4,26/04/2022,Yes,Meeting Attendance of RISK MANAGEMENT AND CORPORATE GOVERNANCE COMMITTEE,2.,DUMRONGRUGS APIBALSAWASDI,N/A,0 / 0,N/A,,
HTC,2022,7,4,26/04/2022,Yes,Meeting Attendance of RISK MANAGEMENT AND CORPORATE GOVERNANCE COMMITTEE,3.,PATCHARA RATTAKUL,N/A,0 / 0,N/A,,
HTC,2022,7,4,26/04/2022,Yes,Meeting Attendance of SUSTAINABILITY COMMITTEE,1.,PATCHARA RATTAKUL,N/A,0 / 0,N/A,,
HTC,2022,7,4,26/04/2022,Yes,Meeting Attendance of SUSTAINABILITY COMMITTEE,2.,DUMRONGRUGS APIBALSAWASDI,N/A,0 / 0,N/A,,
HTC,2022,7,4,26/04/2022,Yes,Meeting Attendance of SUSTAINABILITY COMMITTEE,3.,JOSE  HENRIQUE ZEITUNE,N/A,0 / 0,N/A,,
HTC,2022,7,4,26/04/2022,Yes,Meeting Attendance of SUSTAINABILITY COMMITTEE,4.,RICCARDO  VRODOM SUCHARITKUL,N/A,0 / 0,N/A,,
HTC,2022,7,4,26/04/2022,Yes,Meeting Attendance of SUSTAINABILITY COMMITTEE,5.,SIAM SUWANRAT,N/A,0 / 0,N/A,,
HTC,2022,7,4,26/04/2022,Yes,Meeting Attendance of SUSTAINABILITY COMMITTEE,6.,RUTTANAWADEE KIATISIMKUL,N/A,0 / 0,N/A,,
HTC,2022,7,4,26/04/2022,Yes,Meeting Attendance of NOMINATION AND REMUNERATION COMMITTEE,1.,PHILIPP HUGO GUTSCHE,N/A,0 / 0,N/A,,
HTC,2022,7,4,26/04/2022,Yes,Meeting Attendance of NOMINATION AND REMUNERATION COMMITTEE,2.,YANYONG MAETHAPANICH,N/A,0 / 0,N/A,,
HTC,2022,7,4,26/04/2022,Yes,Meeting Attendance of NOMINATION AND REMUNERATION COMMITTEE,3.,PARIYA CHIRABANDHU,N/A,0 / 0,N/A,,
