Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
HTECH,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
HTECH,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
HTECH,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
HTECH,2022,5,4,21/04/2022,No,Meeting Attendance of the Board of Directors,1.,PETE RIMCHALA,N/A,5 / 5,100.00,Yes,
HTECH,2022,5,4,21/04/2022,No,Meeting Attendance of the Board of Directors,2.,SORAJ SUTANADHAN,N/A,5 / 5,100.00,Yes,
HTECH,2022,5,4,21/04/2022,No,Meeting Attendance of the Board of Directors,3.,NORAWEE CHANGLUM,N/A,5 / 5,100.00,Yes,
HTECH,2022,5,4,21/04/2022,No,Meeting Attendance of the Board of Directors,4.,CHOLLADA FUVATTANASILP,N/A,5 / 5,100.00,Yes,
HTECH,2022,5,4,21/04/2022,No,Meeting Attendance of the Board of Directors,5.,VIBOON POJANALAI,N/A,5 / 5,100.00,Yes,
HTECH,2022,5,4,21/04/2022,No,Meeting Attendance of the Board of Directors,6.,PRAPHAN PHICHAIWATKOMOL,N/A,5 / 5,100.00,Yes,
HTECH,2022,5,4,21/04/2022,No,Meeting Attendance of Audit Committee,1.,CHOLLADA FUVATTANASILP,N/A,4 / 4,100.00,,
HTECH,2022,5,4,21/04/2022,No,Meeting Attendance of Audit Committee,2.,VIBOON POJANALAI,N/A,4 / 4,100.00,,
HTECH,2022,5,4,21/04/2022,No,Meeting Attendance of Audit Committee,3.,PRAPHAN PHICHAIWATKOMOL,N/A,4 / 4,100.00,,
HTECH,2022,5,4,21/04/2022,No,Meeting Attendance of Executive Committee,1.,PETE RIMCHALA,N/A,N/A,N/A,,
HTECH,2022,5,4,21/04/2022,No,Meeting Attendance of Executive Committee,2.,SORAJ SUTANADHAN,N/A,N/A,N/A,,
HTECH,2022,5,4,21/04/2022,No,Meeting Attendance of Executive Committee,3.,NORAWEE CHANGLUM,N/A,N/A,N/A,,
HTECH,2022,5,4,21/04/2022,No,Meeting Attendance of Executive Committee,4.,Chris Rimchala,N/A,N/A,N/A,,
HTECH,2022,5,4,21/04/2022,No,Meeting Attendance of Executive Committee,5.,Rattipat Aramwatanapong,N/A,N/A,N/A,,
HTECH,2022,5,4,21/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,1.,PETE RIMCHALA,N/A,0 / 0,N/A,,
HTECH,2022,5,4,21/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,2.,CHOLLADA FUVATTANASILP,N/A,0 / 0,N/A,,
HTECH,2022,5,4,21/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,3.,VIBOON POJANALAI,N/A,0 / 0,N/A,,
HTECH,2023,4,4,21/04/2023,No,Meeting Attendance of the Board of Directors,1.,PETE RIMCHALA,N/A,4 / 4,100.00,Yes,
HTECH,2023,4,4,21/04/2023,No,Meeting Attendance of the Board of Directors,2.,CHOLLADA FUVATTANASILP,N/A,4 / 4,100.00,Yes,
HTECH,2023,4,4,21/04/2023,No,Meeting Attendance of the Board of Directors,3.,NORAWEE CHANGLUM,N/A,4 / 4,100.00,Yes,
HTECH,2023,4,4,21/04/2023,No,Meeting Attendance of the Board of Directors,4.,SORAJ SUTANADHAN,N/A,4 / 4,100.00,Yes,
HTECH,2023,4,4,21/04/2023,No,Meeting Attendance of the Board of Directors,5.,VIBOON POJANALAI,N/A,4 / 4,100.00,Yes,
HTECH,2023,4,4,21/04/2023,No,Meeting Attendance of the Board of Directors,6.,PRAPHAN PHICHAIWATKOMOL,N/A,4 / 4,100.00,Yes,
HTECH,2023,4,4,21/04/2023,No,Meeting Attendance of Audit Committee,1.,CHOLLADA FUVATTANASILP,N/A,4 / 4,100.00,,
HTECH,2023,4,4,21/04/2023,No,Meeting Attendance of Audit Committee,2.,VIBOON POJANALAI,N/A,4 / 4,100.00,,
HTECH,2023,4,4,21/04/2023,No,Meeting Attendance of Audit Committee,3.,PRAPHAN PHICHAIWATKOMOL,N/A,4 / 4,100.00,,
HTECH,2023,4,4,21/04/2023,No,Meeting Attendance of Executive Committee,1.,PETE RIMCHALA,N/A,N/A,N/A,,
HTECH,2023,4,4,21/04/2023,No,Meeting Attendance of Executive Committee,2.,SORAJ SUTANADHAN,N/A,N/A,N/A,,
HTECH,2023,4,4,21/04/2023,No,Meeting Attendance of Executive Committee,3.,NORAWEE CHANGLUM,N/A,N/A,N/A,,
