Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
HUMAN,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
HUMAN,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
HUMAN,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
HUMAN,2022,6,4,26/04/2023,No,Meeting Attendance of the Board of Directors,1.,ANOTAI ADULBHAN,N/A,6 / 6,100.00,Yes,
HUMAN,2022,6,4,26/04/2023,No,Meeting Attendance of the Board of Directors,2.,SOONTORN DENTHAM,N/A,6 / 6,100.00,Yes,
HUMAN,2022,6,4,26/04/2023,No,Meeting Attendance of the Board of Directors,3.,PATARA YONGVANICH,N/A,6 / 6,100.00,Yes,
HUMAN,2022,6,4,26/04/2023,No,Meeting Attendance of the Board of Directors,4.,THANACHART NUMNONDA,N/A,6 / 6,100.00,Yes,
HUMAN,2022,6,4,26/04/2023,No,Meeting Attendance of the Board of Directors,5.,PATAI PADUNGTIN,N/A,6 / 6,100.00,Yes,
HUMAN,2022,6,4,26/04/2023,No,Meeting Attendance of the Board of Directors,6.,PIYAPORN PHANACHET,N/A,6 / 6,100.00,Yes,
HUMAN,2022,6,4,26/04/2023,No,Meeting Attendance of the Board of Directors,7.,GORDON ENNS,N/A,2 / 2,100.00,Yes,
HUMAN,2022,6,4,26/04/2023,No,Meeting Attendance of Audit Committee,1.,PATARA YONGVANICH,N/A,4 / 4,100.00,,
HUMAN,2022,6,4,26/04/2023,No,Meeting Attendance of Audit Committee,2.,THANACHART NUMNONDA,N/A,4 / 4,100.00,,
HUMAN,2022,6,4,26/04/2023,No,Meeting Attendance of Audit Committee,3.,PIYAPORN PHANACHET,N/A,4 / 4,100.00,,
HUMAN,2022,6,4,26/04/2023,No,Meeting Attendance of Executive Committee,,No Information,,,,,
HUMAN,2022,6,4,26/04/2023,No,Meeting Attendance of Investment Committee,1.,PATAI PADUNGTIN,N/A,0 / 0,N/A,,
HUMAN,2022,6,4,26/04/2023,No,Meeting Attendance of Investment Committee,2.,PATARA YONGVANICH,N/A,0 / 0,N/A,,
HUMAN,2022,6,4,26/04/2023,No,Meeting Attendance of Investment Committee,3.,SOONTORN DENTHAM,N/A,0 / 0,N/A,,
HUMAN,2022,6,4,26/04/2023,No,Meeting Attendance of Nomination and Remuneration Committee,1.,PIYAPORN PHANACHET,N/A,0 / 0,N/A,,
HUMAN,2022,6,4,26/04/2023,No,Meeting Attendance of Nomination and Remuneration Committee,2.,ANOTAI ADULBHAN,N/A,0 / 0,N/A,,
HUMAN,2022,6,4,26/04/2023,No,Meeting Attendance of Nomination and Remuneration Committee,3.,THANACHART NUMNONDA,N/A,0 / 0,N/A,,
HUMAN,2023,4,4,25/04/2024,No,Meeting Attendance of the Board of Directors,1.,ANOTAI ADULBHAN,N/A,4 / 4,100.00,Yes,
HUMAN,2023,4,4,25/04/2024,No,Meeting Attendance of the Board of Directors,2.,SOONTORN DENTHAM,N/A,4 / 4,100.00,Yes,
HUMAN,2023,4,4,25/04/2024,No,Meeting Attendance of the Board of Directors,3.,PATARA YONGVANICH,N/A,4 / 4,100.00,Yes,
HUMAN,2023,4,4,25/04/2024,No,Meeting Attendance of the Board of Directors,4.,THANACHART NUMNONDA,N/A,4 / 4,100.00,Yes,
HUMAN,2023,4,4,25/04/2024,No,Meeting Attendance of the Board of Directors,5.,PATAI PADUNGTIN,N/A,4 / 4,100.00,Yes,
HUMAN,2023,4,4,25/04/2024,No,Meeting Attendance of the Board of Directors,6.,PIYAPORN PHANACHET,N/A,4 / 4,100.00,Yes,
HUMAN,2023,4,4,25/04/2024,No,Meeting Attendance of the Board of Directors,7.,GORDON ENNS,N/A,4 / 4,100.00,Yes,
HUMAN,2023,4,4,25/04/2024,No,Meeting Attendance of Audit Committee,1.,PATARA YONGVANICH,N/A,4 / 4,100.00,,
HUMAN,2023,4,4,25/04/2024,No,Meeting Attendance of Audit Committee,2.,THANACHART NUMNONDA,N/A,4 / 4,100.00,,
HUMAN,2023,4,4,25/04/2024,No,Meeting Attendance of Audit Committee,3.,PIYAPORN PHANACHET,N/A,4 / 4,100.00,,
HUMAN,2023,4,4,25/04/2024,No,Meeting Attendance of Executive Committee,1.,SOONTORN DENTHAM,N/A,N/A,N/A,,
HUMAN,2023,4,4,25/04/2024,No,Meeting Attendance of Executive Committee,2.,Chuenchom Techarungkiat,N/A,N/A,N/A,,
HUMAN,2023,4,4,25/04/2024,No,Meeting Attendance of Executive Committee,3.,Sasithorn Hirunsak,N/A,N/A,N/A,,
HUMAN,2023,4,4,25/04/2024,No,Meeting Attendance of Executive Committee,4.,Hathaichanok Suwanjang,N/A,N/A,N/A,,
HUMAN,2023,4,4,25/04/2024,No,Meeting Attendance of Executive Committee,5.,Thammanoon Korkiatwanich,N/A,N/A,N/A,,
HUMAN,2023,4,4,25/04/2024,No,Meeting Attendance of Executive Committee,6.,GORDON ENNS,N/A,N/A,N/A,,
HUMAN,2023,4,4,25/04/2024,No,Meeting Attendance of Executive Committee,7.,Yus Wadi,N/A,N/A,N/A,,
HUMAN,2023,4,4,25/04/2024,No,Meeting Attendance of Executive Committee,8.,Eswaran Nadarajah,05/02/2024,N/A,N/A,,
HUMAN,2023,4,4,25/04/2024,No,Meeting Attendance of Investment Committee,1.,PATAI PADUNGTIN,N/A,0 / 0,N/A,,
HUMAN,2023,4,4,25/04/2024,No,Meeting Attendance of Investment Committee,2.,PATARA YONGVANICH,N/A,0 / 0,N/A,,
HUMAN,2023,4,4,25/04/2024,No,Meeting Attendance of Investment Committee,3.,SOONTORN DENTHAM,N/A,0 / 0,N/A,,
HUMAN,2023,4,4,25/04/2024,No,Meeting Attendance of Nomination and Remuneration Committee,1.,PIYAPORN PHANACHET,N/A,0 / 0,N/A,,
HUMAN,2023,4,4,25/04/2024,No,Meeting Attendance of Nomination and Remuneration Committee,2.,ANOTAI ADULBHAN,N/A,0 / 0,N/A,,
HUMAN,2023,4,4,25/04/2024,No,Meeting Attendance of Nomination and Remuneration Committee,3.,THANACHART NUMNONDA,N/A,0 / 0,N/A,,
HUMAN,2024,4,4,25/04/2024,No,Meeting Attendance of the Board of Directors,1.,ANOTAI ADULBHAN,N/A,4 / 4,100.00,1 / 1,
HUMAN,2024,4,4,25/04/2024,No,Meeting Attendance of the Board of Directors,2.,SOONTORN DENTHAM,N/A,4 / 4,100.00,1 / 1,
HUMAN,2024,4,4,25/04/2024,No,Meeting Attendance of the Board of Directors,3.,PATARA YONGVANICH,N/A,4 / 4,100.00,1 / 1,
HUMAN,2024,4,4,25/04/2024,No,Meeting Attendance of the Board of Directors,4.,THANACHART NUMNONDA,N/A,4 / 4,100.00,1 / 1,
HUMAN,2024,4,4,25/04/2024,No,Meeting Attendance of the Board of Directors,5.,PATAI PADUNGTIN,N/A,4 / 4,100.00,1 / 1,
HUMAN,2024,4,4,25/04/2024,No,Meeting Attendance of the Board of Directors,6.,GORDON ENNS,N/A,4 / 4,100.00,1 / 1,
HUMAN,2024,4,4,25/04/2024,No,Meeting Attendance of the Board of Directors,7.,KANYA RUENGPRATEEPSANG,N/A,2 / 2,100.00,0 / 0,
HUMAN,2024,4,4,25/04/2024,No,Meeting Attendance of the Board of Directors,8.,PIYAPORN PHANACHET,12/08/2024,2 / 2,100.00,1 / 1,
HUMAN,2024,4,4,25/04/2024,No,Meeting Attendance of Audit Committee,1.,PATARA YONGVANICH,N/A,4 / 4,100.00,,
HUMAN,2024,4,4,25/04/2024,No,Meeting Attendance of Audit Committee,2.,THANACHART NUMNONDA,N/A,4 / 4,100.00,,
HUMAN,2024,4,4,25/04/2024,No,Meeting Attendance of Audit Committee,3.,KANYA RUENGPRATEEPSANG,N/A,1 / 1,100.00,,
HUMAN,2024,4,4,25/04/2024,No,Meeting Attendance of Audit Committee,4.,PIYAPORN PHANACHET,12/08/2024,2 / 2,100.00,,
HUMAN,2024,4,4,25/04/2024,No,Meeting Attendance of Executive Committee,1.,SOONTORN DENTHAM,N/A,12 / 12,100.00,,
HUMAN,2024,4,4,25/04/2024,No,Meeting Attendance of Executive Committee,2.,Chuenchom Techarungkiat,N/A,12 / 12,100.00,,
HUMAN,2024,4,4,25/04/2024,No,Meeting Attendance of Executive Committee,3.,Sasithorn Hirunsak,N/A,12 / 12,100.00,,
HUMAN,2024,4,4,25/04/2024,No,Meeting Attendance of Executive Committee,4.,Hathaichanok Suwanjang,N/A,12 / 12,100.00,,
HUMAN,2024,4,4,25/04/2024,No,Meeting Attendance of Executive Committee,5.,Thammanoon Korkiatwanich,N/A,12 / 12,100.00,,
HUMAN,2024,4,4,25/04/2024,No,Meeting Attendance of Executive Committee,6.,GORDON ENNS,N/A,12 / 12,100.00,,
HUMAN,2024,4,4,25/04/2024,No,Meeting Attendance of Executive Committee,7.,Yus Wadi,N/A,12 / 12,100.00,,
HUMAN,2024,4,4,25/04/2024,No,Meeting Attendance of Executive Committee,8.,Eswaran Nadarajah,05/02/2024,0 / 0,N/A,,
HUMAN,2024,4,4,25/04/2024,No,Meeting Attendance of Investment Committee,1.,PATAI PADUNGTIN,N/A,5 / 5,100.00,,
HUMAN,2024,4,4,25/04/2024,No,Meeting Attendance of Investment Committee,2.,PATARA YONGVANICH,N/A,4 / 5,80.00,,
HUMAN,2024,4,4,25/04/2024,No,Meeting Attendance of Investment Committee,3.,KANYA RUENGPRATEEPSANG,N/A,1 / 1,100.00,,
HUMAN,2024,4,4,25/04/2024,No,Meeting Attendance of Nomination and Remuneration Committee,1.,ANOTAI ADULBHAN,N/A,2 / 2,100.00,,
HUMAN,2024,4,4,25/04/2024,No,Meeting Attendance of Nomination and Remuneration Committee,2.,THANACHART NUMNONDA,N/A,2 / 2,100.00,,
HUMAN,2024,4,4,25/04/2024,No,Meeting Attendance of Nomination and Remuneration Committee,3.,KANYA RUENGPRATEEPSANG,N/A,0 / 0,N/A,,
HUMAN,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
HUMAN,2025,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
HUMAN,2025,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
HUMAN,2026,N/A,N/A,N/A,N/A,Meeting Attendance of the Board of Directors,,No Information,,,,,
HUMAN,2026,N/A,N/A,N/A,N/A,Meeting Attendance of Audit Committee,,No Information,,,,,
HUMAN,2026,N/A,N/A,N/A,N/A,Meeting Attendance of Executive Committee,,No Information,,,,,
