Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
ICC,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
ICC,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
ICC,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
ICC,2022,14,13,25/04/2022,No,Meeting Attendance of the Board of Directors,1.,BOONKIET CHOKWATANA,N/A,14 / 14,100.00,Yes,
ICC,2022,14,13,25/04/2022,No,Meeting Attendance of the Board of Directors,2.,THAMARAT CHOKWATANA,N/A,14 / 14,100.00,Yes,
ICC,2022,14,13,25/04/2022,No,Meeting Attendance of the Board of Directors,3.,THIRAPHONG VIKITSET,N/A,14 / 14,100.00,Yes,
ICC,2022,14,13,25/04/2022,No,Meeting Attendance of the Board of Directors,4.,AMORN ASVANUNT,N/A,12 / 14,85.71,Yes,
ICC,2022,14,13,25/04/2022,No,Meeting Attendance of the Board of Directors,5.,NOPHORN BHONGSVEJ,N/A,14 / 14,100.00,Yes,
ICC,2022,14,13,25/04/2022,No,Meeting Attendance of the Board of Directors,6.,ANUCHIT ANUCHITANUKUL,N/A,14 / 14,100.00,Yes,
ICC,2022,14,13,25/04/2022,No,Meeting Attendance of the Board of Directors,7.,NUALPHAN LAMSAM,N/A,N/A,N/A,N/A,
ICC,2022,14,13,25/04/2022,No,Meeting Attendance of the Board of Directors,8.,SOMPHOL CHAISIRIROJ,N/A,14 / 14,100.00,Yes,
ICC,2022,14,13,25/04/2022,No,Meeting Attendance of the Board of Directors,9.,MUNCHUSA TERAPONGPIPAT,N/A,14 / 14,100.00,Yes,
ICC,2022,14,13,25/04/2022,No,Meeting Attendance of the Board of Directors,10.,KOBSUK SAENGSAWAD,N/A,14 / 14,100.00,Yes,
