Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
ICHI,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
ICHI,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
ICHI,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
ICHI,2022,7,N/A,27/04/2022,No,Meeting Attendance of the Board of Directors,1.,NATHAWAT NIMMOLTHANAKHORN,N/A,7 / 7,100.00,Yes,
ICHI,2022,7,N/A,27/04/2022,No,Meeting Attendance of the Board of Directors,2.,ENG PASSAKORNNATEE,N/A,4 / 4,100.00,No,
ICHI,2022,7,N/A,27/04/2022,No,Meeting Attendance of the Board of Directors,3.,TAN PASSAKORNNATEE,N/A,7 / 7,100.00,Yes,
ICHI,2022,7,N/A,27/04/2022,No,Meeting Attendance of the Board of Directors,4.,THITI JIRANONKAN,N/A,7 / 7,100.00,Yes,
ICHI,2022,7,N/A,27/04/2022,No,Meeting Attendance of the Board of Directors,5.,VIROJ SUPASOON,N/A,7 / 7,100.00,Yes,
ICHI,2022,7,N/A,27/04/2022,No,Meeting Attendance of the Board of Directors,6.,THANAPAN KONGNANTA,N/A,7 / 7,100.00,Yes,
ICHI,2022,7,N/A,27/04/2022,No,Meeting Attendance of the Board of Directors,7.,ARAYA PANICHAYUNONT,N/A,7 / 7,100.00,Yes,
ICHI,2022,7,N/A,27/04/2022,No,Meeting Attendance of the Board of Directors,8.,PRASAN LIMPIPATANAKUL,N/A,7 / 7,100.00,Yes,
ICHI,2022,7,N/A,27/04/2022,No,Meeting Attendance of the Board of Directors,9.,ISSARACHAI DECHARIT,N/A,7 / 7,100.00,Yes,
ICHI,2022,7,N/A,27/04/2022,No,Meeting Attendance of Audit Committee,1.,NATHAWAT NIMMOLTHANAKHORN,N/A,4 / 4,100.00,,
ICHI,2022,7,N/A,27/04/2022,No,Meeting Attendance of Audit Committee,2.,PRASAN LIMPIPATANAKUL,N/A,4 / 4,100.00,,
ICHI,2022,7,N/A,27/04/2022,No,Meeting Attendance of Audit Committee,3.,ISSARACHAI DECHARIT,N/A,4 / 4,100.00,,
