Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
IFS,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
IFS,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
IFS,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
IFS,2022,4,4,20/04/2022,No,Meeting Attendance of the Board of Directors,1.,RANDY SIM CHENG LEONG,N/A,4 / 4,100.00,Yes,
IFS,2022,4,4,20/04/2022,No,Meeting Attendance of the Board of Directors,2.,LEY YEN TAN,N/A,4 / 4,100.00,Yes,
IFS,2022,4,4,20/04/2022,No,Meeting Attendance of the Board of Directors,3.,CHIONH YI CHIAN,N/A,4 / 4,100.00,Yes,
IFS,2022,4,4,20/04/2022,No,Meeting Attendance of the Board of Directors,4.,CHURAIRAT PANYARACHUN,N/A,4 / 4,100.00,Yes,
IFS,2022,4,4,20/04/2022,No,Meeting Attendance of the Board of Directors,5.,CHAYUT VISHCHUPRAPHA,N/A,4 / 4,100.00,Yes,
IFS,2022,4,4,20/04/2022,No,Meeting Attendance of the Board of Directors,6.,SUTEE LOSOPONKUL,N/A,3 / 3,100.00,Yes,
IFS,2022,4,4,20/04/2022,No,Meeting Attendance of the Board of Directors,7.,SINGHA NIKORNPUN,10/05/2022,1 / 1,100.00,Yes,
IFS,2022,4,4,20/04/2022,No,Meeting Attendance of Audit Committee,1.,CHURAIRAT PANYARACHUN,N/A,4 / 4,100.00,,
IFS,2022,4,4,20/04/2022,No,Meeting Attendance of Audit Committee,2.,CHAYUT VISHCHUPRAPHA,N/A,4 / 4,100.00,,
IFS,2022,4,4,20/04/2022,No,Meeting Attendance of Audit Committee,3.,SUTEE LOSOPONKUL,N/A,2 / 2,100.00,,
IFS,2022,4,4,20/04/2022,No,Meeting Attendance of Audit Committee,4.,SINGHA NIKORNPUN,10/05/2022,2 / 2,100.00,,
IFS,2022,4,4,20/04/2022,No,Meeting Attendance of Executive Committee,,No Information,,,,,
IFS,2022,4,4,20/04/2022,No,Meeting Attendance of Compensation and Nomination Committee,1.,SUTEE LOSOPONKUL,N/A,0 / 0,N/A,,
IFS,2022,4,4,20/04/2022,No,Meeting Attendance of Compensation and Nomination Committee,2.,CHURAIRAT PANYARACHUN,N/A,0 / 0,N/A,,
