Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
INET,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
INET,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
INET,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
INET,2022,11,8,28/04/2022,Yes,Meeting Attendance of the Board of Directors,1.,THAWEESAK KOANANTAKOOL,N/A,11 / 11,100.00,Yes,
INET,2022,11,8,28/04/2022,Yes,Meeting Attendance of the Board of Directors,2.,MORRAGOT KULATUMYOTIN,N/A,11 / 11,100.00,Yes,
INET,2022,11,8,28/04/2022,Yes,Meeting Attendance of the Board of Directors,3.,ACHARA CHANDRACHAI,N/A,11 / 11,100.00,Yes,
INET,2022,11,8,28/04/2022,Yes,Meeting Attendance of the Board of Directors,4.,SAHAS TREETIPBUT,N/A,11 / 11,100.00,Yes,
INET,2022,11,8,28/04/2022,Yes,Meeting Attendance of the Board of Directors,5.,NARUMOL WANGSATORNTANAKUN,N/A,10 / 11,90.91,Yes,
INET,2022,11,8,28/04/2022,Yes,Meeting Attendance of the Board of Directors,6.,NILOBON TANGPRASIT,N/A,11 / 11,100.00,Yes,
INET,2022,11,8,28/04/2022,Yes,Meeting Attendance of the Board of Directors,7.,THINNAKORN NATHONGLIE,N/A,11 / 11,100.00,Yes,
INET,2022,11,8,28/04/2022,Yes,Meeting Attendance of the Board of Directors,8.,TIPPAWAN PINVANICHKUL,N/A,11 / 11,100.00,Yes,
INET,2022,11,8,28/04/2022,Yes,Meeting Attendance of the Board of Directors,9.,MORAKOT THIENMONTREE,N/A,10 / 11,90.91,Yes,
INET,2022,11,8,28/04/2022,Yes,Meeting Attendance of the Board of Directors,10.,PLOY CHAROENSOM,N/A,7 / 9,77.78,No,
INET,2022,11,8,28/04/2022,Yes,Meeting Attendance of the Board of Directors,11.,PIPAT REUNGSANG,N/A,7 / 7,100.00,No,
INET,2022,11,8,28/04/2022,Yes,Meeting Attendance of the Board of Directors,12.,SUKIT LIMPIJUMNONG,N/A,1 / 1,100.00,No,
INET,2022,11,8,28/04/2022,Yes,Meeting Attendance of the Board of Directors,13.,NARONG SIRILERTWORAKUL,07/11/2022,8 / 9,88.89,Yes,
INET,2022,11,8,28/04/2022,Yes,Meeting Attendance of the Board of Directors,14.,CHAVALIT CHINDAVANIG,28/04/2022,3 / 3,100.00,No,
INET,2022,11,8,28/04/2022,Yes,Meeting Attendance of Audit Committee,1.,ACHARA CHANDRACHAI,N/A,8 / 8,100.00,,
INET,2022,11,8,28/04/2022,Yes,Meeting Attendance of Audit Committee,2.,NARUMOL WANGSATORNTANAKUN,N/A,8 / 8,100.00,,
INET,2022,11,8,28/04/2022,Yes,Meeting Attendance of Audit Committee,3.,NILOBON TANGPRASIT,N/A,8 / 8,100.00,,
INET,2022,11,8,28/04/2022,Yes,Meeting Attendance of Audit Committee,4.,TIPPAWAN PINVANICHKUL,N/A,6 / 6,100.00,,
INET,2022,11,8,28/04/2022,Yes,Meeting Attendance of Audit Committee,5.,CHAVALIT CHINDAVANIG,28/04/2022,2 / 2,100.00,,
INET,2022,11,8,28/04/2022,Yes,Meeting Attendance of Executive Committee,1.,MORRAGOT KULATUMYOTIN,N/A,N/A,N/A,,
INET,2022,11,8,28/04/2022,Yes,Meeting Attendance of Executive Committee,2.,SAHAS TREETIPBUT,N/A,N/A,N/A,,
INET,2022,11,8,28/04/2022,Yes,Meeting Attendance of Executive Committee,3.,Wanchai Vach-shewadumrong,N/A,N/A,N/A,,
INET,2022,11,8,28/04/2022,Yes,Meeting Attendance of Executive Committee,4.,THAWEESAK KOANANTAKOOL,28/04/2022,N/A,N/A,,
INET,2022,11,8,28/04/2022,Yes,"Meeting Attendance of Nomination, Remuneration and Corporate Governance Committee Member",1.,SAHAS TREETIPBUT,N/A,0 / 0,N/A,,
INET,2022,11,8,28/04/2022,Yes,"Meeting Attendance of Nomination, Remuneration and Corporate Governance Committee Member",2.,NILOBON TANGPRASIT,N/A,0 / 0,N/A,,
INET,2022,11,8,28/04/2022,Yes,"Meeting Attendance of Nomination, Remuneration and Corporate Governance Committee Member",3.,TIPPAWAN PINVANICHKUL,N/A,0 / 0,N/A,,
INET,2022,11,8,28/04/2022,Yes,Meeting Attendance of The Risk Management Committee,1.,NARUMOL WANGSATORNTANAKUN,N/A,0 / 0,N/A,,
INET,2022,11,8,28/04/2022,Yes,Meeting Attendance of The Risk Management Committee,2.,MORRAGOT KULATUMYOTIN,N/A,0 / 0,N/A,,
INET,2022,11,8,28/04/2022,Yes,Meeting Attendance of The Risk Management Committee,3.,PLOY CHAROENSOM,N/A,0 / 0,N/A,,
INET,2022,11,8,28/04/2022,Yes,Meeting Attendance of The CEO Performance Review Committee,1.,SAHAS TREETIPBUT,N/A,0 / 0,N/A,,
INET,2022,11,8,28/04/2022,Yes,Meeting Attendance of The CEO Performance Review Committee,2.,MORAKOT THIENMONTREE,N/A,0 / 0,N/A,,
INET,2022,11,8,28/04/2022,Yes,Meeting Attendance of The CEO Performance Review Committee,3.,SUKIT LIMPIJUMNONG,N/A,0 / 0,N/A,,
INET,2023,11,8,24/04/2023,Yes,Meeting Attendance of the Board of Directors,1.,THAWEESAK KOANANTAKOOL,N/A,11 / 11,100.00,Yes,
INET,2023,11,8,24/04/2023,Yes,Meeting Attendance of the Board of Directors,2.,ACHARA CHANDRACHAI,N/A,11 / 11,100.00,Yes,
INET,2023,11,8,24/04/2023,Yes,Meeting Attendance of the Board of Directors,3.,NARUMOL WANGSATORNTANAKUN,N/A,10 / 11,90.91,Yes,
INET,2023,11,8,24/04/2023,Yes,Meeting Attendance of the Board of Directors,4.,NILOBON TANGPRASIT,N/A,11 / 11,100.00,Yes,
INET,2023,11,8,24/04/2023,Yes,Meeting Attendance of the Board of Directors,5.,TIPPAWAN PINVANICHKUL,N/A,11 / 11,100.00,No,
INET,2023,11,8,24/04/2023,Yes,Meeting Attendance of the Board of Directors,6.,PLOY CHAROENSOM,N/A,7 / 11,63.64,Yes,
INET,2023,11,8,24/04/2023,Yes,Meeting Attendance of the Board of Directors,7.,SAHAS TREETIPBUT,N/A,11 / 11,100.00,Yes,
INET,2023,11,8,24/04/2023,Yes,Meeting Attendance of the Board of Directors,8.,Sopon Mekthon,N/A,0 / 0,N/A,No,
INET,2023,11,8,24/04/2023,Yes,Meeting Attendance of the Board of Directors,9.,MORAKOT THIENMONTREE,N/A,10 / 11,90.91,Yes,
INET,2023,11,8,24/04/2023,Yes,Meeting Attendance of the Board of Directors,10.,SUKIT LIMPIJUMNONG,N/A,11 / 11,100.00,No,
INET,2023,11,8,24/04/2023,Yes,Meeting Attendance of the Board of Directors,11.,THINNAKORN NATHONGLIE,N/A,10 / 11,90.91,Yes,
INET,2023,11,8,24/04/2023,Yes,Meeting Attendance of the Board of Directors,12.,MORRAGOT KULATUMYOTIN,N/A,11 / 11,100.00,Yes,
INET,2023,11,8,24/04/2023,Yes,Meeting Attendance of the Board of Directors,13.,PIPAT REUNGSANG,12/01/2024,11 / 11,100.00,Yes,
INET,2023,11,8,24/04/2023,Yes,Meeting Attendance of Audit Committee,1.,ACHARA CHANDRACHAI,N/A,8 / 8,100.00,,
INET,2023,11,8,24/04/2023,Yes,Meeting Attendance of Audit Committee,2.,NARUMOL WANGSATORNTANAKUN,N/A,8 / 8,100.00,,
INET,2023,11,8,24/04/2023,Yes,Meeting Attendance of Audit Committee,3.,NILOBON TANGPRASIT,N/A,8 / 8,100.00,,
INET,2023,11,8,24/04/2023,Yes,Meeting Attendance of Audit Committee,4.,TIPPAWAN PINVANICHKUL,N/A,8 / 8,100.00,,
INET,2023,11,8,24/04/2023,Yes,Meeting Attendance of Executive Committee,1.,MORRAGOT KULATUMYOTIN,N/A,N/A,N/A,,
INET,2023,11,8,24/04/2023,Yes,Meeting Attendance of Executive Committee,2.,SAHAS TREETIPBUT,N/A,N/A,N/A,,
INET,2023,11,8,24/04/2023,Yes,Meeting Attendance of Executive Committee,3.,Wanchai Vach-shewadumrong,N/A,N/A,N/A,,
INET,2023,11,8,24/04/2023,Yes,"Meeting Attendance of Nomination, Remuneration and Corporate Governance Committee Member",1.,SAHAS TREETIPBUT,N/A,0 / 0,N/A,,
