Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
INOX,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
INOX,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
INOX,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
INOX,2022,7,4,28/04/2022,No,Meeting Attendance of the Board of Directors,1.,MAN JAE LEE,N/A,7 / 7,100.00,Yes,
INOX,2022,7,4,28/04/2022,No,Meeting Attendance of the Board of Directors,2.,YOUNG CHUL KWON,N/A,7 / 7,100.00,Yes,
INOX,2022,7,4,28/04/2022,No,Meeting Attendance of the Board of Directors,3.,JISEOB CHOI,N/A,7 / 7,100.00,Yes,
INOX,2022,7,4,28/04/2022,No,Meeting Attendance of the Board of Directors,4.,Jae Sung Yoon,N/A,0 / 0,N/A,No,
INOX,2022,7,4,28/04/2022,No,Meeting Attendance of the Board of Directors,5.,HOYOUNG KIM,N/A,1 / 5,20.00,No,
INOX,2022,7,4,28/04/2022,No,Meeting Attendance of the Board of Directors,6.,CHALERMCHAI MAHAGITSIRI,N/A,4 / 7,57.14,Yes,
INOX,2022,7,4,28/04/2022,No,Meeting Attendance of the Board of Directors,7.,SHINYA OZONO,N/A,6 / 7,85.71,Yes,
INOX,2022,7,4,28/04/2022,No,Meeting Attendance of the Board of Directors,8.,SONGSAK LIMBANYEN,N/A,7 / 7,100.00,Yes,
INOX,2022,7,4,28/04/2022,No,Meeting Attendance of the Board of Directors,9.,NOPPADON SARAWASI,N/A,7 / 7,100.00,Yes,
INOX,2022,7,4,28/04/2022,No,Meeting Attendance of the Board of Directors,10.,SEUNGJO KIM,28/02/2022,0 / 1,0.00,No,
INOX,2022,7,4,28/04/2022,No,Meeting Attendance of the Board of Directors,11.,SANGEUN SON,22/12/2022,6 / 7,85.71,Yes,
INOX,2022,7,4,28/04/2022,No,Meeting Attendance of Audit Committee,1.,MAN JAE LEE,N/A,4 / 4,100.00,,
INOX,2022,7,4,28/04/2022,No,Meeting Attendance of Audit Committee,2.,NOPPADON SARAWASI,N/A,4 / 4,100.00,,
INOX,2022,7,4,28/04/2022,No,Meeting Attendance of Audit Committee,3.,SONGSAK LIMBANYEN,N/A,4 / 4,100.00,,
INOX,2022,7,4,28/04/2022,No,Meeting Attendance of Executive Committee,,No Information,,,,,
INOX,2023,5,4,21/04/2023,No,Meeting Attendance of the Board of Directors,1.,DO SOON KIM,N/A,2 / 2,100.00,No,
INOX,2023,5,4,21/04/2023,No,Meeting Attendance of the Board of Directors,2.,CHALERMCHAI MAHAGITSIRI,N/A,5 / 5,100.00,No,
INOX,2023,5,4,21/04/2023,No,Meeting Attendance of the Board of Directors,3.,SONGSAK LIMBANYEN,N/A,5 / 5,100.00,Yes,
INOX,2023,5,4,21/04/2023,No,Meeting Attendance of the Board of Directors,4.,SHINYA OZONO,N/A,5 / 5,100.00,Yes,
INOX,2023,5,4,21/04/2023,No,Meeting Attendance of the Board of Directors,5.,JISEOB CHOI,N/A,5 / 5,100.00,Yes,
INOX,2023,5,4,21/04/2023,No,Meeting Attendance of the Board of Directors,6.,HOYOUNG KIM,N/A,5 / 5,100.00,No,
