Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
INSET,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
INSET,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
INSET,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
INSET,2022,4,4,20/04/2022,No,Meeting Attendance of the Board of Directors,1.,KAMPANART LOHACHAROENVANICH,N/A,4 / 4,100.00,Yes,
INSET,2022,4,4,20/04/2022,No,Meeting Attendance of the Board of Directors,2.,SAKBOWORN PUKKANASUT,N/A,3 / 4,75.00,Yes,
INSET,2022,4,4,20/04/2022,No,Meeting Attendance of the Board of Directors,3.,METHA CHOTIAPISITKUL,N/A,4 / 4,100.00,Yes,
INSET,2022,4,4,20/04/2022,No,Meeting Attendance of the Board of Directors,4.,AKARAWATT AKARASUWANNACHAI,N/A,4 / 4,100.00,Yes,
INSET,2022,4,4,20/04/2022,No,Meeting Attendance of the Board of Directors,5.,LALITA HONGRATANAWONG,N/A,4 / 4,100.00,Yes,
INSET,2022,4,4,20/04/2022,No,Meeting Attendance of the Board of Directors,6.,VICHIEN JEARKJIRM,N/A,4 / 4,100.00,Yes,
INSET,2022,4,4,20/04/2022,No,Meeting Attendance of the Board of Directors,7.,SARAN SUPAKSARAN,N/A,4 / 4,100.00,Yes,
INSET,2022,4,4,20/04/2022,No,Meeting Attendance of the Board of Directors,8.,KASEM TECHAIYA,N/A,4 / 4,100.00,No,
INSET,2022,4,4,20/04/2022,No,Meeting Attendance of Audit Committee,1.,SARAN SUPAKSARAN,N/A,4 / 4,100.00,,
INSET,2022,4,4,20/04/2022,No,Meeting Attendance of Audit Committee,2.,LALITA HONGRATANAWONG,N/A,4 / 4,100.00,,
INSET,2022,4,4,20/04/2022,No,Meeting Attendance of Audit Committee,3.,KAMPANART LOHACHAROENVANICH,N/A,4 / 4,100.00,,
INSET,2022,4,4,20/04/2022,No,Meeting Attendance of Executive Committee,1.,SAKBOWORN PUKKANASUT,N/A,N/A,N/A,,
INSET,2022,4,4,20/04/2022,No,Meeting Attendance of Executive Committee,2.,METHA CHOTIAPISITKUL,N/A,N/A,N/A,,
INSET,2022,4,4,20/04/2022,No,Meeting Attendance of Executive Committee,3.,AKARAWATT AKARASUWANNACHAI,N/A,N/A,N/A,,
INSET,2022,4,4,20/04/2022,No,Meeting Attendance of Executive Committee,4.,Warangkana Techaiya,N/A,N/A,N/A,,
INSET,2022,4,4,20/04/2022,No,Meeting Attendance of Executive Committee,5.,Surawee Paisanpayak,15/03/2022,N/A,N/A,,
INSET,2022,4,4,20/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,1.,LALITA HONGRATANAWONG,N/A,0 / 0,N/A,,
INSET,2022,4,4,20/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,2.,SAKBOWORN PUKKANASUT,N/A,0 / 0,N/A,,
INSET,2022,4,4,20/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,3.,SARAN SUPAKSARAN,N/A,0 / 0,N/A,,
INSET,2023,6,4,05/04/2023,No,Meeting Attendance of the Board of Directors,1.,KAMPANART LOHACHAROENVANICH,N/A,6 / 6,100.00,Yes,
INSET,2023,6,4,05/04/2023,No,Meeting Attendance of the Board of Directors,2.,SAKBOWORN PUKKANASUT,N/A,6 / 6,100.00,Yes,
INSET,2023,6,4,05/04/2023,No,Meeting Attendance of the Board of Directors,3.,METHA CHOTIAPISITKUL,N/A,6 / 6,100.00,Yes,
INSET,2023,6,4,05/04/2023,No,Meeting Attendance of the Board of Directors,4.,AKARAWATT AKARASUWANNACHAI,N/A,6 / 6,100.00,Yes,
INSET,2023,6,4,05/04/2023,No,Meeting Attendance of the Board of Directors,5.,VICHIEN JEARKJIRM,N/A,6 / 6,100.00,Yes,
INSET,2023,6,4,05/04/2023,No,Meeting Attendance of the Board of Directors,6.,SARAN SUPAKSARAN,N/A,6 / 6,100.00,Yes,
INSET,2023,6,4,05/04/2023,No,Meeting Attendance of the Board of Directors,7.,LALITA HONGRATANAWONG,N/A,6 / 6,100.00,Yes,
INSET,2023,6,4,05/04/2023,No,Meeting Attendance of the Board of Directors,8.,KASEM TECHAIYA,N/A,6 / 6,100.00,Yes,
INSET,2023,6,4,05/04/2023,No,Meeting Attendance of Audit Committee,1.,SARAN SUPAKSARAN,N/A,4 / 4,100.00,,
INSET,2023,6,4,05/04/2023,No,Meeting Attendance of Audit Committee,2.,KAMPANART LOHACHAROENVANICH,N/A,4 / 4,100.00,,
INSET,2023,6,4,05/04/2023,No,Meeting Attendance of Audit Committee,3.,LALITA HONGRATANAWONG,N/A,4 / 4,100.00,,
INSET,2023,6,4,05/04/2023,No,Meeting Attendance of Executive Committee,1.,SAKBOWORN PUKKANASUT,N/A,N/A,N/A,,
INSET,2023,6,4,05/04/2023,No,Meeting Attendance of Executive Committee,2.,METHA CHOTIAPISITKUL,N/A,N/A,N/A,,
INSET,2023,6,4,05/04/2023,No,Meeting Attendance of Executive Committee,3.,AKARAWATT AKARASUWANNACHAI,N/A,N/A,N/A,,
INSET,2023,6,4,05/04/2023,No,Meeting Attendance of Executive Committee,4.,Warangkana Techaiya,N/A,N/A,N/A,,
INSET,2023,6,4,05/04/2023,No,Meeting Attendance of Nomination and Remuneration Committee,1.,LALITA HONGRATANAWONG,N/A,0 / 0,N/A,,
INSET,2023,6,4,05/04/2023,No,Meeting Attendance of Nomination and Remuneration Committee,2.,SAKBOWORN PUKKANASUT,N/A,0 / 0,N/A,,
INSET,2023,6,4,05/04/2023,No,Meeting Attendance of Nomination and Remuneration Committee,3.,SARAN SUPAKSARAN,N/A,0 / 0,N/A,,
INSET,2023,6,4,05/04/2023,No,Meeting Attendance of Sustainability Committee,1.,KAMPANART LOHACHAROENVANICH,N/A,0 / 0,N/A,,
INSET,2023,6,4,05/04/2023,No,Meeting Attendance of Sustainability Committee,2.,LALITA HONGRATANAWONG,N/A,0 / 0,N/A,,
INSET,2023,6,4,05/04/2023,No,Meeting Attendance of Sustainability Committee,3.,SAKBOWORN PUKKANASUT,N/A,0 / 0,N/A,,
INSET,2024,6,4,22/04/2024,Yes,Meeting Attendance of the Board of Directors,1.,KAMPANART LOHACHAROENVANICH,N/A,6 / 6,100.00,1 / 1,1 / 1
INSET,2024,6,4,22/04/2024,Yes,Meeting Attendance of the Board of Directors,2.,SAKBOWORN PUKKANASUT,N/A,6 / 6,100.00,1 / 1,1 / 1
INSET,2024,6,4,22/04/2024,Yes,Meeting Attendance of the Board of Directors,3.,METHA CHOTIAPISITKUL,N/A,6 / 6,100.00,1 / 1,1 / 1
INSET,2024,6,4,22/04/2024,Yes,Meeting Attendance of the Board of Directors,4.,AKARAWATT AKARASUWANNACHAI,N/A,6 / 6,100.00,1 / 1,0 / 1
INSET,2024,6,4,22/04/2024,Yes,Meeting Attendance of the Board of Directors,5.,VICHIEN JEARKJIRM,N/A,6 / 6,100.00,1 / 1,1 / 1
