Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
IP,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
IP,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
IP,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
IP,2022,10,4,25/04/2022,Yes,Meeting Attendance of the Board of Directors,1.,UDOM KACHINTORN,N/A,10 / 10,100.00,Yes,
IP,2022,10,4,25/04/2022,Yes,Meeting Attendance of the Board of Directors,2.,TRINNAWAT THANITNITHIPHAN,N/A,10 / 10,100.00,Yes,
IP,2022,10,4,25/04/2022,Yes,Meeting Attendance of the Board of Directors,3.,NAPAPORN DECHAKARAT,N/A,10 / 10,100.00,Yes,
IP,2022,10,4,25/04/2022,Yes,Meeting Attendance of the Board of Directors,4.,SANSANEE CHAIYAROJ,N/A,10 / 10,100.00,Yes,
IP,2022,10,4,25/04/2022,Yes,Meeting Attendance of the Board of Directors,5.,KAMTORN SILA-ON,N/A,10 / 10,100.00,Yes,
IP,2022,10,4,25/04/2022,Yes,Meeting Attendance of the Board of Directors,6.,PAO SRIPRASERTSUK,N/A,10 / 10,100.00,Yes,
IP,2022,10,4,25/04/2022,Yes,Meeting Attendance of the Board of Directors,7.,NATTARIN POLPUECH,N/A,5 / 5,100.00,Yes,
IP,2022,10,4,25/04/2022,Yes,Meeting Attendance of the Board of Directors,8.,APIMON POSRI,N/A,5 / 5,100.00,No,
IP,2022,10,4,25/04/2022,Yes,Meeting Attendance of the Board of Directors,9.,NAT ATIVITAVAS,N/A,4 / 4,100.00,No,
IP,2022,10,4,25/04/2022,Yes,Meeting Attendance of the Board of Directors,10.,Yuttana Suwannachot,N/A,0 / 0,N/A,No,
