Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
JMT,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
JMT,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
JMT,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
JMT,2022,7,4,08/04/2022,Yes,Meeting Attendance of the Board of Directors,1.,ADISAK SUKUMVITAYA,N/A,7 / 7,100.00,Yes,
JMT,2022,7,4,08/04/2022,Yes,Meeting Attendance of the Board of Directors,2.,YUVADEE PONG-ACHA,N/A,7 / 7,100.00,Yes,
JMT,2022,7,4,08/04/2022,Yes,Meeting Attendance of the Board of Directors,3.,PIYA PONG-ACHA,N/A,7 / 7,100.00,Yes,
JMT,2022,7,4,08/04/2022,Yes,Meeting Attendance of the Board of Directors,4.,KANCHIT KAWACHAT,N/A,7 / 7,100.00,Yes,
JMT,2022,7,4,08/04/2022,Yes,Meeting Attendance of the Board of Directors,5.,RERNGCHAI INKAPAKORN,N/A,7 / 7,100.00,Yes,
JMT,2022,7,4,08/04/2022,Yes,Meeting Attendance of the Board of Directors,6.,SOMSAK ATISAITRAKUL,N/A,7 / 7,100.00,Yes,
JMT,2022,7,4,08/04/2022,Yes,Meeting Attendance of the Board of Directors,7.,SUTTHIRAK TRAICHIRA-APORN,N/A,7 / 7,100.00,Yes,
JMT,2022,7,4,08/04/2022,Yes,Meeting Attendance of Audit Committee,1.,RERNGCHAI INKAPAKORN,N/A,4 / 4,100.00,,
JMT,2022,7,4,08/04/2022,Yes,Meeting Attendance of Audit Committee,2.,KANCHIT KAWACHAT,N/A,4 / 4,100.00,,
JMT,2022,7,4,08/04/2022,Yes,Meeting Attendance of Audit Committee,3.,SOMSAK ATISAITRAKUL,N/A,4 / 4,100.00,,
JMT,2022,7,4,08/04/2022,Yes,Meeting Attendance of Executive Committee,1.,YUVADEE PONG-ACHA,N/A,N/A,N/A,,
JMT,2022,7,4,08/04/2022,Yes,Meeting Attendance of Executive Committee,2.,PIYA PONG-ACHA,N/A,N/A,N/A,,
JMT,2022,7,4,08/04/2022,Yes,Meeting Attendance of Executive Committee,3.,SUTTHIRAK TRAICHIRA-APORN,N/A,N/A,N/A,,
JMT,2022,7,4,08/04/2022,Yes,Meeting Attendance of Nomination Committee,1.,YUVADEE PONG-ACHA,N/A,0 / 0,N/A,,
JMT,2022,7,4,08/04/2022,Yes,Meeting Attendance of Nomination Committee,2.,PIYA PONG-ACHA,N/A,0 / 0,N/A,,
JMT,2022,7,4,08/04/2022,Yes,Meeting Attendance of Nomination Committee,3.,SOMSAK ATISAITRAKUL,N/A,0 / 0,N/A,,
