Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
JUBILE,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
JUBILE,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
JUBILE,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
JUBILE,2022,4,4,22/04/2022,No,Meeting Attendance of the Board of Directors,1.,MANU LEOPAIROTE,N/A,4 / 4,100.00,Yes,
JUBILE,2022,4,4,22/04/2022,No,Meeting Attendance of the Board of Directors,2.,VIROJ PHONPRAKIT,N/A,4 / 4,100.00,Yes,
JUBILE,2022,4,4,22/04/2022,No,Meeting Attendance of the Board of Directors,3.,AMNUAY NAKRUCHATA-AMORN,N/A,4 / 4,100.00,Yes,
JUBILE,2022,4,4,22/04/2022,No,Meeting Attendance of the Board of Directors,4.,PIROTE MALEEHORM,N/A,4 / 4,100.00,Yes,
JUBILE,2022,4,4,22/04/2022,No,Meeting Attendance of the Board of Directors,5.,ZONWA DENMEKA,N/A,4 / 4,100.00,Yes,
JUBILE,2022,4,4,22/04/2022,No,Meeting Attendance of the Board of Directors,6.,SAHASROJ ROJMETHA,N/A,3 / 4,75.00,Yes,
JUBILE,2022,4,4,22/04/2022,No,Meeting Attendance of the Board of Directors,7.,SUVATANA TULAYAPISITCHAI,N/A,4 / 4,100.00,Yes,
JUBILE,2022,4,4,22/04/2022,No,Meeting Attendance of the Board of Directors,8.,UNYARAT PORNPRAKIT,N/A,4 / 4,100.00,Yes,
JUBILE,2022,4,4,22/04/2022,No,Meeting Attendance of the Board of Directors,9.,PAKORN PARTANAPAT,N/A,4 / 4,100.00,Yes,
JUBILE,2022,4,4,22/04/2022,No,Meeting Attendance of Audit Committee,1.,AMNUAY NAKRUCHATA-AMORN,N/A,4 / 4,100.00,,
JUBILE,2022,4,4,22/04/2022,No,Meeting Attendance of Audit Committee,2.,PIROTE MALEEHORM,N/A,4 / 4,100.00,,
JUBILE,2022,4,4,22/04/2022,No,Meeting Attendance of Audit Committee,3.,ZONWA DENMEKA,N/A,4 / 4,100.00,,
JUBILE,2022,4,4,22/04/2022,No,Meeting Attendance of Executive Committee,1.,VIROJ PHONPRAKIT,N/A,N/A,N/A,,
JUBILE,2022,4,4,22/04/2022,No,Meeting Attendance of Executive Committee,2.,SUVATANA TULAYAPISITCHAI,N/A,N/A,N/A,,
JUBILE,2022,4,4,22/04/2022,No,Meeting Attendance of Executive Committee,3.,UNYARAT PORNPRAKIT,N/A,N/A,N/A,,
JUBILE,2023,4,4,21/04/2023,No,Meeting Attendance of the Board of Directors,1.,MANU LEOPAIROTE,N/A,4 / 4,100.00,Yes,
JUBILE,2023,4,4,21/04/2023,No,Meeting Attendance of the Board of Directors,2.,VIROJ PHONPRAKIT,N/A,4 / 4,100.00,Yes,
JUBILE,2023,4,4,21/04/2023,No,Meeting Attendance of the Board of Directors,3.,AMNUAY NAKRUCHATA-AMORN,N/A,4 / 4,100.00,Yes,
JUBILE,2023,4,4,21/04/2023,No,Meeting Attendance of the Board of Directors,4.,PIROTE MALEEHORM,N/A,4 / 4,100.00,Yes,
JUBILE,2023,4,4,21/04/2023,No,Meeting Attendance of the Board of Directors,5.,ZONWA DENMEKA,N/A,4 / 4,100.00,Yes,
JUBILE,2023,4,4,21/04/2023,No,Meeting Attendance of the Board of Directors,6.,SAHASROJ ROJMETHA,N/A,4 / 4,100.00,Yes,
JUBILE,2023,4,4,21/04/2023,No,Meeting Attendance of the Board of Directors,7.,SUVATANA TULAYAPISITCHAI,N/A,4 / 4,100.00,Yes,
JUBILE,2023,4,4,21/04/2023,No,Meeting Attendance of the Board of Directors,8.,UNYARAT PORNPRAKIT,N/A,4 / 4,100.00,Yes,
JUBILE,2023,4,4,21/04/2023,No,Meeting Attendance of the Board of Directors,9.,PAKORN PARTANAPAT,N/A,4 / 4,100.00,Yes,
JUBILE,2023,4,4,21/04/2023,No,Meeting Attendance of Audit Committee,1.,AMNUAY NAKRUCHATA-AMORN,N/A,4 / 4,100.00,,
JUBILE,2023,4,4,21/04/2023,No,Meeting Attendance of Audit Committee,2.,PIROTE MALEEHORM,N/A,4 / 4,100.00,,
JUBILE,2023,4,4,21/04/2023,No,Meeting Attendance of Audit Committee,3.,ZONWA DENMEKA,N/A,4 / 4,100.00,,
JUBILE,2023,4,4,21/04/2023,No,Meeting Attendance of Executive Committee,1.,VIROJ PHONPRAKIT,N/A,N/A,N/A,,
JUBILE,2023,4,4,21/04/2023,No,Meeting Attendance of Executive Committee,2.,SUVATANA TULAYAPISITCHAI,N/A,N/A,N/A,,
JUBILE,2023,4,4,21/04/2023,No,Meeting Attendance of Executive Committee,3.,UNYARAT PORNPRAKIT,N/A,N/A,N/A,,
JUBILE,2024,4,4,23/04/2024,No,Meeting Attendance of the Board of Directors,1.,MANU LEOPAIROTE,N/A,4 / 4,100.00,1 / 1,
JUBILE,2024,4,4,23/04/2024,No,Meeting Attendance of the Board of Directors,2.,VIROJ PHONPRAKIT,N/A,4 / 4,100.00,1 / 1,
JUBILE,2024,4,4,23/04/2024,No,Meeting Attendance of the Board of Directors,3.,AMNUAY NAKRUCHATA-AMORN,N/A,4 / 4,100.00,1 / 1,
JUBILE,2024,4,4,23/04/2024,No,Meeting Attendance of the Board of Directors,4.,ZONWA DENMEKA,N/A,4 / 4,100.00,1 / 1,
JUBILE,2024,4,4,23/04/2024,No,Meeting Attendance of the Board of Directors,5.,SUVATANA TULAYAPISITCHAI,N/A,4 / 4,100.00,1 / 1,
JUBILE,2024,4,4,23/04/2024,No,Meeting Attendance of the Board of Directors,6.,UNYARAT PORNPRAKIT,N/A,4 / 4,100.00,1 / 1,
JUBILE,2024,4,4,23/04/2024,No,Meeting Attendance of the Board of Directors,7.,PAKORN PARTANAPAT,N/A,4 / 4,100.00,1 / 1,
JUBILE,2024,4,4,23/04/2024,No,Meeting Attendance of the Board of Directors,8.,PIROTE MALEEHORM,15/07/2024,2 / 4,50.00,1 / 1,
JUBILE,2024,4,4,23/04/2024,No,Meeting Attendance of the Board of Directors,9.,SAHASROJ ROJMETHA,15/07/2024,2 / 4,50.00,1 / 1,
JUBILE,2024,4,4,23/04/2024,No,Meeting Attendance of Audit Committee,1.,AMNUAY NAKRUCHATA-AMORN,N/A,4 / 4,100.00,,
