Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
KBS,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
KBS,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
KBS,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
KBS,2022,4,4,25/04/2022,No,Meeting Attendance of the Board of Directors,1.,TAKON TAWINTERMSUP,N/A,4 / 4,100.00,Yes,
KBS,2022,4,4,25/04/2022,No,Meeting Attendance of the Board of Directors,2.,SOMKIAT TWILTERMSUP,N/A,4 / 4,100.00,Yes,
KBS,2022,4,4,25/04/2022,No,Meeting Attendance of the Board of Directors,3.,ISSARA TWILTERMSUP,N/A,4 / 4,100.00,Yes,
KBS,2022,4,4,25/04/2022,No,Meeting Attendance of the Board of Directors,4.,SUTHEP WONGVORAZATHE,N/A,4 / 4,100.00,Yes,
KBS,2022,4,4,25/04/2022,No,Meeting Attendance of the Board of Directors,5.,AMNART RUMPOEYPONG,N/A,4 / 4,100.00,Yes,
KBS,2022,4,4,25/04/2022,No,Meeting Attendance of the Board of Directors,6.,SRAN SMUTKOCHORN,N/A,4 / 4,100.00,Yes,
KBS,2022,4,4,25/04/2022,No,Meeting Attendance of the Board of Directors,7.,SUVIMOL CHRITYAKIERNE,N/A,4 / 4,100.00,Yes,
KBS,2022,4,4,25/04/2022,No,Meeting Attendance of the Board of Directors,8.,SUKDA PUNKLA,N/A,4 / 4,100.00,Yes,
KBS,2022,4,4,25/04/2022,No,Meeting Attendance of the Board of Directors,9.,VINIT SAMRITPRICHA,N/A,4 / 4,100.00,Yes,
KBS,2022,4,4,25/04/2022,No,Meeting Attendance of Audit Committee,1.,SUVIMOL CHRITYAKIERNE,N/A,4 / 4,100.00,,
KBS,2022,4,4,25/04/2022,No,Meeting Attendance of Audit Committee,2.,SUKDA PUNKLA,N/A,4 / 4,100.00,,
KBS,2022,4,4,25/04/2022,No,Meeting Attendance of Audit Committee,3.,VINIT SAMRITPRICHA,N/A,4 / 4,100.00,,
KBS,2022,4,4,25/04/2022,No,Meeting Attendance of Executive Committee,1.,TAKON TAWINTERMSUP,N/A,N/A,N/A,,
KBS,2022,4,4,25/04/2022,No,Meeting Attendance of Executive Committee,2.,SOMKIAT TWILTERMSUP,N/A,N/A,N/A,,
KBS,2022,4,4,25/04/2022,No,Meeting Attendance of Executive Committee,3.,ISSARA TWILTERMSUP,N/A,N/A,N/A,,
KBS,2022,4,4,25/04/2022,No,Meeting Attendance of Risk Management Committee,1.,SRAN SMUTKOCHORN,N/A,0 / 0,N/A,,
KBS,2022,4,4,25/04/2022,No,Meeting Attendance of Risk Management Committee,2.,TAKON TAWINTERMSUP,N/A,0 / 0,N/A,,
KBS,2022,4,4,25/04/2022,No,Meeting Attendance of Risk Management Committee,3.,SOMKIAT TWILTERMSUP,N/A,0 / 0,N/A,,
KBS,2022,4,4,25/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,1.,VINIT SAMRITPRICHA,N/A,0 / 0,N/A,,
KBS,2022,4,4,25/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,2.,SRAN SMUTKOCHORN,N/A,0 / 0,N/A,,
KBS,2022,4,4,25/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,3.,SOMKIAT TWILTERMSUP,N/A,0 / 0,N/A,,
KBS,2022,4,4,25/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,4.,ISSARA TWILTERMSUP,N/A,0 / 0,N/A,,
KBS,2023,4,4,24/04/2023,No,Meeting Attendance of the Board of Directors,1.,TAKON TAWINTERMSUP,N/A,4 / 4,100.00,Yes,
KBS,2023,4,4,24/04/2023,No,Meeting Attendance of the Board of Directors,2.,SOMKIAT TWILTERMSUP,N/A,4 / 4,100.00,Yes,
KBS,2023,4,4,24/04/2023,No,Meeting Attendance of the Board of Directors,3.,ISSARA TWILTERMSUP,N/A,4 / 4,100.00,Yes,
KBS,2023,4,4,24/04/2023,No,Meeting Attendance of the Board of Directors,4.,SUTHEP WONGVORAZATHE,N/A,4 / 4,100.00,Yes,
KBS,2023,4,4,24/04/2023,No,Meeting Attendance of the Board of Directors,5.,AMNART RUMPOEYPONG,N/A,3 / 4,75.00,Yes,
KBS,2023,4,4,24/04/2023,No,Meeting Attendance of the Board of Directors,6.,SRAN SMUTKOCHORN,N/A,4 / 4,100.00,Yes,
KBS,2023,4,4,24/04/2023,No,Meeting Attendance of the Board of Directors,7.,SUVIMOL CHRITYAKIERNE,N/A,4 / 4,100.00,Yes,
KBS,2023,4,4,24/04/2023,No,Meeting Attendance of the Board of Directors,8.,SUKDA PUNKLA,N/A,4 / 4,100.00,Yes,
KBS,2023,4,4,24/04/2023,No,Meeting Attendance of the Board of Directors,9.,VINIT SAMRITPRICHA,N/A,4 / 4,100.00,Yes,
KBS,2023,4,4,24/04/2023,No,Meeting Attendance of Audit Committee,1.,SUVIMOL CHRITYAKIERNE,N/A,4 / 4,100.00,,
KBS,2023,4,4,24/04/2023,No,Meeting Attendance of Audit Committee,2.,SUKDA PUNKLA,N/A,4 / 4,100.00,,
KBS,2023,4,4,24/04/2023,No,Meeting Attendance of Audit Committee,3.,VINIT SAMRITPRICHA,N/A,4 / 4,100.00,,
KBS,2023,4,4,24/04/2023,No,Meeting Attendance of Executive Committee,1.,TAKON TAWINTERMSUP,N/A,N/A,N/A,,
KBS,2023,4,4,24/04/2023,No,Meeting Attendance of Executive Committee,2.,SOMKIAT TWILTERMSUP,N/A,N/A,N/A,,
KBS,2023,4,4,24/04/2023,No,Meeting Attendance of Executive Committee,3.,ISSARA TWILTERMSUP,N/A,N/A,N/A,,
KBS,2023,4,4,24/04/2023,No,Meeting Attendance of Risk Management Committee,1.,SRAN SMUTKOCHORN,N/A,0 / 0,N/A,,
KBS,2023,4,4,24/04/2023,No,Meeting Attendance of Risk Management Committee,2.,TAKON TAWINTERMSUP,N/A,0 / 0,N/A,,
KBS,2023,4,4,24/04/2023,No,Meeting Attendance of Risk Management Committee,3.,SOMKIAT TWILTERMSUP,N/A,0 / 0,N/A,,
