Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
KC,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
KC,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
KC,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
KC,2022,20,9,05/04/2022,No,Meeting Attendance of the Board of Directors,1.,SASIPRIN CHANDRATAT,N/A,14 / 20,70.00,No,
KC,2022,20,9,05/04/2022,No,Meeting Attendance of the Board of Directors,2.,SURAPON YOONUCH,N/A,12 / 20,60.00,N/A,
KC,2022,20,9,05/04/2022,No,Meeting Attendance of the Board of Directors,3.,SANTI PIYATAT,N/A,12 / 20,60.00,Yes,
KC,2022,20,9,05/04/2022,No,Meeting Attendance of the Board of Directors,4.,MARNOP BUATHONG,N/A,12 / 20,60.00,N/A,
KC,2022,20,9,05/04/2022,No,Meeting Attendance of the Board of Directors,5.,AMORNSAK WISITWUTTIPONG,N/A,7 / 20,35.00,N/A,
KC,2022,20,9,05/04/2022,No,Meeting Attendance of the Board of Directors,6.,KITTIPHAT INTHARAKASET,N/A,N/A,N/A,N/A,
KC,2022,20,9,05/04/2022,No,Meeting Attendance of the Board of Directors,7.,KUMJORN PATTANACHEIRN,N/A,N/A,N/A,N/A,
KC,2022,20,9,05/04/2022,No,Meeting Attendance of the Board of Directors,8.,CHANOKAMON VANICHAYACHART,N/A,N/A,N/A,N/A,
KC,2022,20,9,05/04/2022,No,Meeting Attendance of the Board of Directors,9.,TIWAPORN CHANAPANAO,19/07/2022,6 / 20,30.00,Yes,
KC,2022,20,9,05/04/2022,No,Meeting Attendance of the Board of Directors,10.,RUJCHARIN TONGYAI,21/07/2022,11 / 20,55.00,N/A,
KC,2022,20,9,05/04/2022,No,Meeting Attendance of the Board of Directors,11.,ADUL LAOHAPHOL,19/07/2022,7 / 20,35.00,Yes,
KC,2022,20,9,05/04/2022,No,Meeting Attendance of the Board of Directors,12.,CHAI WATTANASUWAN,19/07/2022,N/A,N/A,N/A,
KC,2022,20,9,05/04/2022,No,Meeting Attendance of the Board of Directors,13.,KARN BHOOLKESORN,20/07/2022,7 / 20,35.00,Yes,
KC,2022,20,9,05/04/2022,No,Meeting Attendance of the Board of Directors,14.,JUMPOT SAISUNTHORN,17/06/2022,6 / 20,30.00,Yes,
KC,2022,20,9,05/04/2022,No,Meeting Attendance of the Board of Directors,15.,VICHADA NITIPAKDI,08/08/2022,7 / 20,35.00,Yes,
KC,2022,20,9,05/04/2022,No,Meeting Attendance of the Board of Directors,16.,NAN KAWEEVISALTRAKUL,17/06/2022,6 / 20,30.00,Yes,
KC,2022,20,9,05/04/2022,No,Meeting Attendance of the Board of Directors,17.,PORNPAT RODPHOTONG BOONTANOM,08/08/2022,8 / 20,40.00,Yes,
KC,2022,20,9,05/04/2022,No,Meeting Attendance of the Board of Directors,18.,POOM MOOLSILPA,22/12/2022,10 / 20,50.00,N/A,
KC,2022,20,9,05/04/2022,No,Meeting Attendance of the Board of Directors,19.,UNCHAREE VIMOLSILP,21/12/2022,10 / 20,50.00,N/A,
