Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
KJL,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
KJL,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
KJL,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
KJL,2022,12,6,08/04/2022,Yes,Meeting Attendance of the Board of Directors,1.,KANTHEERA SUCHIWARODOM,N/A,12 / 12,100.00,Yes,
KJL,2022,12,6,08/04/2022,Yes,Meeting Attendance of the Board of Directors,2.,KORNKAMON SUJIWARODOM,N/A,12 / 12,100.00,Yes,
KJL,2022,12,6,08/04/2022,Yes,Meeting Attendance of the Board of Directors,3.,KOEDCHAI SUJIWARODOM,N/A,12 / 12,100.00,Yes,
KJL,2022,12,6,08/04/2022,Yes,Meeting Attendance of the Board of Directors,4.,WILERT PURIWAT,N/A,10 / 12,83.33,No,
KJL,2022,12,6,08/04/2022,Yes,Meeting Attendance of the Board of Directors,5.,PICHAI DUSDEEKULCHAI,N/A,10 / 12,83.33,No,
KJL,2022,12,6,08/04/2022,Yes,Meeting Attendance of the Board of Directors,6.,VARUT TAYMEYA,N/A,10 / 12,83.33,No,
KJL,2022,12,6,08/04/2022,Yes,Meeting Attendance of the Board of Directors,7.,KAROON SUJIWARODOM,08/04/2022,N/A,N/A,N/A,
KJL,2022,12,6,08/04/2022,Yes,Meeting Attendance of the Board of Directors,8.,KANYA SUJIWARODOM,08/04/2022,N/A,N/A,N/A,
KJL,2022,12,6,08/04/2022,Yes,Meeting Attendance of the Board of Directors,9.,KASEMSAN SUJIWARODOM,08/04/2022,N/A,N/A,N/A,
KJL,2022,12,6,08/04/2022,Yes,Meeting Attendance of Audit Committee,1.,PICHAI DUSDEEKULCHAI,N/A,6 / 6,100.00,,
KJL,2022,12,6,08/04/2022,Yes,Meeting Attendance of Audit Committee,2.,WILERT PURIWAT,N/A,6 / 6,100.00,,
KJL,2022,12,6,08/04/2022,Yes,Meeting Attendance of Audit Committee,3.,VARUT TAYMEYA,N/A,6 / 6,100.00,,
KJL,2022,12,6,08/04/2022,Yes,Meeting Attendance of Executive Committee,1.,KAROON SUJIWARODOM,N/A,N/A,N/A,,
KJL,2022,12,6,08/04/2022,Yes,Meeting Attendance of Executive Committee,2.,KANYA SUJIWARODOM,N/A,N/A,N/A,,
KJL,2022,12,6,08/04/2022,Yes,Meeting Attendance of Executive Committee,3.,KASEMSAN SUJIWARODOM,N/A,N/A,N/A,,
