Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
KUMWEL,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
KUMWEL,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
KUMWEL,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
KUMWEL,2022,9,4,27/04/2022,No,Meeting Attendance of the Board of Directors,1.,DAMNOEN KAEWTHAWEE,N/A,9 / 9,100.00,Yes,
KUMWEL,2022,9,4,27/04/2022,No,Meeting Attendance of the Board of Directors,2.,CHAWEEWAN KIATJAROONLERT,N/A,8 / 9,88.89,Yes,
KUMWEL,2022,9,4,27/04/2022,No,Meeting Attendance of the Board of Directors,3.,BOONSAK KIATJAROONLERT,N/A,9 / 9,100.00,Yes,
KUMWEL,2022,9,4,27/04/2022,No,Meeting Attendance of the Board of Directors,4.,PREECHA PANASUWANNARAT,N/A,9 / 9,100.00,Yes,
KUMWEL,2022,9,4,27/04/2022,No,Meeting Attendance of the Board of Directors,5.,PICHIT LUMYONG,N/A,8 / 9,88.89,Yes,
KUMWEL,2022,9,4,27/04/2022,No,Meeting Attendance of the Board of Directors,6.,WINAI PLUEKSAWAN,N/A,9 / 9,100.00,Yes,
KUMWEL,2022,9,4,27/04/2022,No,Meeting Attendance of the Board of Directors,7.,SARAVUT BUSAYARAT,N/A,9 / 9,100.00,Yes,
KUMWEL,2022,9,4,27/04/2022,No,Meeting Attendance of the Board of Directors,8.,WERACHET KHANNGERN,N/A,8 / 8,100.00,Yes,
KUMWEL,2022,9,4,27/04/2022,No,Meeting Attendance of the Board of Directors,9.,SURAWUT KANCHITVINIJKUL,N/A,4 / 4,100.00,N/A,
KUMWEL,2022,9,4,27/04/2022,No,Meeting Attendance of the Board of Directors,10.,ANNOP ROMA,26/01/2022,1 / 1,100.00,N/A,
KUMWEL,2022,9,4,27/04/2022,No,Meeting Attendance of the Board of Directors,11.,KIATTICHAI SONG-IN,01/07/2022,5 / 5,100.00,N/A,
KUMWEL,2022,9,4,27/04/2022,No,Meeting Attendance of Audit Committee,1.,SARAVUT BUSAYARAT,N/A,4 / 4,100.00,,
KUMWEL,2022,9,4,27/04/2022,No,Meeting Attendance of Audit Committee,2.,PICHIT LUMYONG,N/A,4 / 4,100.00,,
KUMWEL,2022,9,4,27/04/2022,No,Meeting Attendance of Audit Committee,3.,WINAI PLUEKSAWAN,N/A,4 / 4,100.00,,
KUMWEL,2022,9,4,27/04/2022,No,Meeting Attendance of Executive Committee,1.,BOONSAK KIATJAROONLERT,N/A,N/A,N/A,,
KUMWEL,2022,9,4,27/04/2022,No,Meeting Attendance of Executive Committee,2.,WERACHET KHANNGERN,N/A,N/A,N/A,,
KUMWEL,2022,9,4,27/04/2022,No,Meeting Attendance of Executive Committee,3.,SURAWUT KANCHITVINIJKUL,N/A,N/A,N/A,,
KUMWEL,2022,9,4,27/04/2022,No,Meeting Attendance of Executive Committee,4.,PREECHA PANASUWANNARAT,N/A,N/A,N/A,,
KUMWEL,2022,9,4,27/04/2022,No,Meeting Attendance of Executive Committee,5.,ANNOP ROMA,26/01/2022,N/A,N/A,,
KUMWEL,2022,9,4,27/04/2022,No,Meeting Attendance of Executive Committee,6.,KIATTICHAI SONG-IN,01/07/2022,N/A,N/A,,
KUMWEL,2022,9,4,27/04/2022,No,Meeting Attendance of Risk Management Committee,1.,WINAI PLUEKSAWAN,N/A,0 / 0,N/A,,
KUMWEL,2022,9,4,27/04/2022,No,Meeting Attendance of Risk Management Committee,2.,CHAWEEWAN KIATJAROONLERT,N/A,0 / 0,N/A,,
KUMWEL,2022,9,4,27/04/2022,No,Meeting Attendance of Risk Management Committee,3.,PREECHA PANASUWANNARAT,N/A,0 / 0,N/A,,
KUMWEL,2022,9,4,27/04/2022,No,Meeting Attendance of Risk Management Committee,4.,WERACHET KHANNGERN,N/A,0 / 0,N/A,,
KUMWEL,2022,9,4,27/04/2022,No,Meeting Attendance of The Nomination Committee considers the remuneration,1.,SARAVUT BUSAYARAT,N/A,0 / 0,N/A,,
KUMWEL,2022,9,4,27/04/2022,No,Meeting Attendance of The Nomination Committee considers the remuneration,2.,BOONSAK KIATJAROONLERT,N/A,0 / 0,N/A,,
KUMWEL,2022,9,4,27/04/2022,No,Meeting Attendance of The Nomination Committee considers the remuneration,3.,PICHIT LUMYONG,N/A,0 / 0,N/A,,
KUMWEL,2023,5,3,27/04/2023,No,Meeting Attendance of the Board of Directors,1.,DAMNOEN KAEWTHAWEE,N/A,5 / 5,100.00,Yes,
KUMWEL,2023,5,3,27/04/2023,No,Meeting Attendance of the Board of Directors,2.,BOONSAK KIATJAROONLERT,N/A,5 / 5,100.00,Yes,
KUMWEL,2023,5,3,27/04/2023,No,Meeting Attendance of the Board of Directors,3.,CHAWEEWAN KIATJAROONLERT,N/A,3 / 5,60.00,Yes,
KUMWEL,2023,5,3,27/04/2023,No,Meeting Attendance of the Board of Directors,4.,PREECHA PANASUWANNARAT,N/A,5 / 5,100.00,Yes,
KUMWEL,2023,5,3,27/04/2023,No,Meeting Attendance of the Board of Directors,5.,SARAVUT BUSAYARAT,N/A,5 / 5,100.00,Yes,
KUMWEL,2023,5,3,27/04/2023,No,Meeting Attendance of the Board of Directors,6.,WINAI PLUEKSAWAN,N/A,5 / 5,100.00,Yes,
KUMWEL,2023,5,3,27/04/2023,No,Meeting Attendance of the Board of Directors,7.,PICHIT LUMYONG,N/A,5 / 5,100.00,Yes,
KUMWEL,2023,5,3,27/04/2023,No,Meeting Attendance of the Board of Directors,8.,WERACHET KHANNGERN,N/A,5 / 5,100.00,Yes,
KUMWEL,2023,5,3,27/04/2023,No,Meeting Attendance of the Board of Directors,9.,CHALEE THIRAWORAKUL,N/A,4 / 4,100.00,Yes,
KUMWEL,2023,5,3,27/04/2023,No,Meeting Attendance of the Board of Directors,10.,SURAWUT KANCHITVINIJKUL,01/12/2023,4 / 4,100.00,Yes,
KUMWEL,2023,5,3,27/04/2023,No,Meeting Attendance of Audit Committee,1.,SARAVUT BUSAYARAT,N/A,3 / 3,100.00,,
KUMWEL,2023,5,3,27/04/2023,No,Meeting Attendance of Audit Committee,2.,WINAI PLUEKSAWAN,N/A,3 / 3,100.00,,
KUMWEL,2023,5,3,27/04/2023,No,Meeting Attendance of Audit Committee,3.,PICHIT LUMYONG,N/A,3 / 3,100.00,,
KUMWEL,2023,5,3,27/04/2023,No,Meeting Attendance of Executive Committee,1.,BOONSAK KIATJAROONLERT,N/A,N/A,N/A,,
KUMWEL,2023,5,3,27/04/2023,No,Meeting Attendance of Executive Committee,2.,WERACHET KHANNGERN,N/A,N/A,N/A,,
KUMWEL,2023,5,3,27/04/2023,No,Meeting Attendance of Executive Committee,3.,PREECHA PANASUWANNARAT,N/A,N/A,N/A,,
