Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
KUN,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
KUN,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
KUN,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
KUN,2022,10,5,27/04/2022,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
KUN,2022,10,5,27/04/2022,No,Meeting Attendance of Audit Committee,,No Information,,,,,
KUN,2022,10,5,27/04/2022,No,Meeting Attendance of Executive Committee,1.,N/A,N/A,N/A,N/A,,
KUN,2022,10,5,27/04/2022,No,Meeting Attendance of Executive Committee,2.,N/A,N/A,N/A,N/A,,
KUN,2022,10,5,27/04/2022,No,Meeting Attendance of Executive Committee,3.,N/A,N/A,N/A,N/A,,
KUN,2022,10,5,27/04/2022,No,Meeting Attendance of Executive Committee,4.,N/A,N/A,N/A,N/A,,
KUN,2023,9,4,26/04/2023,Yes,Meeting Attendance of the Board of Directors,,No Information,,,,,
KUN,2023,9,4,26/04/2023,Yes,Meeting Attendance of Audit Committee,,No Information,,,,,
KUN,2023,9,4,26/04/2023,Yes,Meeting Attendance of Executive Committee,1.,N/A,N/A,N/A,N/A,,
KUN,2023,9,4,26/04/2023,Yes,Meeting Attendance of Executive Committee,2.,N/A,N/A,N/A,N/A,,
KUN,2023,9,4,26/04/2023,Yes,Meeting Attendance of Executive Committee,3.,N/A,N/A,N/A,N/A,,
KUN,2023,9,4,26/04/2023,Yes,Meeting Attendance of Executive Committee,4.,N/A,N/A,N/A,N/A,,
KUN,2024,11,5,24/04/2024,No,Meeting Attendance of the Board of Directors,1.,TAWATCHAI SUDTIKITPISAN,N/A,11 / 11,100.00,1 / 1,
KUN,2024,11,5,24/04/2024,No,Meeting Attendance of the Board of Directors,2.,PRAWEERAT DHEVA-AKSORN,N/A,1 / 11,9.09,1 / 1,
KUN,2024,11,5,24/04/2024,No,Meeting Attendance of the Board of Directors,3.,KHUNA DHEVA-AKSORN,N/A,11 / 11,100.00,1 / 1,
KUN,2024,11,5,24/04/2024,No,Meeting Attendance of the Board of Directors,4.,PAISAL SANGKAWANICH,N/A,11 / 11,100.00,1 / 1,
KUN,2024,11,5,24/04/2024,No,Meeting Attendance of the Board of Directors,5.,ANANT SIRISAENGTAKSIN,N/A,10 / 11,90.91,1 / 1,
