Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
KWM,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
KWM,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
KWM,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
KWM,2022,4,4,22/04/2022,No,Meeting Attendance of the Board of Directors,1.,SATIAN NILTAWACH,N/A,4 / 4,100.00,Yes,
KWM,2022,4,4,22/04/2022,No,Meeting Attendance of the Board of Directors,2.,EKAPAN VANAGOSOOM,N/A,4 / 4,100.00,Yes,
KWM,2022,4,4,22/04/2022,No,Meeting Attendance of the Board of Directors,3.,TIYAPHON VANAGOSOOM,N/A,4 / 4,100.00,Yes,
KWM,2022,4,4,22/04/2022,No,Meeting Attendance of the Board of Directors,4.,UKRIT VANAGOSOOM,N/A,4 / 4,100.00,Yes,
KWM,2022,4,4,22/04/2022,No,Meeting Attendance of the Board of Directors,5.,PANATA THONGKHAMSAI,N/A,4 / 4,100.00,Yes,
KWM,2022,4,4,22/04/2022,No,Meeting Attendance of the Board of Directors,6.,SERMSAK VUDHIRAK,N/A,4 / 4,100.00,Yes,
KWM,2022,4,4,22/04/2022,No,Meeting Attendance of the Board of Directors,7.,SUNVARIS INTEEVORN,N/A,4 / 4,100.00,Yes,
KWM,2022,4,4,22/04/2022,No,Meeting Attendance of Audit Committee,1.,SATIAN NILTAWACH,N/A,4 / 4,100.00,,
KWM,2022,4,4,22/04/2022,No,Meeting Attendance of Audit Committee,2.,PANATA THONGKHAMSAI,N/A,4 / 4,100.00,,
KWM,2022,4,4,22/04/2022,No,Meeting Attendance of Audit Committee,3.,SERMSAK VUDHIRAK,N/A,4 / 4,100.00,,
KWM,2022,4,4,22/04/2022,No,Meeting Attendance of Executive Committee,1.,EKAPAN VANAGOSOOM,N/A,N/A,N/A,,
KWM,2022,4,4,22/04/2022,No,Meeting Attendance of Executive Committee,2.,TIYAPHON VANAGOSOOM,N/A,N/A,N/A,,
KWM,2022,4,4,22/04/2022,No,Meeting Attendance of Executive Committee,3.,UKRIT VANAGOSOOM,N/A,N/A,N/A,,
KWM,2022,4,4,22/04/2022,No,Meeting Attendance of Executive Committee,4.,SUNVARIS INTEEVORN,N/A,N/A,N/A,,
KWM,2022,4,4,22/04/2022,No,Meeting Attendance of Risk Management Committee,1.,SATIAN NILTAWACH,N/A,0 / 0,N/A,,
KWM,2022,4,4,22/04/2022,No,Meeting Attendance of Risk Management Committee,2.,TIYAPHON VANAGOSOOM,N/A,0 / 0,N/A,,
KWM,2022,4,4,22/04/2022,No,Meeting Attendance of Risk Management Committee,3.,UKRIT VANAGOSOOM,N/A,0 / 0,N/A,,
KWM,2022,4,4,22/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,1.,PANATA THONGKHAMSAI,N/A,0 / 0,N/A,,
KWM,2022,4,4,22/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,2.,SERMSAK VUDHIRAK,N/A,0 / 0,N/A,,
KWM,2022,4,4,22/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,3.,TIYAPHON VANAGOSOOM,N/A,0 / 0,N/A,,
KWM,2022,4,4,22/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,4.,SUNVARIS INTEEVORN,N/A,0 / 0,N/A,,
KWM,2023,4,4,24/04/2023,No,Meeting Attendance of the Board of Directors,1.,SATIAN NILTAWACH,N/A,4 / 4,100.00,Yes,
KWM,2023,4,4,24/04/2023,No,Meeting Attendance of the Board of Directors,2.,EKAPAN VANAGOSOOM,N/A,4 / 4,100.00,Yes,
KWM,2023,4,4,24/04/2023,No,Meeting Attendance of the Board of Directors,3.,TIYAPHON VANAGOSOOM,N/A,4 / 4,100.00,Yes,
KWM,2023,4,4,24/04/2023,No,Meeting Attendance of the Board of Directors,4.,UKRIT VANAGOSOOM,N/A,4 / 4,100.00,Yes,
KWM,2023,4,4,24/04/2023,No,Meeting Attendance of the Board of Directors,5.,PANATA THONGKHAMSAI,N/A,4 / 4,100.00,Yes,
KWM,2023,4,4,24/04/2023,No,Meeting Attendance of the Board of Directors,6.,SERMSAK VUDHIRAK,N/A,4 / 4,100.00,Yes,
KWM,2023,4,4,24/04/2023,No,Meeting Attendance of the Board of Directors,7.,SUNVARIS INTEEVORN,N/A,4 / 4,100.00,Yes,
KWM,2023,4,4,24/04/2023,No,Meeting Attendance of Audit Committee,1.,SATIAN NILTAWACH,N/A,4 / 4,100.00,,
KWM,2023,4,4,24/04/2023,No,Meeting Attendance of Audit Committee,2.,PANATA THONGKHAMSAI,N/A,4 / 4,100.00,,
KWM,2023,4,4,24/04/2023,No,Meeting Attendance of Audit Committee,3.,SERMSAK VUDHIRAK,N/A,4 / 4,100.00,,
KWM,2023,4,4,24/04/2023,No,Meeting Attendance of Executive Committee,1.,EKAPAN VANAGOSOOM,N/A,N/A,N/A,,
KWM,2023,4,4,24/04/2023,No,Meeting Attendance of Executive Committee,2.,TIYAPHON VANAGOSOOM,N/A,N/A,N/A,,
KWM,2023,4,4,24/04/2023,No,Meeting Attendance of Executive Committee,3.,UKRIT VANAGOSOOM,N/A,N/A,N/A,,
KWM,2023,4,4,24/04/2023,No,Meeting Attendance of Executive Committee,4.,SUNVARIS INTEEVORN,N/A,N/A,N/A,,
KWM,2023,4,4,24/04/2023,No,Meeting Attendance of Risk Management Committee,1.,SATIAN NILTAWACH,N/A,0 / 0,N/A,,
KWM,2023,4,4,24/04/2023,No,Meeting Attendance of Risk Management Committee,2.,TIYAPHON VANAGOSOOM,N/A,0 / 0,N/A,,
KWM,2023,4,4,24/04/2023,No,Meeting Attendance of Risk Management Committee,3.,UKRIT VANAGOSOOM,N/A,0 / 0,N/A,,
KWM,2023,4,4,24/04/2023,No,Meeting Attendance of Nomination and Remuneration Committee,1.,PANATA THONGKHAMSAI,N/A,0 / 0,N/A,,
KWM,2023,4,4,24/04/2023,No,Meeting Attendance of Nomination and Remuneration Committee,2.,SERMSAK VUDHIRAK,N/A,0 / 0,N/A,,
KWM,2023,4,4,24/04/2023,No,Meeting Attendance of Nomination and Remuneration Committee,3.,TIYAPHON VANAGOSOOM,N/A,0 / 0,N/A,,
KWM,2023,4,4,24/04/2023,No,Meeting Attendance of Nomination and Remuneration Committee,4.,SUNVARIS INTEEVORN,N/A,0 / 0,N/A,,
KWM,2024,4,4,25/04/2024,No,Meeting Attendance of the Board of Directors,1.,SATIAN NILTAWACH,N/A,4 / 4,100.00,1 / 1,
KWM,2024,4,4,25/04/2024,No,Meeting Attendance of the Board of Directors,2.,EKAPAN VANAGOSOOM,N/A,4 / 4,100.00,1 / 1,
KWM,2024,4,4,25/04/2024,No,Meeting Attendance of the Board of Directors,3.,TIYAPHON VANAGOSOOM,N/A,4 / 4,100.00,1 / 1,
KWM,2024,4,4,25/04/2024,No,Meeting Attendance of the Board of Directors,4.,UKRIT VANAGOSOOM,N/A,4 / 4,100.00,1 / 1,
KWM,2024,4,4,25/04/2024,No,Meeting Attendance of the Board of Directors,5.,PANATA THONGKHAMSAI,N/A,4 / 4,100.00,1 / 1,
KWM,2024,4,4,25/04/2024,No,Meeting Attendance of the Board of Directors,6.,SERMSAK VUDHIRAK,N/A,4 / 4,100.00,1 / 1,
KWM,2024,4,4,25/04/2024,No,Meeting Attendance of the Board of Directors,7.,SUNVARIS INTEEVORN,N/A,4 / 4,100.00,1 / 1,
