Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
LALIN,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
LALIN,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
LALIN,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
LALIN,2022,5,4,27/04/2022,Yes,Meeting Attendance of the Board of Directors,,No Information,,,,,
LALIN,2022,5,4,27/04/2022,Yes,Meeting Attendance of Audit Committee,,No Information,,,,,
LALIN,2022,5,4,27/04/2022,Yes,Meeting Attendance of Executive Committee,1.,N/A,N/A,N/A,N/A,,
LALIN,2022,5,4,27/04/2022,Yes,Meeting Attendance of Executive Committee,2.,N/A,N/A,N/A,N/A,,
LALIN,2022,5,4,27/04/2022,Yes,Meeting Attendance of Executive Committee,3.,N/A,N/A,N/A,N/A,,
LALIN,2022,5,4,27/04/2022,Yes,Meeting Attendance of Executive Committee,4.,N/A,N/A,N/A,N/A,,
LALIN,2023,5,4,26/04/2023,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
LALIN,2023,5,4,26/04/2023,No,Meeting Attendance of Audit Committee,,No Information,,,,,
LALIN,2023,5,4,26/04/2023,No,Meeting Attendance of Executive Committee,1.,N/A,N/A,N/A,N/A,,
LALIN,2023,5,4,26/04/2023,No,Meeting Attendance of Executive Committee,2.,N/A,N/A,N/A,N/A,,
LALIN,2023,5,4,26/04/2023,No,Meeting Attendance of Executive Committee,3.,N/A,N/A,N/A,N/A,,
LALIN,2023,5,4,26/04/2023,No,Meeting Attendance of Executive Committee,4.,N/A,N/A,N/A,N/A,,
LALIN,2024,5,4,24/04/2024,No,Meeting Attendance of the Board of Directors,1.,TAVEESAK WATCHARAKAWONG,N/A,5 / 5,100.00,1 / 1,
LALIN,2024,5,4,24/04/2024,No,Meeting Attendance of the Board of Directors,2.,NIPUTH JITPRASONK,N/A,5 / 5,100.00,1 / 1,
LALIN,2024,5,4,24/04/2024,No,Meeting Attendance of the Board of Directors,3.,SUVARN THANSATHIT,N/A,5 / 5,100.00,1 / 1,
LALIN,2024,5,4,24/04/2024,No,Meeting Attendance of the Board of Directors,4.,CHAIYAN CHAKARAKUL,N/A,5 / 5,100.00,1 / 1,
LALIN,2024,5,4,24/04/2024,No,Meeting Attendance of the Board of Directors,5.,NAT SANGARSONGKOGK,N/A,5 / 5,100.00,1 / 1,
LALIN,2024,5,4,24/04/2024,No,Meeting Attendance of the Board of Directors,6.,SATIT CHANJAVANAKUL,N/A,5 / 5,100.00,1 / 1,
LALIN,2024,5,4,24/04/2024,No,Meeting Attendance of the Board of Directors,7.,CHURAT CHAKARAKUL,N/A,5 / 5,100.00,1 / 1,
LALIN,2024,5,4,24/04/2024,No,Meeting Attendance of the Board of Directors,8.,SERI SINTUAS,N/A,5 / 5,100.00,1 / 1,
LALIN,2024,5,4,24/04/2024,No,Meeting Attendance of Audit Committee,1.,SUVARN THANSATHIT,N/A,4 / 4,100.00,,
LALIN,2024,5,4,24/04/2024,No,Meeting Attendance of Audit Committee,2.,NIPUTH JITPRASONK,N/A,4 / 4,100.00,,
LALIN,2024,5,4,24/04/2024,No,Meeting Attendance of Audit Committee,3.,SATIT CHANJAVANAKUL,N/A,4 / 4,100.00,,
LALIN,2024,5,4,24/04/2024,No,Meeting Attendance of Executive Committee,1.,CHAIYAN CHAKARAKUL,N/A,6 / 6,100.00,,
LALIN,2024,5,4,24/04/2024,No,Meeting Attendance of Executive Committee,2.,CHURAT CHAKARAKUL,N/A,6 / 6,100.00,,
LALIN,2024,5,4,24/04/2024,No,Meeting Attendance of Executive Committee,3.,NAT SANGARSONGKOGK,N/A,6 / 6,100.00,,
LALIN,2024,5,4,24/04/2024,No,Meeting Attendance of Executive Committee,4.,SERI SINTUAS,N/A,6 / 6,100.00,,
LALIN,2024,5,4,24/04/2024,No,Meeting Attendance of Nomination and remuneration committee,1.,SUVARN THANSATHIT,N/A,2 / 2,100.00,,
LALIN,2024,5,4,24/04/2024,No,Meeting Attendance of Nomination and remuneration committee,2.,CHAIYAN CHAKARAKUL,N/A,2 / 2,100.00,,
LALIN,2024,5,4,24/04/2024,No,Meeting Attendance of Nomination and remuneration committee,3.,NIPUTH JITPRASONK,N/A,2 / 2,100.00,,
LALIN,2024,5,4,24/04/2024,No,Meeting Attendance of Risk managment committee,1.,SATIT CHANJAVANAKUL,N/A,2 / 2,100.00,,
LALIN,2024,5,4,24/04/2024,No,Meeting Attendance of Risk managment committee,2.,CHURAT CHAKARAKUL,N/A,2 / 2,100.00,,
LALIN,2024,5,4,24/04/2024,No,Meeting Attendance of Risk managment committee,3.,SERI SINTUAS,N/A,2 / 2,100.00,,
LALIN,2024,5,4,24/04/2024,No,Meeting Attendance of Risk managment committee,4.,Wanchai Aranvutikul,N/A,2 / 2,100.00,,
LALIN,2024,5,4,24/04/2024,No,Meeting Attendance of Corporate governance and sustainable development committee,1.,NIPUTH JITPRASONK,N/A,0 / 0,N/A,,
LALIN,2024,5,4,24/04/2024,No,Meeting Attendance of Corporate governance and sustainable development committee,2.,CHURAT CHAKARAKUL,N/A,1 / 1,100.00,,
LALIN,2024,5,4,24/04/2024,No,Meeting Attendance of Corporate governance and sustainable development committee,3.,NAT SANGARSONGKOGK,N/A,1 / 1,100.00,,
LALIN,2024,5,4,24/04/2024,No,Meeting Attendance of Corporate governance and sustainable development committee,4.,SERI SINTUAS,N/A,1 / 1,100.00,,
