Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
LHFG,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
LHFG,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
LHFG,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
LHFG,2022,12,13,20/04/2022,No,Meeting Attendance of the Board of Directors,1.,VORAPOL SOCATIYANURAK,N/A,12 / 12,100.00,Yes,
LHFG,2022,12,13,20/04/2022,No,Meeting Attendance of the Board of Directors,2.,"WU, KUO-CHIN",N/A,12 / 12,100.00,Yes,
LHFG,2022,12,13,20/04/2022,No,Meeting Attendance of the Board of Directors,3.,NAPORN SUNTHORNCHITCHAROEN,N/A,12 / 12,100.00,Yes,
LHFG,2022,12,13,20/04/2022,No,Meeting Attendance of the Board of Directors,4.,KHUNAWUT THUMPOMKUL,N/A,12 / 12,100.00,Yes,
LHFG,2022,12,13,20/04/2022,No,Meeting Attendance of the Board of Directors,5.,SUPRIYA KUANDACHAKUPT,N/A,12 / 12,100.00,Yes,
LHFG,2022,12,13,20/04/2022,No,Meeting Attendance of the Board of Directors,6.,"SHIH, JIING-FUH",N/A,12 / 12,100.00,Yes,
LHFG,2022,12,13,20/04/2022,No,Meeting Attendance of the Board of Directors,7.,MING-SHIEH LI,N/A,12 / 12,100.00,Yes,
LHFG,2022,12,13,20/04/2022,No,Meeting Attendance of the Board of Directors,8.,PRADIT SAWATTANANOND,N/A,12 / 12,100.00,Yes,
LHFG,2022,12,13,20/04/2022,No,Meeting Attendance of the Board of Directors,9.,PICHAI DUSDEEKULCHAI,N/A,12 / 12,100.00,Yes,
LHFG,2022,12,13,20/04/2022,No,Meeting Attendance of the Board of Directors,10.,VICHIAN AMORNPOONCHAI,N/A,12 / 12,100.00,Yes,
LHFG,2022,12,13,20/04/2022,No,Meeting Attendance of the Board of Directors,11.,PIPHOB VERAPHONG,N/A,5 / 6,83.33,No,
LHFG,2022,12,13,20/04/2022,No,Meeting Attendance of the Board of Directors,12.,ADUL VINAIPHAT,01/05/2022,4 / 4,100.00,Yes,
LHFG,2022,12,13,20/04/2022,No,Meeting Attendance of Audit Committee,1.,PRADIT SAWATTANANOND,N/A,13 / 13,100.00,,
LHFG,2022,12,13,20/04/2022,No,Meeting Attendance of Audit Committee,2.,PICHAI DUSDEEKULCHAI,N/A,13 / 13,100.00,,
LHFG,2022,12,13,20/04/2022,No,Meeting Attendance of Audit Committee,3.,PIPHOB VERAPHONG,N/A,6 / 6,100.00,,
LHFG,2022,12,13,20/04/2022,No,Meeting Attendance of Audit Committee,4.,SUPRIYA KUANDACHAKUPT,N/A,13 / 13,100.00,,
LHFG,2022,12,13,20/04/2022,No,Meeting Attendance of Audit Committee,5.,ADUL VINAIPHAT,01/05/2022,5 / 5,100.00,,
LHFG,2022,12,13,20/04/2022,No,Meeting Attendance of Executive Committee,,No Information,,,,,
LHFG,2022,12,13,20/04/2022,No,Meeting Attendance of Corporate Governance Committee,1.,PIPHOB VERAPHONG,N/A,0 / 0,N/A,,
LHFG,2022,12,13,20/04/2022,No,Meeting Attendance of Corporate Governance Committee,2.,SUPRIYA KUANDACHAKUPT,N/A,0 / 0,N/A,,
LHFG,2022,12,13,20/04/2022,No,Meeting Attendance of Corporate Governance Committee,3.,PRADIT SAWATTANANOND,N/A,0 / 0,N/A,,
LHFG,2022,12,13,20/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,1.,PICHAI DUSDEEKULCHAI,N/A,0 / 0,N/A,,
LHFG,2022,12,13,20/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,2.,SUPRIYA KUANDACHAKUPT,N/A,0 / 0,N/A,,
LHFG,2022,12,13,20/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,3.,PRADIT SAWATTANANOND,N/A,0 / 0,N/A,,
LHFG,2022,12,13,20/04/2022,No,Meeting Attendance of Risk Oversight Committee,1.,PRADIT SAWATTANANOND,N/A,0 / 0,N/A,,
LHFG,2022,12,13,20/04/2022,No,Meeting Attendance of Risk Oversight Committee,2.,"SHIH, JIING-FUH",N/A,0 / 0,N/A,,
LHFG,2022,12,13,20/04/2022,No,Meeting Attendance of Risk Oversight Committee,3.,PICHAI DUSDEEKULCHAI,N/A,0 / 0,N/A,,
LHFG,2023,13,12,24/04/2023,No,Meeting Attendance of the Board of Directors,1.,VORAPOL SOCATIYANURAK,N/A,13 / 13,100.00,Yes,
LHFG,2023,13,12,24/04/2023,No,Meeting Attendance of the Board of Directors,2.,"WU, KUO-CHIN",N/A,13 / 13,100.00,Yes,
LHFG,2023,13,12,24/04/2023,No,Meeting Attendance of the Board of Directors,3.,NAPORN SUNTHORNCHITCHAROEN,N/A,12 / 13,92.31,Yes,
LHFG,2023,13,12,24/04/2023,No,Meeting Attendance of the Board of Directors,4.,KHUNAWUT THUMPOMKUL,N/A,12 / 13,92.31,Yes,
LHFG,2023,13,12,24/04/2023,No,Meeting Attendance of the Board of Directors,5.,SUPRIYA KUANDACHAKUPT,N/A,13 / 13,100.00,Yes,
LHFG,2023,13,12,24/04/2023,No,Meeting Attendance of the Board of Directors,6.,"SHIH, JIING-FUH",N/A,13 / 13,100.00,Yes,
LHFG,2023,13,12,24/04/2023,No,Meeting Attendance of the Board of Directors,7.,PRADIT SAWATTANANOND,N/A,13 / 13,100.00,Yes,
LHFG,2023,13,12,24/04/2023,No,Meeting Attendance of the Board of Directors,8.,PICHAI DUSDEEKULCHAI,N/A,12 / 13,92.31,Yes,
LHFG,2023,13,12,24/04/2023,No,Meeting Attendance of the Board of Directors,9.,VICHIAN AMORNPOONCHAI,N/A,13 / 13,100.00,Yes,
LHFG,2023,13,12,24/04/2023,No,Meeting Attendance of the Board of Directors,10.,PIPHOB VERAPHONG,N/A,12 / 13,92.31,Yes,
LHFG,2023,13,12,24/04/2023,No,Meeting Attendance of the Board of Directors,11.,LEE YU-CHOU,N/A,6 / 7,85.71,Yes,
LHFG,2023,13,12,24/04/2023,No,Meeting Attendance of the Board of Directors,12.,MING-SHIEH LI,01/07/2023,5 / 6,83.33,Yes,
LHFG,2023,13,12,24/04/2023,No,Meeting Attendance of Audit Committee,1.,PIPHOB VERAPHONG,N/A,11 / 12,91.67,,
LHFG,2023,13,12,24/04/2023,No,Meeting Attendance of Audit Committee,2.,SUPRIYA KUANDACHAKUPT,N/A,12 / 12,100.00,,
LHFG,2023,13,12,24/04/2023,No,Meeting Attendance of Audit Committee,3.,PRADIT SAWATTANANOND,N/A,12 / 12,100.00,,
LHFG,2023,13,12,24/04/2023,No,Meeting Attendance of Audit Committee,4.,PICHAI DUSDEEKULCHAI,N/A,12 / 12,100.00,,
LHFG,2023,13,12,24/04/2023,No,Meeting Attendance of Executive Committee,,No Information,,,,,
LHFG,2023,13,12,24/04/2023,No,Meeting Attendance of Sustainability and Corporate Governance Committee,1.,PIPHOB VERAPHONG,N/A,0 / 0,N/A,,
LHFG,2023,13,12,24/04/2023,No,Meeting Attendance of Sustainability and Corporate Governance Committee,2.,SUPRIYA KUANDACHAKUPT,N/A,0 / 0,N/A,,
LHFG,2023,13,12,24/04/2023,No,Meeting Attendance of Sustainability and Corporate Governance Committee,3.,PRADIT SAWATTANANOND,N/A,0 / 0,N/A,,
LHFG,2023,13,12,24/04/2023,No,Meeting Attendance of Nomination and Remuneration Committee,1.,PICHAI DUSDEEKULCHAI,N/A,0 / 0,N/A,,
LHFG,2023,13,12,24/04/2023,No,Meeting Attendance of Nomination and Remuneration Committee,2.,SUPRIYA KUANDACHAKUPT,N/A,0 / 0,N/A,,
LHFG,2023,13,12,24/04/2023,No,Meeting Attendance of Nomination and Remuneration Committee,3.,PRADIT SAWATTANANOND,N/A,0 / 0,N/A,,
LHFG,2023,13,12,24/04/2023,No,Meeting Attendance of Risk Oversight Committee,1.,PRADIT SAWATTANANOND,N/A,0 / 0,N/A,,
LHFG,2023,13,12,24/04/2023,No,Meeting Attendance of Risk Oversight Committee,2.,"SHIH, JIING-FUH",N/A,0 / 0,N/A,,
LHFG,2023,13,12,24/04/2023,No,Meeting Attendance of Risk Oversight Committee,3.,PICHAI DUSDEEKULCHAI,N/A,0 / 0,N/A,,
LHFG,2024,12,12,22/04/2024,No,Meeting Attendance of the Board of Directors,1.,VORAPOL SOCATIYANURAK,N/A,12 / 12,100.00,1 / 1,
LHFG,2024,12,12,22/04/2024,No,Meeting Attendance of the Board of Directors,2.,"WU, KUO-CHIN",N/A,12 / 12,100.00,1 / 1,
LHFG,2024,12,12,22/04/2024,No,Meeting Attendance of the Board of Directors,3.,NAPORN SUNTHORNCHITCHAROEN,N/A,12 / 12,100.00,1 / 1,
LHFG,2024,12,12,22/04/2024,No,Meeting Attendance of the Board of Directors,4.,KHUNAWUT THUMPOMKUL,N/A,11 / 12,91.67,1 / 1,
LHFG,2024,12,12,22/04/2024,No,Meeting Attendance of the Board of Directors,5.,SUPRIYA KUANDACHAKUPT,N/A,12 / 12,100.00,1 / 1,
LHFG,2024,12,12,22/04/2024,No,Meeting Attendance of the Board of Directors,6.,"SHIH, JIING-FUH",N/A,12 / 12,100.00,1 / 1,
LHFG,2024,12,12,22/04/2024,No,Meeting Attendance of the Board of Directors,7.,PRADIT SAWATTANANOND,N/A,12 / 12,100.00,1 / 1,
LHFG,2024,12,12,22/04/2024,No,Meeting Attendance of the Board of Directors,8.,PICHAI DUSDEEKULCHAI,N/A,12 / 12,100.00,1 / 1,
LHFG,2024,12,12,22/04/2024,No,Meeting Attendance of the Board of Directors,9.,VICHIAN AMORNPOONCHAI,N/A,12 / 12,100.00,1 / 1,
LHFG,2024,12,12,22/04/2024,No,Meeting Attendance of the Board of Directors,10.,PIPHOB VERAPHONG,N/A,12 / 12,100.00,1 / 1,
LHFG,2024,12,12,22/04/2024,No,Meeting Attendance of the Board of Directors,11.,LEE YU-CHOU,N/A,12 / 12,100.00,1 / 1,
LHFG,2024,12,12,22/04/2024,No,Meeting Attendance of Audit Committee,1.,PIPHOB VERAPHONG,N/A,12 / 12,100.00,,
LHFG,2024,12,12,22/04/2024,No,Meeting Attendance of Audit Committee,2.,SUPRIYA KUANDACHAKUPT,N/A,12 / 12,100.00,,
LHFG,2024,12,12,22/04/2024,No,Meeting Attendance of Audit Committee,3.,PRADIT SAWATTANANOND,N/A,12 / 12,100.00,,
LHFG,2024,12,12,22/04/2024,No,Meeting Attendance of Audit Committee,4.,PICHAI DUSDEEKULCHAI,N/A,12 / 12,100.00,,
LHFG,2024,12,12,22/04/2024,No,Meeting Attendance of Executive Committee,,No Information,,,,,
LHFG,2024,12,12,22/04/2024,No,Meeting Attendance of Sustainability and Corporate Governance Committee,1.,PIPHOB VERAPHONG,N/A,12 / 12,100.00,,
LHFG,2024,12,12,22/04/2024,No,Meeting Attendance of Sustainability and Corporate Governance Committee,2.,SUPRIYA KUANDACHAKUPT,N/A,12 / 12,100.00,,
LHFG,2024,12,12,22/04/2024,No,Meeting Attendance of Sustainability and Corporate Governance Committee,3.,PRADIT SAWATTANANOND,N/A,12 / 12,100.00,,
LHFG,2024,12,12,22/04/2024,No,Meeting Attendance of Nomination and Remuneration Committee,1.,PICHAI DUSDEEKULCHAI,N/A,6 / 6,100.00,,
LHFG,2024,12,12,22/04/2024,No,Meeting Attendance of Nomination and Remuneration Committee,2.,SUPRIYA KUANDACHAKUPT,N/A,6 / 6,100.00,,
LHFG,2024,12,12,22/04/2024,No,Meeting Attendance of Nomination and Remuneration Committee,3.,PRADIT SAWATTANANOND,N/A,6 / 6,100.00,,
LHFG,2024,12,12,22/04/2024,No,Meeting Attendance of Risk Oversight Committee,1.,PRADIT SAWATTANANOND,N/A,7 / 7,100.00,,
