Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
LIT,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
LIT,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
LIT,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
LIT,2022,18,9,07/04/2022,No,Meeting Attendance of the Board of Directors,1.,JATE MONGKOLHUTTHI,N/A,18 / 18,100.00,Yes,
LIT,2022,18,9,07/04/2022,No,Meeting Attendance of the Board of Directors,2.,SUTHUD KHANCHAROENSUK,N/A,16 / 18,88.89,Yes,
LIT,2022,18,9,07/04/2022,No,Meeting Attendance of the Board of Directors,3.,SITAPHATR NIROJTHANARAT,N/A,18 / 18,100.00,Yes,
LIT,2022,18,9,07/04/2022,No,Meeting Attendance of the Board of Directors,4.,SUDA SUWANNAPIROM,N/A,18 / 18,100.00,Yes,
LIT,2022,18,9,07/04/2022,No,Meeting Attendance of the Board of Directors,5.,PARICHATARA LAOTHEERASIRIVONG,N/A,18 / 18,100.00,Yes,
LIT,2022,18,9,07/04/2022,No,Meeting Attendance of the Board of Directors,6.,WASARA CHOTITHAMMARAT,N/A,18 / 18,100.00,Yes,
LIT,2022,18,9,07/04/2022,No,Meeting Attendance of the Board of Directors,7.,PONGSAK CHEWCHARAT,N/A,16 / 18,88.89,Yes,
LIT,2022,18,9,07/04/2022,No,Meeting Attendance of the Board of Directors,8.,CHONTICHA SUPALUXMETHA,N/A,18 / 18,100.00,Yes,
LIT,2022,18,9,07/04/2022,No,Meeting Attendance of Audit Committee,1.,PONGSAK CHEWCHARAT,N/A,9 / 9,100.00,,
LIT,2022,18,9,07/04/2022,No,Meeting Attendance of Audit Committee,2.,SUTHUD KHANCHAROENSUK,N/A,9 / 9,100.00,,
LIT,2022,18,9,07/04/2022,No,Meeting Attendance of Audit Committee,3.,SUDA SUWANNAPIROM,N/A,9 / 9,100.00,,
LIT,2022,18,9,07/04/2022,No,Meeting Attendance of Audit Committee,4.,WASARA CHOTITHAMMARAT,N/A,9 / 9,100.00,,
LIT,2022,18,9,07/04/2022,No,Meeting Attendance of Executive Committee,1.,PARICHATARA LAOTHEERASIRIVONG,N/A,N/A,N/A,,
