Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
M-CHAI,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
M-CHAI,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
M-CHAI,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
M-CHAI,2022,6,3,29/04/2022,No,Meeting Attendance of the Board of Directors,1.,BANLOO SIRIPHANICH,N/A,4 / 6,66.67,Yes,
M-CHAI,2022,6,3,29/04/2022,No,Meeting Attendance of the Board of Directors,2.,PONGPAT PATANAVANICH,N/A,6 / 6,100.00,Yes,
M-CHAI,2022,6,3,29/04/2022,No,Meeting Attendance of the Board of Directors,3.,WINYOO EIAMSHERANGKOON,N/A,6 / 6,100.00,Yes,
M-CHAI,2022,6,3,29/04/2022,No,Meeting Attendance of the Board of Directors,4.,SITTA PITAKANNOP,N/A,6 / 6,100.00,Yes,
M-CHAI,2022,6,3,29/04/2022,No,Meeting Attendance of the Board of Directors,5.,ITTI CHANSIRIKANJANA,N/A,6 / 6,100.00,Yes,
M-CHAI,2022,6,3,29/04/2022,No,Meeting Attendance of the Board of Directors,6.,KONGTHANA SARIDVANICH,N/A,6 / 6,100.00,Yes,
M-CHAI,2022,6,3,29/04/2022,No,Meeting Attendance of the Board of Directors,7.,WANEE PRADITYONT,N/A,5 / 6,83.33,Yes,
M-CHAI,2022,6,3,29/04/2022,No,Meeting Attendance of the Board of Directors,8.,CHUSAK VIJAKKHANA,N/A,6 / 6,100.00,Yes,
M-CHAI,2022,6,3,29/04/2022,No,Meeting Attendance of the Board of Directors,9.,TEERADATE TANGDAJAHIRAN,N/A,6 / 6,100.00,Yes,
M-CHAI,2022,6,3,29/04/2022,No,Meeting Attendance of the Board of Directors,10.,JADESADA HUNGSAPRUEK,N/A,6 / 6,100.00,No,
M-CHAI,2022,6,3,29/04/2022,No,Meeting Attendance of the Board of Directors,11.,PUSSINEE WIRIYAWONGSE,N/A,5 / 6,83.33,Yes,
M-CHAI,2022,6,3,29/04/2022,No,Meeting Attendance of the Board of Directors,12.,SUWANNA CHOOPISANYAROD,N/A,6 / 6,100.00,Yes,
M-CHAI,2022,6,3,29/04/2022,No,Meeting Attendance of the Board of Directors,13.,NATHAMON EAMSHERANGKOON,N/A,1 / 1,100.00,No,
M-CHAI,2022,6,3,29/04/2022,No,Meeting Attendance of the Board of Directors,14.,PRASERT JANESIRIWANICH,01/03/2022,0 / 0,N/A,No,
M-CHAI,2022,6,3,29/04/2022,No,Meeting Attendance of the Board of Directors,15.,THEERASAK EIAMSHERANGKOON,21/11/2022,2 / 5,40.00,Yes,
M-CHAI,2022,6,3,29/04/2022,No,Meeting Attendance of Audit Committee,1.,CHUSAK VIJAKKHANA,N/A,3 / 3,100.00,,
M-CHAI,2022,6,3,29/04/2022,No,Meeting Attendance of Audit Committee,2.,JADESADA HUNGSAPRUEK,N/A,3 / 3,100.00,,
M-CHAI,2022,6,3,29/04/2022,No,Meeting Attendance of Audit Committee,3.,TEERADATE TANGDAJAHIRAN,N/A,3 / 3,100.00,,
M-CHAI,2022,6,3,29/04/2022,No,Meeting Attendance of Audit Committee,4.,PRASERT JANESIRIWANICH,01/03/2022,0 / 0,N/A,,
M-CHAI,2022,6,3,29/04/2022,No,Meeting Attendance of Executive Committee,1.,PONGPAT PATANAVANICH,N/A,N/A,N/A,,
M-CHAI,2022,6,3,29/04/2022,No,Meeting Attendance of Executive Committee,2.,WINYOO EIAMSHERANGKOON,N/A,N/A,N/A,,
M-CHAI,2022,6,3,29/04/2022,No,Meeting Attendance of Executive Committee,3.,SITTA PITAKANNOP,N/A,N/A,N/A,,
M-CHAI,2022,6,3,29/04/2022,No,Meeting Attendance of Executive Committee,4.,ITTI CHANSIRIKANJANA,N/A,N/A,N/A,,
M-CHAI,2022,6,3,29/04/2022,No,Meeting Attendance of Executive Committee,5.,KONGTHANA SARIDVANICH,N/A,N/A,N/A,,
M-CHAI,2022,6,3,29/04/2022,No,Meeting Attendance of Risk Management Committee,1.,PONGPAT PATANAVANICH,N/A,0 / 0,N/A,,
M-CHAI,2022,6,3,29/04/2022,No,Meeting Attendance of Risk Management Committee,2.,WINYOO EIAMSHERANGKOON,N/A,0 / 0,N/A,,
M-CHAI,2022,6,3,29/04/2022,No,Meeting Attendance of Risk Management Committee,3.,CHUSAK VIJAKKHANA,N/A,0 / 0,N/A,,
M-CHAI,2022,6,3,29/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,1.,BANLOO SIRIPHANICH,N/A,0 / 0,N/A,,
M-CHAI,2022,6,3,29/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,2.,PONGPAT PATANAVANICH,N/A,0 / 0,N/A,,
M-CHAI,2022,6,3,29/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,3.,WINYOO EIAMSHERANGKOON,N/A,0 / 0,N/A,,
M-CHAI,2022,6,3,29/04/2022,No,Meeting Attendance of Goverance Committee,1.,CHUSAK VIJAKKHANA,N/A,0 / 0,N/A,,
M-CHAI,2022,6,3,29/04/2022,No,Meeting Attendance of Goverance Committee,2.,JADESADA HUNGSAPRUEK,N/A,0 / 0,N/A,,
M-CHAI,2022,6,3,29/04/2022,No,Meeting Attendance of Goverance Committee,3.,TEERADATE TANGDAJAHIRAN,N/A,0 / 0,N/A,,
M-CHAI,2023,6,4,27/04/2023,Yes,Meeting Attendance of the Board of Directors,1.,BANLOO SIRIPHANICH,N/A,6 / 6,100.00,Yes,
M-CHAI,2023,6,4,27/04/2023,Yes,Meeting Attendance of the Board of Directors,2.,PONGPAT PATANAVANICH,N/A,6 / 6,100.00,Yes,
M-CHAI,2023,6,4,27/04/2023,Yes,Meeting Attendance of the Board of Directors,3.,WINYOO EIAMSHERANGKOON,N/A,6 / 6,100.00,Yes,
M-CHAI,2023,6,4,27/04/2023,Yes,Meeting Attendance of the Board of Directors,4.,SITTA PITAKANNOP,N/A,5 / 6,83.33,Yes,
M-CHAI,2023,6,4,27/04/2023,Yes,Meeting Attendance of the Board of Directors,5.,ITTI CHANSIRIKANJANA,N/A,6 / 6,100.00,Yes,
M-CHAI,2023,6,4,27/04/2023,Yes,Meeting Attendance of the Board of Directors,6.,KONGTHANA SARIDVANICH,N/A,5 / 6,83.33,No,
M-CHAI,2023,6,4,27/04/2023,Yes,Meeting Attendance of the Board of Directors,7.,WANEE PRADITYONT,N/A,5 / 6,83.33,Yes,
M-CHAI,2023,6,4,27/04/2023,Yes,Meeting Attendance of the Board of Directors,8.,CHUSAK VIJAKKHANA,N/A,6 / 6,100.00,Yes,
M-CHAI,2023,6,4,27/04/2023,Yes,Meeting Attendance of the Board of Directors,9.,TEERADATE TANGDAJAHIRAN,N/A,5 / 6,83.33,Yes,
M-CHAI,2023,6,4,27/04/2023,Yes,Meeting Attendance of the Board of Directors,10.,JADESADA HUNGSAPRUEK,N/A,6 / 6,100.00,No,
M-CHAI,2023,6,4,27/04/2023,Yes,Meeting Attendance of the Board of Directors,11.,PUSSINEE WIRIYAWONGSE,N/A,6 / 6,100.00,Yes,
M-CHAI,2023,6,4,27/04/2023,Yes,Meeting Attendance of the Board of Directors,12.,SUWANNA CHOOPISANYAROD,N/A,5 / 6,83.33,Yes,
M-CHAI,2023,6,4,27/04/2023,Yes,Meeting Attendance of the Board of Directors,13.,NATHAMON EAMSHERANGKOON,N/A,6 / 6,100.00,Yes,
M-CHAI,2023,6,4,27/04/2023,Yes,Meeting Attendance of Audit Committee,1.,CHUSAK VIJAKKHANA,N/A,4 / 4,100.00,,
M-CHAI,2023,6,4,27/04/2023,Yes,Meeting Attendance of Audit Committee,2.,JADESADA HUNGSAPRUEK,N/A,4 / 4,100.00,,
M-CHAI,2023,6,4,27/04/2023,Yes,Meeting Attendance of Audit Committee,3.,TEERADATE TANGDAJAHIRAN,N/A,3 / 4,75.00,,
M-CHAI,2023,6,4,27/04/2023,Yes,Meeting Attendance of Executive Committee,1.,PONGPAT PATANAVANICH,N/A,N/A,N/A,,
M-CHAI,2023,6,4,27/04/2023,Yes,Meeting Attendance of Executive Committee,2.,WINYOO EIAMSHERANGKOON,N/A,N/A,N/A,,
