Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
MAJOR,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
MAJOR,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
MAJOR,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
MAJOR,2022,6,8,01/03/2023,No,Meeting Attendance of the Board of Directors,1.,VERAWAT ONGVASITH,N/A,6 / 6,100.00,Yes,
MAJOR,2022,6,8,01/03/2023,No,Meeting Attendance of the Board of Directors,2.,PARADEE POOLVARALUK,N/A,6 / 6,100.00,Yes,
MAJOR,2022,6,8,01/03/2023,No,Meeting Attendance of the Board of Directors,3.,CHAI JROONGTANAPIBARN,N/A,6 / 6,100.00,Yes,
MAJOR,2022,6,8,01/03/2023,No,Meeting Attendance of the Board of Directors,4.,THANAKORN PULIWEKIN,N/A,6 / 6,100.00,Yes,
MAJOR,2022,6,8,01/03/2023,No,Meeting Attendance of the Board of Directors,5.,SOMCHAINUK ENGTRAKUL,N/A,5 / 6,83.33,Yes,
MAJOR,2022,6,8,01/03/2023,No,Meeting Attendance of the Board of Directors,6.,VICHA POOLVARALUK,N/A,6 / 6,100.00,Yes,
MAJOR,2022,6,8,01/03/2023,No,Meeting Attendance of the Board of Directors,7.,SATIAN POOPRASERT,N/A,6 / 6,100.00,Yes,
MAJOR,2022,6,8,01/03/2023,No,Meeting Attendance of the Board of Directors,8.,KRAITHIP KRAIRIKSH,N/A,6 / 6,100.00,Yes,
MAJOR,2022,6,8,01/03/2023,No,Meeting Attendance of the Board of Directors,9.,PRASERT BUNSUMPUN,N/A,6 / 6,100.00,Yes,
MAJOR,2022,6,8,01/03/2023,No,Meeting Attendance of the Board of Directors,10.,CHONTICHA CHITRARPORN,N/A,6 / 6,100.00,Yes,
MAJOR,2022,6,8,01/03/2023,No,Meeting Attendance of the Board of Directors,11.,ORANUCH APISAKSIRIKUL,N/A,6 / 6,100.00,Yes,
MAJOR,2022,6,8,01/03/2023,No,Meeting Attendance of Audit Committee,1.,CHAI JROONGTANAPIBARN,N/A,8 / 8,100.00,,
MAJOR,2022,6,8,01/03/2023,No,Meeting Attendance of Audit Committee,2.,KRAITHIP KRAIRIKSH,N/A,8 / 8,100.00,,
MAJOR,2022,6,8,01/03/2023,No,Meeting Attendance of Audit Committee,3.,CHONTICHA CHITRARPORN,N/A,8 / 8,100.00,,
MAJOR,2022,6,8,01/03/2023,No,Meeting Attendance of Executive Committee,1.,VICHA POOLVARALUK,N/A,N/A,N/A,,
MAJOR,2022,6,8,01/03/2023,No,Meeting Attendance of Executive Committee,2.,PARADEE POOLVARALUK,N/A,N/A,N/A,,
MAJOR,2022,6,8,01/03/2023,No,Meeting Attendance of Executive Committee,3.,THANAKORN PULIWEKIN,N/A,N/A,N/A,,
MAJOR,2022,6,8,01/03/2023,No,Meeting Attendance of Executive Committee,4.,VERAWAT ONGVASITH,N/A,N/A,N/A,,
MAJOR,2022,6,8,01/03/2023,No,Meeting Attendance of Nomination and Compensation Committee,1.,KRAITHIP KRAIRIKSH,N/A,0 / 0,N/A,,
MAJOR,2022,6,8,01/03/2023,No,Meeting Attendance of Nomination and Compensation Committee,2.,CHAI JROONGTANAPIBARN,N/A,0 / 0,N/A,,
MAJOR,2022,6,8,01/03/2023,No,Meeting Attendance of Nomination and Compensation Committee,3.,VERAWAT ONGVASITH,N/A,0 / 0,N/A,,
MAJOR,2022,6,8,01/03/2023,No,Meeting Attendance of Risk Management Committee,1.,SATIAN POOPRASERT,N/A,0 / 0,N/A,,
MAJOR,2022,6,8,01/03/2023,No,Meeting Attendance of Risk Management Committee,2.,VERAWAT ONGVASITH,N/A,0 / 0,N/A,,
MAJOR,2022,6,8,01/03/2023,No,Meeting Attendance of Risk Management Committee,3.,CHONTICHA CHITRARPORN,N/A,0 / 0,N/A,,
MAJOR,2022,6,8,01/03/2023,No,Meeting Attendance of Risk Management Committee,4.,Visarut Poolvaraluk,N/A,0 / 0,N/A,,
MAJOR,2022,6,8,01/03/2023,No,Meeting Attendance of Risk Management Committee,5.,Thitapat Issarapornpat,N/A,0 / 0,N/A,,
MAJOR,2022,6,8,01/03/2023,No,Meeting Attendance of Risk Management Committee,6.,Nipon Sunthrajarn,N/A,0 / 0,N/A,,
MAJOR,2022,6,8,01/03/2023,No,Meeting Attendance of Risk Management Committee,7.,Apirak Vorachanonth,N/A,0 / 0,N/A,,
MAJOR,2022,6,8,01/03/2023,No,Meeting Attendance of Corporate Governance Committee,1.,CHONTICHA CHITRARPORN,N/A,0 / 0,N/A,,
MAJOR,2022,6,8,01/03/2023,No,Meeting Attendance of Corporate Governance Committee,2.,KRAITHIP KRAIRIKSH,N/A,0 / 0,N/A,,
MAJOR,2022,6,8,01/03/2023,No,Meeting Attendance of Corporate Governance Committee,3.,SATIAN POOPRASERT,N/A,0 / 0,N/A,,
MAJOR,2023,6,8,07/04/2023,No,Meeting Attendance of the Board of Directors,1.,PRASERT BUNSUMPUN,N/A,6 / 6,100.00,Yes,
MAJOR,2023,6,8,07/04/2023,No,Meeting Attendance of the Board of Directors,2.,PARADEE POOLVARALUK,N/A,6 / 6,100.00,Yes,
MAJOR,2023,6,8,07/04/2023,No,Meeting Attendance of the Board of Directors,3.,CHAI JROONGTANAPIBARN,N/A,6 / 6,100.00,Yes,
MAJOR,2023,6,8,07/04/2023,No,Meeting Attendance of the Board of Directors,4.,THANAKORN PULIWEKIN,N/A,6 / 6,100.00,Yes,
MAJOR,2023,6,8,07/04/2023,No,Meeting Attendance of the Board of Directors,5.,VICHA POOLVARALUK,N/A,6 / 6,100.00,Yes,
MAJOR,2023,6,8,07/04/2023,No,Meeting Attendance of the Board of Directors,6.,SOMCHAINUK ENGTRAKUL,N/A,6 / 6,100.00,Yes,
MAJOR,2023,6,8,07/04/2023,No,Meeting Attendance of the Board of Directors,7.,SATIAN POOPRASERT,N/A,6 / 6,100.00,Yes,
MAJOR,2023,6,8,07/04/2023,No,Meeting Attendance of the Board of Directors,8.,KRAITHIP KRAIRIKSH,N/A,6 / 6,100.00,Yes,
MAJOR,2023,6,8,07/04/2023,No,Meeting Attendance of the Board of Directors,9.,CHONTICHA CHITRARPORN,N/A,6 / 6,100.00,Yes,
MAJOR,2023,6,8,07/04/2023,No,Meeting Attendance of the Board of Directors,10.,ORANUCH APISAKSIRIKUL,N/A,5 / 6,83.33,Yes,
MAJOR,2023,6,8,07/04/2023,No,Meeting Attendance of the Board of Directors,11.,PAWATT ONGVASITH,N/A,6 / 6,100.00,Yes,
MAJOR,2023,6,8,07/04/2023,No,Meeting Attendance of Audit Committee,1.,CHAI JROONGTANAPIBARN,N/A,8 / 8,100.00,,
MAJOR,2023,6,8,07/04/2023,No,Meeting Attendance of Audit Committee,2.,KRAITHIP KRAIRIKSH,N/A,8 / 8,100.00,,
MAJOR,2023,6,8,07/04/2023,No,Meeting Attendance of Audit Committee,3.,CHONTICHA CHITRARPORN,N/A,8 / 8,100.00,,
MAJOR,2023,6,8,07/04/2023,No,Meeting Attendance of Executive Committee,1.,VICHA POOLVARALUK,N/A,N/A,N/A,,
MAJOR,2023,6,8,07/04/2023,No,Meeting Attendance of Executive Committee,2.,PARADEE POOLVARALUK,N/A,N/A,N/A,,
MAJOR,2023,6,8,07/04/2023,No,Meeting Attendance of Executive Committee,3.,THANAKORN PULIWEKIN,N/A,N/A,N/A,,
MAJOR,2023,6,8,07/04/2023,No,Meeting Attendance of Executive Committee,4.,VERAWAT ONGVASITH,N/A,N/A,N/A,,
MAJOR,2023,6,8,07/04/2023,No,Meeting Attendance of Risk Management Committee,1.,CHONTICHA CHITRARPORN,N/A,0 / 0,N/A,,
MAJOR,2023,6,8,07/04/2023,No,Meeting Attendance of Risk Management Committee,2.,SATIAN POOPRASERT,N/A,0 / 0,N/A,,
MAJOR,2023,6,8,07/04/2023,No,Meeting Attendance of Risk Management Committee,3.,PAWATT ONGVASITH,N/A,0 / 0,N/A,,
MAJOR,2023,6,8,07/04/2023,No,Meeting Attendance of Nomination and Compensation Committee,1.,CHAI JROONGTANAPIBARN,N/A,0 / 0,N/A,,
