Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
MALEE,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
MALEE,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
MALEE,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
MALEE,2022,5,4,27/04/2022,No,Meeting Attendance of the Board of Directors,1.,CHINTANA BOONYARAT,N/A,5 / 5,100.00,Yes,
MALEE,2022,5,4,27/04/2022,No,Meeting Attendance of the Board of Directors,2.,KITTI VILAIVARANGKUL,N/A,5 / 5,100.00,Yes,
MALEE,2022,5,4,27/04/2022,No,Meeting Attendance of the Board of Directors,3.,PICHAI CHIRATHIVAT,N/A,5 / 5,100.00,Yes,
MALEE,2022,5,4,27/04/2022,No,Meeting Attendance of the Board of Directors,4.,ROONGCHAT BOONYARAT,N/A,5 / 5,100.00,Yes,
MALEE,2022,5,4,27/04/2022,No,Meeting Attendance of the Board of Directors,5.,NART FONGSMUT,N/A,5 / 5,100.00,Yes,
MALEE,2022,5,4,27/04/2022,No,Meeting Attendance of the Board of Directors,6.,ARIN JIRA,N/A,5 / 5,100.00,Yes,
MALEE,2022,5,4,27/04/2022,No,Meeting Attendance of the Board of Directors,7.,ARNANT MAIPHUM,N/A,3 / 3,100.00,Yes,
MALEE,2022,5,4,27/04/2022,No,Meeting Attendance of the Board of Directors,8.,NATTHARIN TALTHONG,27/04/2022,2 / 2,100.00,Yes,
MALEE,2022,5,4,27/04/2022,No,Meeting Attendance of the Board of Directors,9.,SUPAVADEE TANTIYANON,27/04/2022,2 / 2,100.00,Yes,
MALEE,2022,5,4,27/04/2022,No,Meeting Attendance of Audit Committee,1.,ARIN JIRA,N/A,4 / 4,100.00,,
MALEE,2022,5,4,27/04/2022,No,Meeting Attendance of Audit Committee,2.,NART FONGSMUT,N/A,4 / 4,100.00,,
MALEE,2022,5,4,27/04/2022,No,Meeting Attendance of Audit Committee,3.,ARNANT MAIPHUM,N/A,2 / 2,100.00,,
MALEE,2022,5,4,27/04/2022,No,Meeting Attendance of Audit Committee,4.,NATTHARIN TALTHONG,27/04/2022,1 / 1,100.00,,
MALEE,2022,5,4,27/04/2022,No,Meeting Attendance of Executive Committee,,No Information,,,,,
MALEE,2022,5,4,27/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,1.,NART FONGSMUT,N/A,0 / 0,N/A,,
MALEE,2022,5,4,27/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,2.,ARNANT MAIPHUM,N/A,0 / 0,N/A,,
MALEE,2022,5,4,27/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,3.,ARIN JIRA,N/A,0 / 0,N/A,,
MALEE,2022,5,4,27/04/2022,No,Meeting Attendance of Risk Management Committee,1.,NART FONGSMUT,N/A,0 / 0,N/A,,
MALEE,2022,5,4,27/04/2022,No,Meeting Attendance of Risk Management Committee,2.,KITTI VILAIVARANGKUL,N/A,0 / 0,N/A,,
MALEE,2022,5,4,27/04/2022,No,Meeting Attendance of Risk Management Committee,3.,ARIN JIRA,N/A,0 / 0,N/A,,
MALEE,2022,5,4,27/04/2022,No,Meeting Attendance of Risk Management Committee,4.,ARNANT MAIPHUM,N/A,0 / 0,N/A,,
MALEE,2022,5,4,27/04/2022,No,Meeting Attendance of Audit Committee,1.,ARIN JIRA,N/A,0 / 0,N/A,,
MALEE,2022,5,4,27/04/2022,No,Meeting Attendance of Audit Committee,2.,NART FONGSMUT,N/A,0 / 0,N/A,,
