Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
MBK,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
MBK,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
MBK,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
MBK,2022,12,16,28/04/2022,Yes,Meeting Attendance of the Board of Directors,1.,BANTERNG TANTIVIT,N/A,12 / 12,100.00,Yes,
MBK,2022,12,16,28/04/2022,Yes,Meeting Attendance of the Board of Directors,2.,SUPHADEJ POONPIPAT,N/A,12 / 12,100.00,Yes,
MBK,2022,12,16,28/04/2022,Yes,Meeting Attendance of the Board of Directors,3.,KASAMA PUNYAGUPTA,N/A,12 / 12,100.00,Yes,
MBK,2022,12,16,28/04/2022,Yes,Meeting Attendance of the Board of Directors,4.,PRACHA JAIDEE,N/A,12 / 12,100.00,Yes,
MBK,2022,12,16,28/04/2022,Yes,Meeting Attendance of the Board of Directors,5.,SUWIT ROJANAVANICH,N/A,12 / 12,100.00,Yes,
MBK,2022,12,16,28/04/2022,Yes,Meeting Attendance of the Board of Directors,6.,PANIT PULSIRIVONG,N/A,12 / 12,100.00,Yes,
MBK,2022,12,16,28/04/2022,Yes,Meeting Attendance of the Board of Directors,7.,PIYAPHONG ARTMANGKORN,N/A,12 / 12,100.00,Yes,
MBK,2022,12,16,28/04/2022,Yes,Meeting Attendance of the Board of Directors,8.,SUVAIT THEERAVACHIRAKUL,N/A,12 / 12,100.00,Yes,
MBK,2022,12,16,28/04/2022,Yes,Meeting Attendance of the Board of Directors,9.,ATIPON TANTIVIT,N/A,12 / 12,100.00,Yes,
MBK,2022,12,16,28/04/2022,Yes,Meeting Attendance of the Board of Directors,10.,WICHAK PRADITAVANIJ,N/A,12 / 12,100.00,Yes,
MBK,2022,12,16,28/04/2022,Yes,Meeting Attendance of Audit Committee,1.,KASAMA PUNYAGUPTA,N/A,16 / 16,100.00,,
MBK,2022,12,16,28/04/2022,Yes,Meeting Attendance of Audit Committee,2.,PRACHA JAIDEE,N/A,16 / 16,100.00,,
MBK,2022,12,16,28/04/2022,Yes,Meeting Attendance of Audit Committee,3.,SUWIT ROJANAVANICH,N/A,16 / 16,100.00,,
MBK,2022,12,16,28/04/2022,Yes,Meeting Attendance of Executive Committee,1.,SUPHADEJ POONPIPAT,N/A,N/A,N/A,,
MBK,2022,12,16,28/04/2022,Yes,Meeting Attendance of Executive Committee,2.,SUVAIT THEERAVACHIRAKUL,N/A,N/A,N/A,,
MBK,2022,12,16,28/04/2022,Yes,Meeting Attendance of Executive Committee,3.,PIYAPHONG ARTMANGKORN,N/A,N/A,N/A,,
MBK,2022,12,16,28/04/2022,Yes,Meeting Attendance of Executive Committee,4.,ATIPON TANTIVIT,N/A,N/A,N/A,,
