Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
MCS,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
MCS,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
MCS,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
MCS,2022,5,4,07/04/2022,No,Meeting Attendance of the Board of Directors,1.,NAIYUAN CHI,N/A,5 / 5,100.00,Yes,
MCS,2022,5,4,07/04/2022,No,Meeting Attendance of the Board of Directors,2.,PHAIRAT VIWATBORVORNWONG,N/A,5 / 5,100.00,Yes,
MCS,2022,5,4,07/04/2022,No,Meeting Attendance of the Board of Directors,3.,TINAKORN SEEDASOMBOON,N/A,5 / 5,100.00,Yes,
MCS,2022,5,4,07/04/2022,No,Meeting Attendance of the Board of Directors,4.,TITIWAT KAMLANG-EK,N/A,5 / 5,100.00,Yes,
MCS,2022,5,4,07/04/2022,No,Meeting Attendance of the Board of Directors,5.,PORNCHAI PHISARNANUKUNKIT,N/A,5 / 5,100.00,Yes,
MCS,2022,5,4,07/04/2022,No,Meeting Attendance of the Board of Directors,6.,SUPOJ KAEWMANEE,N/A,5 / 5,100.00,Yes,
MCS,2022,5,4,07/04/2022,No,Meeting Attendance of the Board of Directors,7.,WANNA PHOLKAEW,N/A,5 / 5,100.00,Yes,
MCS,2022,5,4,07/04/2022,No,Meeting Attendance of the Board of Directors,8.,PENPRAPA VONGKOVIT,N/A,5 / 5,100.00,No,
MCS,2022,5,4,07/04/2022,No,Meeting Attendance of the Board of Directors,9.,HIDEO IWAKI,N/A,1 / 5,20.00,Yes,
MCS,2022,5,4,07/04/2022,No,Meeting Attendance of Audit Committee,1.,TITIWAT KAMLANG-EK,N/A,4 / 4,100.00,,
MCS,2022,5,4,07/04/2022,No,Meeting Attendance of Audit Committee,2.,TINAKORN SEEDASOMBOON,N/A,4 / 4,100.00,,
MCS,2022,5,4,07/04/2022,No,Meeting Attendance of Audit Committee,3.,SUPOJ KAEWMANEE,N/A,4 / 4,100.00,,
MCS,2022,5,4,07/04/2022,No,Meeting Attendance of Executive Committee,1.,WANNA PHOLKAEW,N/A,N/A,N/A,,
MCS,2022,5,4,07/04/2022,No,Meeting Attendance of Executive Committee,2.,PORNCHAI PHISARNANUKUNKIT,N/A,N/A,N/A,,
MCS,2022,5,4,07/04/2022,No,Meeting Attendance of Executive Committee,3.,PHAIRAT VIWATBORVORNWONG,N/A,N/A,N/A,,
MCS,2022,5,4,07/04/2022,No,Meeting Attendance of Executive Committee,4.,Mattawan Srisagda,N/A,N/A,N/A,,
MCS,2022,5,4,07/04/2022,No,Meeting Attendance of (3)	Nomination and Remuneration Committee,1.,PENPRAPA VONGKOVIT,N/A,0 / 0,N/A,,
MCS,2022,5,4,07/04/2022,No,Meeting Attendance of (3)	Nomination and Remuneration Committee,2.,TINAKORN SEEDASOMBOON,N/A,0 / 0,N/A,,
MCS,2022,5,4,07/04/2022,No,Meeting Attendance of (3)	Nomination and Remuneration Committee,3.,SUPOJ KAEWMANEE,N/A,0 / 0,N/A,,
MCS,2022,5,4,07/04/2022,No,Meeting Attendance of Risk Management Committee,1.,TINAKORN SEEDASOMBOON,N/A,0 / 0,N/A,,
MCS,2022,5,4,07/04/2022,No,Meeting Attendance of Risk Management Committee,2.,SUPOJ KAEWMANEE,N/A,0 / 0,N/A,,
MCS,2022,5,4,07/04/2022,No,Meeting Attendance of Risk Management Committee,3.,WANNA PHOLKAEW,N/A,0 / 0,N/A,,
MCS,2022,5,4,07/04/2022,No,Meeting Attendance of Risk Management Committee,4.,PHAIRAT VIWATBORVORNWONG,N/A,0 / 0,N/A,,
MCS,2023,9,4,17/04/2023,No,Meeting Attendance of the Board of Directors,1.,NAIYUAN CHI,N/A,9 / 9,100.00,Yes,
MCS,2023,9,4,17/04/2023,No,Meeting Attendance of the Board of Directors,2.,PHAIRAT VIWATBORVORNWONG,N/A,9 / 9,100.00,Yes,
MCS,2023,9,4,17/04/2023,No,Meeting Attendance of the Board of Directors,3.,TINAKORN SEEDASOMBOON,N/A,9 / 9,100.00,Yes,
MCS,2023,9,4,17/04/2023,No,Meeting Attendance of the Board of Directors,4.,TITIWAT KAMLANG-EK,N/A,9 / 9,100.00,Yes,
