Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
MENA,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
MENA,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
MENA,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
MENA,2022,11,6,20/04/2022,No,Meeting Attendance of the Board of Directors,1.,NOPPORN THEPSITHAR,N/A,10 / 11,90.91,Yes,
MENA,2022,11,6,20/04/2022,No,Meeting Attendance of the Board of Directors,2.,SUWANNA KAJONWUTTIDET,N/A,11 / 11,100.00,Yes,
MENA,2022,11,6,20/04/2022,No,Meeting Attendance of the Board of Directors,3.,NATHAPHON KAJONWUTTIDET,N/A,11 / 11,100.00,Yes,
MENA,2022,11,6,20/04/2022,No,Meeting Attendance of the Board of Directors,4.,WIBOON RASMEEPAISARN,N/A,11 / 11,100.00,Yes,
MENA,2022,11,6,20/04/2022,No,Meeting Attendance of the Board of Directors,5.,PICHAVARIN KAJONWUTTIDETPAT,N/A,11 / 11,100.00,Yes,
MENA,2022,11,6,20/04/2022,No,Meeting Attendance of the Board of Directors,6.,PATCHAREERAT KAJONWUTTIDETPAT,N/A,10 / 11,90.91,Yes,
MENA,2022,11,6,20/04/2022,No,Meeting Attendance of the Board of Directors,7.,ANAN LAPTHANANCHAIVONG,N/A,11 / 11,100.00,Yes,
MENA,2022,11,6,20/04/2022,No,Meeting Attendance of the Board of Directors,8.,CHAYANIN KAJONWUTTIDETPAT,N/A,9 / 11,81.82,Yes,
MENA,2022,11,6,20/04/2022,No,Meeting Attendance of Audit Committee,1.,WIBOON RASMEEPAISARN,N/A,6 / 6,100.00,,
MENA,2022,11,6,20/04/2022,No,Meeting Attendance of Audit Committee,2.,NOPPORN THEPSITHAR,N/A,5 / 6,83.33,,
MENA,2022,11,6,20/04/2022,No,Meeting Attendance of Audit Committee,3.,ANAN LAPTHANANCHAIVONG,N/A,6 / 6,100.00,,
MENA,2022,11,6,20/04/2022,No,Meeting Attendance of Executive Committee,1.,Chananpart  Meekieatkulthorn,N/A,N/A,N/A,,
MENA,2022,11,6,20/04/2022,No,Meeting Attendance of Executive Committee,2.,Thannaphat  Wongpraser,N/A,N/A,N/A,,
MENA,2022,11,6,20/04/2022,No,Meeting Attendance of Executive Committee,3.,SUWANNA KAJONWUTTIDET,N/A,N/A,N/A,,
MENA,2022,11,6,20/04/2022,No,Meeting Attendance of Executive Committee,4.,PATCHAREERAT KAJONWUTTIDETPAT,N/A,N/A,N/A,,
MENA,2022,11,6,20/04/2022,No,Meeting Attendance of Executive Committee,5.,Athikom Wongsongcha,N/A,N/A,N/A,,
MENA,2023,9,7,24/04/2023,No,Meeting Attendance of the Board of Directors,1.,NOPPORN THEPSITHAR,N/A,9 / 9,100.00,Yes,
MENA,2023,9,7,24/04/2023,No,Meeting Attendance of the Board of Directors,2.,NATHAPHON KAJONWUTTIDET,N/A,7 / 9,77.78,Yes,
MENA,2023,9,7,24/04/2023,No,Meeting Attendance of the Board of Directors,3.,SUWANNA KAJONWUTTIDET,N/A,9 / 9,100.00,Yes,
MENA,2023,9,7,24/04/2023,No,Meeting Attendance of the Board of Directors,4.,PATCHAREERAT KAJONWUTTIDETPAT,N/A,9 / 9,100.00,Yes,
MENA,2023,9,7,24/04/2023,No,Meeting Attendance of the Board of Directors,5.,PICHAVARIN KAJONWUTTIDETPAT,N/A,8 / 9,88.89,Yes,
MENA,2023,9,7,24/04/2023,No,Meeting Attendance of the Board of Directors,6.,WIBOON RASMEEPAISARN,N/A,9 / 9,100.00,Yes,
MENA,2023,9,7,24/04/2023,No,Meeting Attendance of the Board of Directors,7.,ANAN LAPTHANANCHAIVONG,N/A,9 / 9,100.00,Yes,
MENA,2023,9,7,24/04/2023,No,Meeting Attendance of the Board of Directors,8.,CHAYANIN KAJONWUTTIDETPAT,N/A,7 / 9,77.78,Yes,
MENA,2023,9,7,24/04/2023,No,Meeting Attendance of Audit Committee,1.,WIBOON RASMEEPAISARN,N/A,7 / 7,100.00,,
MENA,2023,9,7,24/04/2023,No,Meeting Attendance of Audit Committee,2.,NOPPORN THEPSITHAR,N/A,7 / 7,100.00,,
MENA,2023,9,7,24/04/2023,No,Meeting Attendance of Audit Committee,3.,ANAN LAPTHANANCHAIVONG,N/A,7 / 7,100.00,,
MENA,2023,9,7,24/04/2023,No,Meeting Attendance of Executive Committee,1.,Chananpart  Meekieatkulthorn,N/A,N/A,N/A,,
MENA,2023,9,7,24/04/2023,No,Meeting Attendance of Executive Committee,2.,Thannaphat  Wongpraser,N/A,N/A,N/A,,
MENA,2023,9,7,24/04/2023,No,Meeting Attendance of Executive Committee,3.,SUWANNA KAJONWUTTIDET,N/A,N/A,N/A,,
MENA,2023,9,7,24/04/2023,No,Meeting Attendance of Executive Committee,4.,PATCHAREERAT KAJONWUTTIDETPAT,N/A,N/A,N/A,,
MENA,2023,9,7,24/04/2023,No,Meeting Attendance of Executive Committee,5.,Kobchai  Chitcuresakulchon,N/A,N/A,N/A,,
MENA,2023,9,7,24/04/2023,No,Meeting Attendance of Executive Committee,6.,Worakamol  Sriduangmaneechai,N/A,N/A,N/A,,
MENA,2023,9,7,24/04/2023,No,Meeting Attendance of Executive Committee,7.,Natchaphak Kajonwuttidet,N/A,N/A,N/A,,
MENA,2024,8,8,23/04/2024,No,Meeting Attendance of the Board of Directors,1.,NOPPORN THEPSITHAR,N/A,8 / 8,100.00,1 / 1,
MENA,2024,8,8,23/04/2024,No,Meeting Attendance of the Board of Directors,2.,SUWANNA KAJONWUTTIDET,N/A,8 / 8,100.00,1 / 1,
MENA,2024,8,8,23/04/2024,No,Meeting Attendance of the Board of Directors,3.,NATHAPHON KAJONWUTTIDET,N/A,8 / 8,100.00,1 / 1,
MENA,2024,8,8,23/04/2024,No,Meeting Attendance of the Board of Directors,4.,WIBOON RASMEEPAISARN,N/A,8 / 8,100.00,1 / 1,
MENA,2024,8,8,23/04/2024,No,Meeting Attendance of the Board of Directors,5.,PICHAVARIN KAJONWUTTIDETPAT,N/A,8 / 8,100.00,1 / 1,
MENA,2024,8,8,23/04/2024,No,Meeting Attendance of the Board of Directors,6.,PATCHAREERAT KAJONWUTTIDETPAT,N/A,8 / 8,100.00,1 / 1,
MENA,2024,8,8,23/04/2024,No,Meeting Attendance of the Board of Directors,7.,ANAN LAPTHANANCHAIVONG,N/A,8 / 8,100.00,1 / 1,
MENA,2024,8,8,23/04/2024,No,Meeting Attendance of the Board of Directors,8.,CHAYANIN KAJONWUTTIDETPAT,N/A,8 / 8,100.00,1 / 1,
MENA,2024,8,8,23/04/2024,No,Meeting Attendance of Audit Committee,1.,WIBOON RASMEEPAISARN,N/A,8 / 8,100.00,,
MENA,2024,8,8,23/04/2024,No,Meeting Attendance of Audit Committee,2.,NOPPORN THEPSITHAR,N/A,8 / 8,100.00,,
MENA,2024,8,8,23/04/2024,No,Meeting Attendance of Audit Committee,3.,ANAN LAPTHANANCHAIVONG,N/A,8 / 8,100.00,,
MENA,2024,8,8,23/04/2024,No,Meeting Attendance of Executive Committee,1.,Chananpart  Meekieatkulthorn,N/A,4 / 4,100.00,,
