Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
META,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
META,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
META,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
META,2022,8,N/A,28/04/2022,No,Meeting Attendance of the Board of Directors,1.,MONGKOL RUNRIENGJAI,N/A,8 / 8,100.00,Yes,
META,2022,8,N/A,28/04/2022,No,Meeting Attendance of the Board of Directors,2.,SUPASIT POKINJARURAS,N/A,8 / 8,100.00,Yes,
META,2022,8,N/A,28/04/2022,No,Meeting Attendance of the Board of Directors,3.,AUNG THIHA,N/A,8 / 8,100.00,Yes,
META,2022,8,N/A,28/04/2022,No,Meeting Attendance of the Board of Directors,4.,SIDHINARD DUANGRATANA,N/A,8 / 8,100.00,Yes,
META,2022,8,N/A,28/04/2022,No,Meeting Attendance of the Board of Directors,5.,YAOWAROTE KLINBOON,N/A,6 / 8,75.00,No,
META,2022,8,N/A,28/04/2022,No,Meeting Attendance of the Board of Directors,6.,SWANG MASAGEE,N/A,8 / 8,100.00,Yes,
META,2022,8,N/A,28/04/2022,No,Meeting Attendance of the Board of Directors,7.,PRUITIPONG THAICHAM,N/A,8 / 8,100.00,Yes,
META,2022,8,N/A,28/04/2022,No,Meeting Attendance of the Board of Directors,8.,SUPATAT CHINDAVANICH,N/A,2 / 2,100.00,No,
META,2022,8,N/A,28/04/2022,No,Meeting Attendance of the Board of Directors,9.,PIWAT CHAIYANUKIJ,N/A,2 / 2,100.00,No,
META,2022,8,N/A,28/04/2022,No,Meeting Attendance of the Board of Directors,10.,CHANON WANGTAL,01/10/2022,5 / 5,100.00,Yes,
META,2022,8,N/A,28/04/2022,No,Meeting Attendance of the Board of Directors,11.,KRITSADA PRUITIPAT,16/08/2022,3 / 4,75.00,Yes,
META,2022,8,N/A,28/04/2022,No,Meeting Attendance of Audit Committee,1.,SIDHINARD DUANGRATANA,N/A,7 / 7,100.00,,
META,2022,8,N/A,28/04/2022,No,Meeting Attendance of Audit Committee,2.,YAOWAROTE KLINBOON,N/A,6 / 7,85.71,,
META,2022,8,N/A,28/04/2022,No,Meeting Attendance of Audit Committee,3.,PIWAT CHAIYANUKIJ,N/A,1 / 1,100.00,,
META,2022,8,N/A,28/04/2022,No,Meeting Attendance of Audit Committee,4.,KRITSADA PRUITIPAT,16/08/2022,3 / 4,75.00,,
META,2022,8,N/A,28/04/2022,No,Meeting Attendance of Executive Committee,,No Information,,,,,
META,2022,8,N/A,28/04/2022,No,Meeting Attendance of Risk Management committee,1.,PIWAT CHAIYANUKIJ,N/A,0 / 0,N/A,,
META,2022,8,N/A,28/04/2022,No,Meeting Attendance of Risk Management committee,2.,AUNG THIHA,N/A,0 / 0,N/A,,
META,2022,8,N/A,28/04/2022,No,Meeting Attendance of Risk Management committee,3.,SUPATAT CHINDAVANICH,N/A,0 / 0,N/A,,
META,2022,8,N/A,28/04/2022,No,Meeting Attendance of Nomination and Remuneration committee,1.,MONGKOL RUNRIENGJAI,N/A,0 / 0,N/A,,
META,2022,8,N/A,28/04/2022,No,Meeting Attendance of Nomination and Remuneration committee,2.,SWANG MASAGEE,N/A,0 / 0,N/A,,
META,2022,8,N/A,28/04/2022,No,Meeting Attendance of Nomination and Remuneration committee,3.,PRUITIPONG THAICHAM,N/A,0 / 0,N/A,,
META,2023,12,4,28/04/2023,No,Meeting Attendance of the Board of Directors,1.,MONGKOL RUNRIENGJAI,N/A,12 / 12,100.00,Yes,
META,2023,12,4,28/04/2023,No,Meeting Attendance of the Board of Directors,2.,YAOWAROTE KLINBOON,N/A,11 / 12,91.67,Yes,
META,2023,12,4,28/04/2023,No,Meeting Attendance of the Board of Directors,3.,AUNG THIHA,N/A,11 / 12,91.67,Yes,
META,2023,12,4,28/04/2023,No,Meeting Attendance of the Board of Directors,4.,SIDHINARD DUANGRATANA,N/A,11 / 12,91.67,Yes,
META,2023,12,4,28/04/2023,No,Meeting Attendance of the Board of Directors,5.,SWANG MASAGEE,N/A,10 / 12,83.33,Yes,
META,2023,12,4,28/04/2023,No,Meeting Attendance of the Board of Directors,6.,PRUITIPONG THAICHAM,N/A,12 / 12,100.00,Yes,
META,2023,12,4,28/04/2023,No,Meeting Attendance of the Board of Directors,7.,SUPATAT CHINDAVANICH,N/A,12 / 12,100.00,Yes,
META,2023,12,4,28/04/2023,No,Meeting Attendance of the Board of Directors,8.,PIWAT CHAIYANUKIJ,N/A,12 / 12,100.00,Yes,
META,2023,12,4,28/04/2023,No,Meeting Attendance of the Board of Directors,9.,PONGKRIT SOONTRARACHOON,N/A,0 / 0,N/A,No,
META,2023,12,4,28/04/2023,No,Meeting Attendance of Audit Committee,1.,SIDHINARD DUANGRATANA,N/A,4 / 4,100.00,,
META,2023,12,4,28/04/2023,No,Meeting Attendance of Audit Committee,2.,YAOWAROTE KLINBOON,N/A,3 / 4,75.00,,
META,2023,12,4,28/04/2023,No,Meeting Attendance of Audit Committee,3.,PIWAT CHAIYANUKIJ,N/A,4 / 4,100.00,,
META,2023,12,4,28/04/2023,No,Meeting Attendance of Executive Committee,,No Information,,,,,
META,2023,12,4,28/04/2023,No,Meeting Attendance of Risk Management committee,1.,PIWAT CHAIYANUKIJ,N/A,0 / 0,N/A,,
META,2023,12,4,28/04/2023,No,Meeting Attendance of Risk Management committee,2.,AUNG THIHA,N/A,0 / 0,N/A,,
META,2023,12,4,28/04/2023,No,Meeting Attendance of Risk Management committee,3.,SUPATAT CHINDAVANICH,N/A,0 / 0,N/A,,
META,2023,12,4,28/04/2023,No,Meeting Attendance of Nomination and Remuneration committee,1.,MONGKOL RUNRIENGJAI,N/A,0 / 0,N/A,,
META,2023,12,4,28/04/2023,No,Meeting Attendance of Nomination and Remuneration committee,2.,SWANG MASAGEE,N/A,0 / 0,N/A,,
META,2023,12,4,28/04/2023,No,Meeting Attendance of Nomination and Remuneration committee,3.,PIWAT CHAIYANUKIJ,N/A,0 / 0,N/A,,
META,2024,11,5,29/04/2024,No,Meeting Attendance of the Board of Directors,1.,MONGKOL RUNRIENGJAI,N/A,11 / 11,100.00,Yes,
META,2024,11,5,29/04/2024,No,Meeting Attendance of the Board of Directors,2.,SUPATAT CHINDAVANICH,N/A,11 / 11,100.00,Yes,
META,2024,11,5,29/04/2024,No,Meeting Attendance of the Board of Directors,3.,AUNG THIHA,N/A,7 / 11,63.64,Yes,
META,2024,11,5,29/04/2024,No,Meeting Attendance of the Board of Directors,4.,YAOWAROTE KLINBOON,N/A,11 / 11,100.00,Yes,
META,2024,11,5,29/04/2024,No,Meeting Attendance of the Board of Directors,5.,SIDHINARD DUANGRATANA,N/A,11 / 11,100.00,Yes,
META,2024,11,5,29/04/2024,No,Meeting Attendance of the Board of Directors,6.,PIWAT CHAIYANUKIJ,N/A,11 / 11,100.00,Yes,
META,2024,11,5,29/04/2024,No,Meeting Attendance of the Board of Directors,7.,PRUITIPONG THAICHAM,N/A,11 / 11,100.00,Yes,
META,2024,11,5,29/04/2024,No,Meeting Attendance of the Board of Directors,8.,PONGKRIT SOONTRARACHOON,N/A,9 / 9,100.00,Yes,
META,2024,11,5,29/04/2024,No,Meeting Attendance of the Board of Directors,9.,SWANG MASAGEE,20/11/2024,9 / 10,90.00,Yes,
META,2024,11,5,29/04/2024,No,Meeting Attendance of Audit Committee,1.,SIDHINARD DUANGRATANA,N/A,5 / 5,100.00,,
META,2024,11,5,29/04/2024,No,Meeting Attendance of Audit Committee,2.,YAOWAROTE KLINBOON,N/A,4 / 5,80.00,,
META,2024,11,5,29/04/2024,No,Meeting Attendance of Audit Committee,3.,PIWAT CHAIYANUKIJ,N/A,5 / 5,100.00,,
META,2024,11,5,29/04/2024,No,Meeting Attendance of Executive Committee,,No Information,,,,,
META,2024,11,5,29/04/2024,No,Meeting Attendance of Risk Management committee,1.,PIWAT CHAIYANUKIJ,N/A,0 / 0,N/A,,
META,2024,11,5,29/04/2024,No,Meeting Attendance of Risk Management committee,2.,AUNG THIHA,N/A,0 / 0,N/A,,
META,2024,11,5,29/04/2024,No,Meeting Attendance of Risk Management committee,3.,SUPATAT CHINDAVANICH,N/A,0 / 0,N/A,,
