Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
METCO,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
METCO,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
METCO,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
METCO,2022,4,4,27/01/2023,No,Meeting Attendance of the Board of Directors,1.,Yoichi Muramoto,N/A,4 / 4,100.00,Yes,
METCO,2022,4,4,27/01/2023,No,Meeting Attendance of the Board of Directors,2.,Shinichiro Yamamoto,N/A,4 / 4,100.00,Yes,
METCO,2022,4,4,27/01/2023,No,Meeting Attendance of the Board of Directors,3.,Ichiro Nishimura,N/A,4 / 4,100.00,Yes,
METCO,2022,4,4,27/01/2023,No,Meeting Attendance of the Board of Directors,4.,Tatsuya Awazu,N/A,4 / 4,100.00,Yes,
METCO,2022,4,4,27/01/2023,No,Meeting Attendance of the Board of Directors,5.,Wanchai Umpungart,N/A,4 / 4,100.00,Yes,
METCO,2022,4,4,27/01/2023,No,Meeting Attendance of the Board of Directors,6.,Nop Rojanavanich,N/A,4 / 4,100.00,Yes,
METCO,2022,4,4,27/01/2023,No,Meeting Attendance of the Board of Directors,7.,Wongtipa Bunnag,N/A,4 / 4,100.00,Yes,
METCO,2022,4,4,27/01/2023,No,Meeting Attendance of Audit Committee,1.,Wanchai Umpungart,N/A,4 / 4,100.00,,
METCO,2022,4,4,27/01/2023,No,Meeting Attendance of Audit Committee,2.,Nop Rojanavanich,N/A,4 / 4,100.00,,
METCO,2022,4,4,27/01/2023,No,Meeting Attendance of Audit Committee,3.,Wongtipa Bunnag,N/A,4 / 4,100.00,,
METCO,2022,4,4,27/01/2023,No,Meeting Attendance of Executive Committee,1.,SHIGERU TAKAMATSU,N/A,N/A,N/A,,
METCO,2022,4,4,27/01/2023,No,Meeting Attendance of Executive Committee,2.,Yoichi Muramoto,N/A,N/A,N/A,,
METCO,2022,4,4,27/01/2023,No,Meeting Attendance of Executive Committee,3.,Tatsuya Awazu,N/A,N/A,N/A,,
METCO,2022,4,4,27/01/2023,No,Meeting Attendance of Executive Committee,4.,Shinichiro Yamamoto,N/A,N/A,N/A,,
METCO,2022,4,4,27/01/2023,No,Meeting Attendance of Executive Committee,5.,Yuji Kanke,N/A,N/A,N/A,,
METCO,2022,4,4,27/01/2023,No,Meeting Attendance of Executive Committee,6.,Ichiro Nishimura,N/A,N/A,N/A,,
METCO,2022,4,4,27/01/2023,No,Meeting Attendance of Good Corporate Governance Committee,1.,Yoichi Muramoto,N/A,0 / 0,N/A,,
METCO,2022,4,4,27/01/2023,No,Meeting Attendance of Good Corporate Governance Committee,2.,Shinichiro Yamamoto,N/A,0 / 0,N/A,,
METCO,2022,4,4,27/01/2023,No,Meeting Attendance of Good Corporate Governance Committee,3.,Tatsuya Awazu,N/A,0 / 0,N/A,,
METCO,2022,4,4,27/01/2023,No,Meeting Attendance of Good Corporate Governance Committee,4.,Ichiro Nishimura,N/A,0 / 0,N/A,,
METCO,2022,4,4,27/01/2023,No,Meeting Attendance of Good Corporate Governance Committee,5.,Yusuke Nakatani,N/A,0 / 0,N/A,,
METCO,2022,4,4,27/01/2023,No,Meeting Attendance of Good Corporate Governance Committee,6.,Wanchai Umpungart,N/A,0 / 0,N/A,,
METCO,2022,4,4,27/01/2023,No,Meeting Attendance of Good Corporate Governance Committee,7.,Nop Rojanavanich,N/A,0 / 0,N/A,,
METCO,2022,4,4,27/01/2023,No,Meeting Attendance of Good Corporate Governance Committee,8.,Wongtipa Bunnag,N/A,0 / 0,N/A,,
METCO,2022,4,4,27/01/2023,No,Meeting Attendance of Nomination Committee,1.,Wanchai Umpungart,N/A,0 / 0,N/A,,
METCO,2022,4,4,27/01/2023,No,Meeting Attendance of Nomination Committee,2.,Nop Rojanavanich,N/A,0 / 0,N/A,,
METCO,2022,4,4,27/01/2023,No,Meeting Attendance of Nomination Committee,3.,Wongtipa Bunnag,N/A,0 / 0,N/A,,
METCO,2022,4,4,27/01/2023,No,Meeting Attendance of Nomination Committee,4.,Ichiro Nishimura,N/A,0 / 0,N/A,,
METCO,2022,4,4,27/01/2023,No,Meeting Attendance of Remuneration Committee,1.,Yoichi Muramoto,N/A,0 / 0,N/A,,
METCO,2022,4,4,27/01/2023,No,Meeting Attendance of Remuneration Committee,2.,Shinichiro Yamamoto,N/A,0 / 0,N/A,,
METCO,2022,4,4,27/01/2023,No,Meeting Attendance of Remuneration Committee,3.,Ichiro Nishimura,N/A,0 / 0,N/A,,
METCO,2022,4,4,27/01/2023,No,Meeting Attendance of Risk Management Committee,1.,Shinichiro Yamamoto,N/A,0 / 0,N/A,,
METCO,2022,4,4,27/01/2023,No,Meeting Attendance of Risk Management Committee,2.,Ichiro Nishimura,N/A,0 / 0,N/A,,
METCO,2022,4,4,27/01/2023,No,Meeting Attendance of Risk Management Committee,3.,Tatsuya Awazu,N/A,0 / 0,N/A,,
METCO,2023,4,4,27/01/2023,No,Meeting Attendance of the Board of Directors,1.,YOICHI MURAMOTO,N/A,3 / 4,75.00,Yes,
METCO,2023,4,4,27/01/2023,No,Meeting Attendance of the Board of Directors,2.,WANCHAI UMPUNG-ART,N/A,4 / 4,100.00,Yes,
METCO,2023,4,4,27/01/2023,No,Meeting Attendance of the Board of Directors,3.,NOP ROJANAVANICH,N/A,4 / 4,100.00,Yes,
METCO,2023,4,4,27/01/2023,No,Meeting Attendance of the Board of Directors,4.,ICHIRO NISHIMURA,N/A,4 / 4,100.00,Yes,
METCO,2023,4,4,27/01/2023,No,Meeting Attendance of the Board of Directors,5.,TATSUYA AWAZU,N/A,4 / 4,100.00,Yes,
METCO,2023,4,4,27/01/2023,No,Meeting Attendance of the Board of Directors,6.,WONGTIPA BUNNAG,N/A,4 / 4,100.00,Yes,
METCO,2023,4,4,27/01/2023,No,Meeting Attendance of the Board of Directors,7.,SHINICHIRO YAMAMOTO,N/A,4 / 4,100.00,Yes,
METCO,2023,4,4,27/01/2023,No,Meeting Attendance of Audit Committee,1.,WANCHAI UMPUNG-ART,N/A,4 / 4,100.00,,
METCO,2023,4,4,27/01/2023,No,Meeting Attendance of Audit Committee,2.,NOP ROJANAVANICH,N/A,4 / 4,100.00,,
METCO,2023,4,4,27/01/2023,No,Meeting Attendance of Audit Committee,3.,WONGTIPA BUNNAG,N/A,4 / 4,100.00,,
METCO,2023,4,4,27/01/2023,No,Meeting Attendance of Executive Committee,1.,YOICHI MURAMOTO,N/A,N/A,N/A,,
METCO,2023,4,4,27/01/2023,No,Meeting Attendance of Executive Committee,2.,SHINICHIRO YAMAMOTO,N/A,N/A,N/A,,
METCO,2023,4,4,27/01/2023,No,Meeting Attendance of Executive Committee,3.,ICHIRO NISHIMURA,N/A,N/A,N/A,,
METCO,2023,4,4,27/01/2023,No,Meeting Attendance of Executive Committee,4.,TATSUYA AWAZU,N/A,N/A,N/A,,
METCO,2023,4,4,27/01/2023,No,Meeting Attendance of Executive Committee,5.,Shigeru Takamatsu,N/A,N/A,N/A,,
METCO,2023,4,4,27/01/2023,No,Meeting Attendance of Audit Committee,1.,WANCHAI UMPUNG-ART,N/A,0 / 0,N/A,,
METCO,2023,4,4,27/01/2023,No,Meeting Attendance of Audit Committee,2.,NOP ROJANAVANICH,N/A,0 / 0,N/A,,
METCO,2023,4,4,27/01/2023,No,Meeting Attendance of Audit Committee,3.,WONGTIPA BUNNAG,N/A,0 / 0,N/A,,
METCO,2023,4,4,27/01/2023,No,Meeting Attendance of Good Corporate Governance Committee,1.,YOICHI MURAMOTO,N/A,0 / 0,N/A,,
METCO,2023,4,4,27/01/2023,No,Meeting Attendance of Good Corporate Governance Committee,2.,SHINICHIRO YAMAMOTO,N/A,0 / 0,N/A,,
METCO,2023,4,4,27/01/2023,No,Meeting Attendance of Good Corporate Governance Committee,3.,ICHIRO NISHIMURA,N/A,0 / 0,N/A,,
METCO,2023,4,4,27/01/2023,No,Meeting Attendance of Good Corporate Governance Committee,4.,TATSUYA AWAZU,N/A,0 / 0,N/A,,
METCO,2023,4,4,27/01/2023,No,Meeting Attendance of Good Corporate Governance Committee,5.,WANCHAI UMPUNG-ART,N/A,0 / 0,N/A,,
METCO,2023,4,4,27/01/2023,No,Meeting Attendance of Good Corporate Governance Committee,6.,NOP ROJANAVANICH,N/A,0 / 0,N/A,,
METCO,2023,4,4,27/01/2023,No,Meeting Attendance of Good Corporate Governance Committee,7.,WONGTIPA BUNNAG,N/A,0 / 0,N/A,,
METCO,2023,4,4,27/01/2023,No,Meeting Attendance of Nomination Committee,1.,WANCHAI UMPUNG-ART,N/A,0 / 0,N/A,,
METCO,2023,4,4,27/01/2023,No,Meeting Attendance of Nomination Committee,2.,NOP ROJANAVANICH,N/A,0 / 0,N/A,,
METCO,2023,4,4,27/01/2023,No,Meeting Attendance of Nomination Committee,3.,WONGTIPA BUNNAG,N/A,0 / 0,N/A,,
METCO,2023,4,4,27/01/2023,No,Meeting Attendance of Nomination Committee,4.,ICHIRO NISHIMURA,N/A,0 / 0,N/A,,
METCO,2023,4,4,27/01/2023,No,Meeting Attendance of Remuneration Committee,1.,YOICHI MURAMOTO,N/A,0 / 0,N/A,,
METCO,2023,4,4,27/01/2023,No,Meeting Attendance of Remuneration Committee,2.,SHINICHIRO YAMAMOTO,N/A,0 / 0,N/A,,
METCO,2023,4,4,27/01/2023,No,Meeting Attendance of Remuneration Committee,3.,ICHIRO NISHIMURA,N/A,0 / 0,N/A,,
METCO,2023,4,4,27/01/2023,No,Meeting Attendance of Risk Management Committee,1.,SHINICHIRO YAMAMOTO,N/A,0 / 0,N/A,,
METCO,2023,4,4,27/01/2023,No,Meeting Attendance of Risk Management Committee,2.,ICHIRO NISHIMURA,N/A,0 / 0,N/A,,
