Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
MGC,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
MGC,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
MGC,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
MGC,2022,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
MGC,2022,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
MGC,2022,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
MGC,2023,7,12,07/04/2023,No,Meeting Attendance of the Board of Directors,1.,PACHARA YUTIDHAMMADAMRONG,N/A,7 / 7,100.00,Yes,
MGC,2023,7,12,07/04/2023,No,Meeting Attendance of the Board of Directors,2.,RATANA THAMCHUANVIRIYA,N/A,7 / 7,100.00,Yes,
MGC,2023,7,12,07/04/2023,No,Meeting Attendance of the Board of Directors,3.,JERDNAPANG THAMCHUANVIRIYA,N/A,7 / 7,100.00,Yes,
MGC,2023,7,12,07/04/2023,No,Meeting Attendance of the Board of Directors,4.,SUKOLKARN THAMCHUANVIRIYA,N/A,6 / 7,85.71,Yes,
MGC,2023,7,12,07/04/2023,No,Meeting Attendance of the Board of Directors,5.,SUNHAVUT THAMCHUANVIRIYA,N/A,7 / 7,100.00,Yes,
MGC,2023,7,12,07/04/2023,No,Meeting Attendance of the Board of Directors,6.,YOL PHOKASUB,N/A,7 / 7,100.00,No,
MGC,2023,7,12,07/04/2023,No,Meeting Attendance of the Board of Directors,7.,KRISNA POLANANTA,N/A,7 / 7,100.00,No,
MGC,2023,7,12,07/04/2023,No,Meeting Attendance of the Board of Directors,8.,PINIJSORN LUECHAIKAJOHNPAN,N/A,7 / 7,100.00,No,
MGC,2023,7,12,07/04/2023,No,Meeting Attendance of the Board of Directors,9.,VASANT THIENHOM,N/A,7 / 7,100.00,No,
MGC,2023,7,12,07/04/2023,No,Meeting Attendance of the Board of Directors,10.,CHAIWAT GETVORACHAI,N/A,7 / 7,100.00,No,
MGC,2023,7,12,07/04/2023,No,Meeting Attendance of the Board of Directors,11.,WIRAT SIRIKAJORNKIJ,N/A,7 / 7,100.00,No,
MGC,2023,7,12,07/04/2023,No,Meeting Attendance of the Board of Directors,12.,ASA PIYARAT,N/A,7 / 7,100.00,Yes,
MGC,2023,7,12,07/04/2023,No,Meeting Attendance of the Board of Directors,13.,SOMPRAJ BOSUWAN,N/A,7 / 7,100.00,Yes,
MGC,2023,7,12,07/04/2023,No,Meeting Attendance of Audit Committee,1.,WIRAT SIRIKAJORNKIJ,N/A,12 / 12,100.00,,
MGC,2023,7,12,07/04/2023,No,Meeting Attendance of Audit Committee,2.,VASANT THIENHOM,N/A,12 / 12,100.00,,
MGC,2023,7,12,07/04/2023,No,Meeting Attendance of Audit Committee,3.,PINIJSORN LUECHAIKAJOHNPAN,N/A,12 / 12,100.00,,
MGC,2023,7,12,07/04/2023,No,Meeting Attendance of Executive Committee,1.,JERDNAPANG THAMCHUANVIRIYA,N/A,N/A,N/A,,
MGC,2023,7,12,07/04/2023,No,Meeting Attendance of Executive Committee,2.,SUNHAVUT THAMCHUANVIRIYA,N/A,N/A,N/A,,
MGC,2023,7,12,07/04/2023,No,Meeting Attendance of Executive Committee,3.,SUKOLKARN THAMCHUANVIRIYA,N/A,N/A,N/A,,
MGC,2023,7,12,07/04/2023,No,Meeting Attendance of Executive Committee,4.,SOMPRAJ BOSUWAN,N/A,N/A,N/A,,
MGC,2023,7,12,07/04/2023,No,Meeting Attendance of Executive Committee,5.,ASA PIYARAT,N/A,N/A,N/A,,
