Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
MIDA,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
MIDA,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
MIDA,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
MIDA,2022,20,7,28/04/2022,No,Meeting Attendance of the Board of Directors,1.,WISOOD IEOSIVIKUL,N/A,17 / 20,85.00,Yes,
MIDA,2022,20,7,28/04/2022,No,Meeting Attendance of the Board of Directors,2.,SOMSAK SAKSUTHAPORN,N/A,20 / 20,100.00,Yes,
MIDA,2022,20,7,28/04/2022,No,Meeting Attendance of the Board of Directors,3.,ROONGRAWEE IAMPONGPAITOON,N/A,18 / 20,90.00,Yes,
MIDA,2022,20,7,28/04/2022,No,Meeting Attendance of the Board of Directors,4.,AKACHAI IEOSIVIKUL,N/A,17 / 20,85.00,Yes,
MIDA,2022,20,7,28/04/2022,No,Meeting Attendance of the Board of Directors,5.,PHISOOT SUKSANGTIP,N/A,19 / 20,95.00,Yes,
MIDA,2022,20,7,28/04/2022,No,Meeting Attendance of the Board of Directors,6.,SORASAK IEOSIVIKUL,N/A,19 / 20,95.00,Yes,
MIDA,2022,20,7,28/04/2022,No,Meeting Attendance of the Board of Directors,7.,MONGKOL SUNTHITIWITOON,N/A,19 / 20,95.00,No,
MIDA,2022,20,7,28/04/2022,No,Meeting Attendance of the Board of Directors,8.,NUCHJARIN ROOPSOM,N/A,19 / 20,95.00,Yes,
MIDA,2022,20,7,28/04/2022,No,Meeting Attendance of Audit Committee,1.,MONGKOL SUNTHITIWITOON,N/A,7 / 7,100.00,,
MIDA,2022,20,7,28/04/2022,No,Meeting Attendance of Audit Committee,2.,PHISOOT SUKSANGTIP,N/A,7 / 7,100.00,,
MIDA,2022,20,7,28/04/2022,No,Meeting Attendance of Audit Committee,3.,NUCHJARIN ROOPSOM,N/A,7 / 7,100.00,,
MIDA,2022,20,7,28/04/2022,No,Meeting Attendance of Executive Committee,,No Information,,,,,
MIDA,2023,21,6,27/04/2023,No,Meeting Attendance of the Board of Directors,1.,WISOOD IEOSIVIKUL,N/A,21 / 21,100.00,Yes,
MIDA,2023,21,6,27/04/2023,No,Meeting Attendance of the Board of Directors,2.,SOMSAK SAKSUTHAPORN,N/A,21 / 21,100.00,Yes,
MIDA,2023,21,6,27/04/2023,No,Meeting Attendance of the Board of Directors,3.,ROONGRAWEE IAMPONGPAITOON,N/A,21 / 21,100.00,Yes,
