Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
MINT,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
MINT,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
MINT,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
MINT,2022,6,4,22/04/2022,No,Meeting Attendance of the Board of Directors,1.,William Ellwood Heinecke,N/A,6 / 6,100.00,Yes,
MINT,2022,6,4,22/04/2022,No,Meeting Attendance of the Board of Directors,2.,Suvabha Charoenying,N/A,6 / 6,100.00,Yes,
MINT,2022,6,4,22/04/2022,No,Meeting Attendance of the Board of Directors,3.,Charamporn Jotikasthira,N/A,6 / 6,100.00,Yes,
MINT,2022,6,4,22/04/2022,No,Meeting Attendance of the Board of Directors,4.,Camille Ma,N/A,6 / 6,100.00,Yes,
MINT,2022,6,4,22/04/2022,No,Meeting Attendance of the Board of Directors,5.,Michael David Selby,N/A,3 / 4,75.00,No,
MINT,2022,6,4,22/04/2022,No,Meeting Attendance of the Board of Directors,6.,Thiraphong Chansiri,N/A,6 / 6,100.00,No,
MINT,2022,6,4,22/04/2022,No,Meeting Attendance of the Board of Directors,7.,Niti Osathanugrah,N/A,6 / 6,100.00,Yes,
MINT,2022,6,4,22/04/2022,No,Meeting Attendance of the Board of Directors,8.,John Scott  Heinecke,N/A,6 / 6,100.00,Yes,
MINT,2022,6,4,22/04/2022,No,Meeting Attendance of the Board of Directors,9.,Emmanuel Jude Dillipraj Rajakarier,N/A,6 / 6,100.00,Yes,
MINT,2022,6,4,22/04/2022,No,Meeting Attendance of the Board of Directors,10.,Anhul  Chauhan,N/A,5 / 5,100.00,Yes,
MINT,2022,6,4,22/04/2022,No,Meeting Attendance of the Board of Directors,11.,Paul Charles Kenny,22/04/2022,1 / 1,100.00,No,
MINT,2022,6,4,22/04/2022,No,Meeting Attendance of the Board of Directors,12.,Anil Thadani,28/11/2022,3 / 6,50.00,Yes,
MINT,2022,6,4,22/04/2022,No,Meeting Attendance of the Board of Directors,13.,Edward Keith Hubennette,27/04/2022,1 / 1,100.00,No,
MINT,2022,6,4,22/04/2022,No,Meeting Attendance of Audit Committee,1.,Suvabha Charoenying,N/A,4 / 4,100.00,,
MINT,2022,6,4,22/04/2022,No,Meeting Attendance of Audit Committee,2.,Charamporn Jotikasthira,N/A,4 / 4,100.00,,
MINT,2022,6,4,22/04/2022,No,Meeting Attendance of Audit Committee,3.,Camille Ma,N/A,4 / 4,100.00,,
MINT,2022,6,4,22/04/2022,No,Meeting Attendance of Executive Committee,,No Information,,,,,
MINT,2022,6,4,22/04/2022,No,Meeting Attendance of Compensation Committee,1.,Camille Ma,N/A,0 / 0,N/A,,
MINT,2022,6,4,22/04/2022,No,Meeting Attendance of Compensation Committee,2.,Charamporn Jotikasthira,N/A,0 / 0,N/A,,
MINT,2022,6,4,22/04/2022,No,Meeting Attendance of Compensation Committee,3.,Suvabha Charoenying,N/A,0 / 0,N/A,,
MINT,2022,6,4,22/04/2022,No,Meeting Attendance of Compensation Committee,4.,Thiraphong Chansiri,N/A,0 / 0,N/A,,
MINT,2022,6,4,22/04/2022,No,Meeting Attendance of Nominating and Corporate Governance Committee,1.,Suvabha Charoenying,N/A,0 / 0,N/A,,
MINT,2022,6,4,22/04/2022,No,Meeting Attendance of Nominating and Corporate Governance Committee,2.,Charamporn Jotikasthira,N/A,0 / 0,N/A,,
MINT,2022,6,4,22/04/2022,No,Meeting Attendance of Nominating and Corporate Governance Committee,3.,Camille Ma,N/A,0 / 0,N/A,,
MINT,2022,6,4,22/04/2022,No,Meeting Attendance of Sustainability and Risk Management Oversight Committee,1.,Charamporn Jotikasthira,N/A,0 / 0,N/A,,
MINT,2022,6,4,22/04/2022,No,Meeting Attendance of Sustainability and Risk Management Oversight Committee,2.,Niti Osathanugrah,N/A,0 / 0,N/A,,
MINT,2022,6,4,22/04/2022,No,Meeting Attendance of Sustainability and Risk Management Oversight Committee,3.,John Scott  Heinecke,N/A,0 / 0,N/A,,
MINT,2022,6,4,22/04/2022,No,Meeting Attendance of Sustainability and Risk Management Oversight Committee,4.,Camille Ma,N/A,0 / 0,N/A,,
MINT,2022,6,4,22/04/2022,No,Meeting Attendance of Audit Committee,1.,Suvabha Charoenying,N/A,0 / 0,N/A,,
MINT,2022,6,4,22/04/2022,No,Meeting Attendance of Audit Committee,2.,Charamporn Jotikasthira,N/A,0 / 0,N/A,,
MINT,2022,6,4,22/04/2022,No,Meeting Attendance of Audit Committee,3.,Camille Ma,N/A,0 / 0,N/A,,
MINT,2023,8,4,21/04/2023,No,Meeting Attendance of the Board of Directors,1.,William Ellwood Heinecke,N/A,8 / 8,100.00,Yes,
MINT,2023,8,4,21/04/2023,No,Meeting Attendance of the Board of Directors,2.,Emmanuel Jude Dillipraj Rajakarier,N/A,8 / 8,100.00,Yes,
MINT,2023,8,4,21/04/2023,No,Meeting Attendance of the Board of Directors,3.,Thiraphong Chansiri,N/A,8 / 8,100.00,Yes,
MINT,2023,8,4,21/04/2023,No,Meeting Attendance of the Board of Directors,4.,John Scott  Heinecke,N/A,8 / 8,100.00,Yes,
MINT,2023,8,4,21/04/2023,No,Meeting Attendance of the Board of Directors,5.,Suvabha Charoenying,N/A,8 / 8,100.00,Yes,
MINT,2023,8,4,21/04/2023,No,Meeting Attendance of the Board of Directors,6.,Charamporn Jotikasthira,N/A,7 / 8,87.50,Yes,
MINT,2023,8,4,21/04/2023,No,Meeting Attendance of the Board of Directors,7.,Niti Osathanugrah,N/A,8 / 8,100.00,Yes,
MINT,2023,8,4,21/04/2023,No,Meeting Attendance of the Board of Directors,8.,Camille Ma,N/A,8 / 8,100.00,Yes,
MINT,2023,8,4,21/04/2023,No,Meeting Attendance of the Board of Directors,9.,Anhul Chauhan,N/A,8 / 8,100.00,Yes,
MINT,2023,8,4,21/04/2023,No,Meeting Attendance of the Board of Directors,10.,Michael David  Selby,N/A,7 / 8,87.50,No,
MINT,2023,8,4,21/04/2023,No,Meeting Attendance of Audit Committee,1.,Suvabha Charoenying,N/A,4 / 4,100.00,,
MINT,2023,8,4,21/04/2023,No,Meeting Attendance of Audit Committee,2.,Charamporn Jotikasthira,N/A,4 / 4,100.00,,
MINT,2023,8,4,21/04/2023,No,Meeting Attendance of Audit Committee,3.,Camille Ma,N/A,4 / 4,100.00,,
MINT,2023,8,4,21/04/2023,No,Meeting Attendance of Executive Committee,,No Information,,,,,
