Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
MODERN,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
MODERN,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
MODERN,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
MODERN,2022,7,4,22/04/2022,No,Meeting Attendance of the Board of Directors,1.,YOTHIN NERNGCHAMNONG,N/A,7 / 7,100.00,Yes,
MODERN,2022,7,4,22/04/2022,No,Meeting Attendance of the Board of Directors,2.,SOMSAK VARIKARN,N/A,7 / 7,100.00,Yes,
MODERN,2022,7,4,22/04/2022,No,Meeting Attendance of the Board of Directors,3.,SUCHART THAMMAPITAGKUL,N/A,7 / 7,100.00,Yes,
MODERN,2022,7,4,22/04/2022,No,Meeting Attendance of the Board of Directors,4.,PATANA USANACHITT,N/A,7 / 7,100.00,Yes,
MODERN,2022,7,4,22/04/2022,No,Meeting Attendance of the Board of Directors,5.,KITTICHAI LATTISOPHONKUL,N/A,7 / 7,100.00,Yes,
MODERN,2022,7,4,22/04/2022,No,Meeting Attendance of the Board of Directors,6.,SURACHAI SONTHIRATHI,N/A,7 / 7,100.00,Yes,
MODERN,2022,7,4,22/04/2022,No,Meeting Attendance of the Board of Directors,7.,SUPPARERK MALLIKAMARL,N/A,7 / 7,100.00,Yes,
MODERN,2022,7,4,22/04/2022,No,Meeting Attendance of the Board of Directors,8.,KITIPAT NERNGCHAMNONG,N/A,7 / 7,100.00,Yes,
MODERN,2022,7,4,22/04/2022,No,Meeting Attendance of the Board of Directors,9.,KITTI BUSAYAPOKA,N/A,7 / 7,100.00,Yes,
MODERN,2022,7,4,22/04/2022,No,Meeting Attendance of the Board of Directors,10.,CHAREON USANACHITT,N/A,7 / 7,100.00,Yes,
MODERN,2022,7,4,22/04/2022,No,Meeting Attendance of the Board of Directors,11.,BANCHA DHAMMARUNGRUANG,N/A,7 / 7,100.00,Yes,
MODERN,2022,7,4,22/04/2022,No,Meeting Attendance of the Board of Directors,12.,THAKSA BUSAYAPOKA,28/02/2022,1 / 7,14.29,Yes,
MODERN,2022,7,4,22/04/2022,No,Meeting Attendance of the Board of Directors,13.,KAVIVUD NERNGCHAMNONG,28/02/2022,1 / 7,14.29,No,
MODERN,2022,7,4,22/04/2022,No,Meeting Attendance of Audit Committee,1.,SUCHART THAMMAPITAGKUL,N/A,4 / 4,100.00,,
MODERN,2022,7,4,22/04/2022,No,Meeting Attendance of Audit Committee,2.,KITTICHAI LATTISOPHONKUL,N/A,4 / 4,100.00,,
MODERN,2022,7,4,22/04/2022,No,Meeting Attendance of Audit Committee,3.,SURACHAI SONTHIRATHI,N/A,4 / 4,100.00,,
MODERN,2022,7,4,22/04/2022,No,Meeting Attendance of Executive Committee,,No Information,,,,,
MODERN,2022,7,4,22/04/2022,No,Meeting Attendance of Risk Management Committee,1.,SURACHAI SONTHIRATHI,N/A,0 / 0,N/A,,
MODERN,2022,7,4,22/04/2022,No,Meeting Attendance of Risk Management Committee,2.,KITIPAT NERNGCHAMNONG,N/A,0 / 0,N/A,,
MODERN,2022,7,4,22/04/2022,No,Meeting Attendance of Risk Management Committee,3.,Kookiat Orankit,N/A,0 / 0,N/A,,
MODERN,2022,7,4,22/04/2022,No,Meeting Attendance of Risk Management Committee,4.,Natcharintorn Siriwattana,N/A,0 / 0,N/A,,
MODERN,2022,7,4,22/04/2022,No,Meeting Attendance of Risk Management Committee,5.,Sawangjit Pongpipatpong,N/A,0 / 0,N/A,,
MODERN,2022,7,4,22/04/2022,No,Meeting Attendance of Risk Management Committee,6.,Wannee Limpattanasin,N/A,0 / 0,N/A,,
