Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
MORE,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
MORE,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
MORE,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
MORE,2022,7,5,20/04/2022,Yes,Meeting Attendance of the Board of Directors,1.,LATTASANYA PIANSOMPARN,N/A,7 / 7,100.00,Yes,
MORE,2022,7,5,20/04/2022,Yes,Meeting Attendance of the Board of Directors,2.,CHATTAPHUM KHANTIVIRIYA,N/A,7 / 7,100.00,Yes,
MORE,2022,7,5,20/04/2022,Yes,Meeting Attendance of the Board of Directors,3.,SOMCHAI WONGSABSIN,N/A,7 / 7,100.00,Yes,
MORE,2022,7,5,20/04/2022,Yes,Meeting Attendance of the Board of Directors,4.,PORAVICH OPAS,N/A,7 / 7,100.00,Yes,
MORE,2022,7,5,20/04/2022,Yes,Meeting Attendance of the Board of Directors,5.,UMMARIT KLOMCHITCHAROEN,N/A,7 / 7,100.00,Yes,
MORE,2022,7,5,20/04/2022,Yes,Meeting Attendance of the Board of Directors,6.,PATBODEE CHOMWONG,N/A,7 / 7,100.00,Yes,
MORE,2022,7,5,20/04/2022,Yes,Meeting Attendance of the Board of Directors,7.,sirisak piyathassrikul,31/08/2022,4 / 7,57.14,Yes,
MORE,2022,7,5,20/04/2022,Yes,Meeting Attendance of the Board of Directors,8.,ARICHAI RACTHAM,18/11/2022,5 / 7,71.43,Yes,
MORE,2022,7,5,20/04/2022,Yes,Meeting Attendance of Audit Committee,1.,LATTASANYA PIANSOMPARN,N/A,5 / 5,100.00,,
MORE,2022,7,5,20/04/2022,Yes,Meeting Attendance of Audit Committee,2.,SOMCHAI WONGSABSIN,N/A,5 / 5,100.00,,
MORE,2022,7,5,20/04/2022,Yes,Meeting Attendance of Audit Committee,3.,PORAVICH OPAS,N/A,5 / 5,100.00,,
MORE,2022,7,5,20/04/2022,Yes,Meeting Attendance of Executive Committee,1.,UMMARIT KLOMCHITCHAROEN,N/A,N/A,N/A,,
MORE,2022,7,5,20/04/2022,Yes,Meeting Attendance of Executive Committee,2.,Pongsakorn Sawasdiphab,N/A,N/A,N/A,,
MORE,2022,7,5,20/04/2022,Yes,Meeting Attendance of Executive Committee,3.,Chayangkun Sawangjit,N/A,N/A,N/A,,
MORE,2022,7,5,20/04/2022,Yes,Meeting Attendance of Executive Committee,4.,wannaisa srisuchai,N/A,N/A,N/A,,
MORE,2022,7,5,20/04/2022,Yes,Meeting Attendance of Executive Committee,5.,sirisak piyathassrikul,N/A,N/A,N/A,,
MORE,2022,7,5,20/04/2022,Yes,Meeting Attendance of Nomination and Remuneration Committee,1.,CHATTAPHUM KHANTIVIRIYA,N/A,0 / 0,N/A,,
MORE,2022,7,5,20/04/2022,Yes,Meeting Attendance of Nomination and Remuneration Committee,2.,PORAVICH OPAS,N/A,0 / 0,N/A,,
MORE,2022,7,5,20/04/2022,Yes,Meeting Attendance of Nomination and Remuneration Committee,3.,SOMCHAI WONGSABSIN,N/A,0 / 0,N/A,,
