Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
MTI,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
MTI,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
MTI,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
MTI,2022,5,4,26/04/2022,No,Meeting Attendance of the Board of Directors,1.,PHOTIPONG LAMSAM,N/A,5 / 5,100.00,Yes,
MTI,2022,5,4,26/04/2022,No,Meeting Attendance of the Board of Directors,2.,JINGJAI HANCHANLASH,N/A,5 / 5,100.00,Yes,
MTI,2022,5,4,26/04/2022,No,Meeting Attendance of the Board of Directors,3.,SUJITPAN LAMSAM,N/A,5 / 5,100.00,Yes,
MTI,2022,5,4,26/04/2022,No,Meeting Attendance of the Board of Directors,4.,SARA LAMSAM,N/A,5 / 5,100.00,Yes,
MTI,2022,5,4,26/04/2022,No,Meeting Attendance of the Board of Directors,5.,CHUSAK DIREKWATTANACHAI,N/A,5 / 5,100.00,Yes,
MTI,2022,5,4,26/04/2022,No,Meeting Attendance of the Board of Directors,6.,NUALPHAN LAMSAM,N/A,5 / 5,100.00,Yes,
MTI,2022,5,4,26/04/2022,No,Meeting Attendance of the Board of Directors,7.,ASOKE WONGCHA-UM,N/A,5 / 5,100.00,Yes,
MTI,2022,5,4,26/04/2022,No,Meeting Attendance of the Board of Directors,8.,SOMKIAT SIRICHATCHAI,N/A,5 / 5,100.00,Yes,
MTI,2022,5,4,26/04/2022,No,Meeting Attendance of the Board of Directors,9.,PUNTRIKA BAINGERN,N/A,5 / 5,100.00,Yes,
MTI,2022,5,4,26/04/2022,No,Meeting Attendance of the Board of Directors,10.,PILAS PUNTAKOSOL,N/A,5 / 5,100.00,Yes,
MTI,2022,5,4,26/04/2022,No,Meeting Attendance of the Board of Directors,11.,FRANK JOHAN GERARD VAN KEMPEN,N/A,4 / 5,80.00,Yes,
MTI,2022,5,4,26/04/2022,No,Meeting Attendance of the Board of Directors,12.,PRAVEJ ONGARTSITTIGUL,N/A,5 / 5,100.00,Yes,
MTI,2022,5,4,26/04/2022,No,Meeting Attendance of the Board of Directors,13.,BOONCHAI CHOKWATANA,N/A,4 / 5,80.00,Yes,
MTI,2022,5,4,26/04/2022,No,Meeting Attendance of the Board of Directors,14.,MONG SIEW HAN,N/A,5 / 5,100.00,Yes,
MTI,2022,5,4,26/04/2022,No,Meeting Attendance of the Board of Directors,15.,THANAVATH PHONVICHAI,N/A,5 / 5,100.00,Yes,
MTI,2022,5,4,26/04/2022,No,Meeting Attendance of the Board of Directors,16.,KUMPOL SONTANARAT,N/A,5 / 5,100.00,Yes,
MTI,2022,5,4,26/04/2022,No,Meeting Attendance of the Board of Directors,17.,PONGTEP POLANUN,N/A,3 / 3,100.00,No,
MTI,2022,5,4,26/04/2022,No,Meeting Attendance of Audit Committee,1.,CHUSAK DIREKWATTANACHAI,N/A,4 / 4,100.00,,
MTI,2022,5,4,26/04/2022,No,Meeting Attendance of Audit Committee,2.,ASOKE WONGCHA-UM,N/A,4 / 4,100.00,,
MTI,2022,5,4,26/04/2022,No,Meeting Attendance of Audit Committee,3.,PILAS PUNTAKOSOL,N/A,4 / 4,100.00,,
MTI,2022,5,4,26/04/2022,No,Meeting Attendance of Executive Committee,1.,Somkiat   Sirichatchai,N/A,N/A,N/A,,
